id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,conversation_id,play_sound,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_23_04_40,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_40,True,,3,void,,1,think,,5,idle,,7,worry,,10,10,1.0,,,,16,idle,,,,,
d_main_23_04_41,d_main_23_04,Speech,massproduction01,massproduction01,Locale_MainScenario:d_main_23_04_41,True,,3,void,,1,think,,5,idle,,7,idle,,16,16,1.0,,,,16,idle,,,,,
d_main_23_04_42,d_main_23_04,Speech,massproduction01,massproduction01,Locale_MainScenario:d_main_23_04_42,True,,3,void,,1,think,,5,idle,,7,idle,,16,16,1.0,,,,16,idle,,,,,
d_main_23_04_43,d_main_23_04,Self,,,Locale_MainScenario:d_main_23_04_43,False,,3,void,,1,think,,5,idle,,7,idle,,16,16,1.0,,,,16,idle,,,,,
d_main_23_04_44,d_main_23_04,Speech,massproduction01,massproduction01,Locale_MainScenario:d_main_23_04_44,True,,3,void,,1,think,,5,idle,,7,idle,,16,160,1.0,,,,16,idle,,,,,
d_main_23_04_45,d_main_23_04,Self,,,Locale_MainScenario:d_main_23_04_45,False,,3,void,,1,think,,5,idle,,7,idle,,160,160,1.0,,,,16,idle,,,,,
d_main_23_04_46,d_main_23_04,Speech,massproduction01,massproduction01,Locale_MainScenario:d_main_23_04_46,True,,3,void,,1,think,,5,idle,,7,idle,,160,160,1.0,,,,16,idle,,,,,
d_main_23_04_47,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_47,True,,3,void,,1,think,,5,idle,,7,idle,,30,30,1.0,,,,16,idle,,,,,
d_main_23_04_48,d_main_23_04,Speech,massproduction01,massproduction01,Locale_MainScenario:d_main_23_04_48,True,,3,void,,1,think,,5,idle,,7,idle,,160,16,1.0,,,,16,idle,,,,,
d_main_23_04_49,d_main_23_04,Speech,anis,anis,Locale_MainScenario:d_main_23_04_49,True,,3,no,,1,think,,5,idle,,7,idle,,30,30,1.0,,,,16,idle,,,,,
d_main_23_04_50,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_50,True,,3,no,,1,think,,5,idle,,7,idle,,70,70,1.0,,,,16,idle,,,,,
d_main_23_04_51,d_main_23_04,Speech,massproduction01,massproduction01,Locale_MainScenario:d_main_23_04_51,True,,3,no,,1,think,,5,idle,,7,idle,,70,70,1.0,,,,16,idle,,,,,
d_main_23_04_52,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_52,True,,3,no,,1,think,,5,idle,,7,idle,,70,7,1.0,,,,16,idle,,,,,
d_main_23_04_53,d_main_23_04,Narration,,,Locale_MainScenario:d_main_23_04_53,False,,3,void,,1,think,,5,idle,,7,idle,,7,7,1.0,,,,16,idle,m_main_23_04,,,,
d_main_23_04_57,d_main_23_04,Self,,,Locale_MainScenario:d_main_23_04_57,False,,3,void,,1,think,,5,idle,,7,idle,,7,7,1.0,,,,16,idle,,,,,
d_main_23_04_58,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_58,True,,3,void,,1,no,,5,idle,,7,idle,,1,1,1.0,,,,16,idle,,,,,
d_main_23_04_59,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_59,True,,3,void,,1,no,,5,idle,,7,angry,,7,70,0.7,,,,16,idle,,,,,
d_main_23_04_60,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_60,True,,3,void,,1,worry,,5,idle,,7,angry,,1,10,0.7,,,,16,idle,,,,,
d_main_23_04_61,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_61,True,,3,void,,1,worry,,5,idle,,7,angry,,10,10,1.0,,,,16,idle,,,,,
d_main_23_04_62,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_62,True,,3,void,,1,angry,,5,idle,,7,angry,,10,10,1.0,,,,16,idle,,,,,
d_main_23_04_63,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_63,True,,3,void,,1,angry,,5,idle,,7,angry,,10,10,1.0,,,,16,idle,,,,,
d_main_23_04_64,d_main_23_04,Speech,massproduction01,massproduction01,Locale_MainScenario:d_main_23_04_64,True,,3,void,,1,angry,,5,idle,,7,idle,,16,16,1.0,,,,16,idle,,,,,
d_main_23_04_65,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_65,True,,3,void,,1,angry,,5,idle,,7,idle,,10,10,1.0,,,,16,idle,,,,,
d_main_23_04_66,d_main_23_04,Speech,moran,moran,Locale_MainScenario:d_main_23_04_66,True,,3,void,,1,angry,,5,idle,,7,idle,,10,10,1.0,,,,16,idle,,,,,
d_main_23_04_67,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_67,False,,3,void,,14,angry,,5,idle,,7,idle,,10,15,1.0,,,,16,idle,,,,,
d_main_23_04_68,d_main_23_04,Self,,,Locale_MainScenario:d_main_23_04_68,False,,3,void,,14,angry,,5,idle,,7,idle,,6,6,1.0,,,,16,idle,,,,,
d_main_23_04_69,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_69,True,,3,void,,14,angry,,5,idle,,7,idle,,6,6,1.0,,,,16,idle,,,,,
d_main_23_04_70,d_main_23_04,Narration,,,Locale_MainScenario:d_main_23_04_70,False,,3,void,,14,angry,,5,idle,,7,idle,,6,6,1.0,none,,,16,idle,,sfx_scn_glassdooropen,,,
d_main_23_04_71,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_71,False,,3,void,,14,angry,,5,idle,,7,idle,,6,9,1.0,,,,16,idle,,,,,
d_main_23_04_72,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_72,False,,3,void,,14,angry,,5,idle,,7,idle,,9,9,1.0,,,,16,idle,,,viper,9,good
d_main_23_04_73,d_main_23_04,Self,,,Locale_MainScenario:d_main_23_04_73,False,,3,void,,14,angry,,5,idle,,7,idle,,9,9,1.0,bgm_disaster,,,16,idle,,,,9,good
d_main_23_04_74,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_74,True,,3,void,,14,angry,,5,idle,,7,angry,,7,70,0.7,,Low_2,,16,idle,,,,9,good
d_main_23_04_75,d_main_23_04,Narration,,,Locale_MainScenario:d_main_23_04_75,False,,3,void,,14,angry,,5,idle,,7,angry,,9,9,1.0,,,,16,idle,,sfx_scn_grab,,9,good
d_main_23_04_76,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_76,False,,3,void,,14,angry,,5,idle,,7,angry,,9,90,1.0,,,,16,idle,,,,9,good
d_main_23_04_77,d_main_23_04,Self,,,Locale_MainScenario:d_main_23_04_77,False,,3,void,,14,angry,,5,idle,,7,angry,,90,70,1.0,,,,16,idle,,,,9,good
d_main_23_04_78,d_main_23_04,Speech,rapi,rapi,Locale_MainScenario:d_main_23_04_78,True,,3,void,,14,angry,,5,idle,,7,angry,,70,70,1.0,,,,16,idle,,,,9,good
d_main_23_04_79,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_79,False,,3,void,,14,angry,,5,idle,,7,angry,,70,700,1.0,,,,16,idle,,,,9,good
d_main_23_04_80,d_main_23_04,Monologue,,,Locale_MainScenario:d_main_23_04_80,False,,3,void,,14,angry,,5,idle,,7,angry,,black,black,1.0,,,,16,idle,,,,9,good
