id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id
d_main_10_04_42,d_main_10_04,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_10_04_42,False,,,,,,,,12,12,1.0,,,,,OP_leftup,idle,,,1,idle,,13,idle,,
d_main_10_04_43,d_main_10_04,Narration,,Narration,Locale_MainScenario:d_main_10_04_43,False,,,,,,,,12,12,1.0,,,,,OP_leftup,idle,,,1,idle,,13,idle,eunhwa,rapi
d_main_10_04_44,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_44,True,,,,,,,,12,12,1.0,,,,,OP_center,idle,,,,,,,,,
d_main_10_04_45,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_45,True,,,,,,,,12,12,1.0,,,,,OP_center,idle,,,,,,,,,
d_main_10_04_46,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_46,True,,,,,,,,12,12,1.0,,,,,OP_center,idle,,,,,,,,,
d_main_10_04_47,d_main_10_04,Choice,,,Locale_MainScenario:d_main_10_04_47,False,,,,,,,,12,12,1.0,,,,,OP_center,idle,d_main_10_04_49,,,,,,,,
d_main_10_04_48,d_main_10_04,Choice,,,Locale_MainScenario:d_main_10_04_48,False,,,,,,,,12,12,1.0,,,,,OP_center,idle,d_main_10_04_50,,,,,,,,
d_main_10_04_49,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_49,True,,,,,,,,12,12,1.0,,,,,OP_center,think,d_main_10_04_51,,,,,,,,
d_main_10_04_50,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_50,True,,,,,,,,12,12,1.0,,,,,OP_center,think,d_main_10_04_51,,,,,,,,
d_main_10_04_51,d_main_10_04,Speech,shifty,shifty,Locale_MainScenario:d_main_10_04_51,True,,,,,,,,12,12,1.0,,,,,OP_center,idle,,,,,,,,,
