id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_13af_06_17,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_17,True,,150,L_130,1.0,,,,5,idle,,3,worry,,1,think,,,13,idle,,,15,idle
d_main_13af_06_18,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_18,True,,L_130,L_130,1.0,,,,5,idle,,3,worry,,1,think,,,13,idle,,,15,idle
d_main_13af_06_19,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_19,True,,30,30,1.0,,,,5,idle,,3,worry,,1,think,,,13,idle,,,15,idle
d_main_13af_06_20,d_main_13af_06,Speech,marian_p,marian_p,Locale_MainScenario:d_main_13af_06_20,True,,150,150,1.0,,,,5,idle,,3,worry,,1,think,,,13,idle,,,15,delight
d_main_13af_06_21,d_main_13af_06,Monologue,marian_p,,Locale_MainScenario:d_main_13af_06_21,False,,150,1500,0.5,,,,5,surprise,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_22,d_main_13af_06,Monologue,marian_p,,Locale_MainScenario:d_main_13af_06_22,False,,1500,1500,2.0,,Low_2,,5,surprise,,3,void,,1,idle,,,13,idle,,,15,delight
d_main_13af_06_23,d_main_13af_06,Speech,marian_p,marian_p,Locale_MainScenario:d_main_13af_06_23,True,,1500,150,2.0,,,,5,surprise,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_24,d_main_13af_06,Self,marian_p,,Locale_MainScenario:d_main_13af_06_24,False,,150,150,1.0,,,,5,surprise,,3,void,,1,worry,,,13,idle,,,15,idle
d_main_13af_06_25,d_main_13af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_06_25,True,,10,10,1.0,,,,5,surprise,,3,void,,1,worry,,,13,idle,,,15,idle
d_main_13af_06_26,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_26,True,,L_130,L_130,1.0,,,,5,idle,,3,void,,1,worry,,,13,idle,,,15,idle
d_main_13af_06_27,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_27,True,,L_130,L_130,1.0,,,,5,idle,,3,void,,1,worry,,,13,idle,,,15,idle
d_main_13af_06_28,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_28,True,,L_130,L_130,1.0,,,,5,idle,,3,void,,1,worry,,,13,idle,,,15,idle
d_main_13af_06_29,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_29,False,,L_130,L_1300,2.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_30,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_30,True,,L_1300,L_1300,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_31,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_31,True,,4,4,1.0,,,,5,idle,,3,idle,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_32,d_main_13af_06,Speech,neon,neon,Locale_MainScenario:d_main_13af_06_32,True,,4,4,1.0,,,,5,delight,,3,idle,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_33,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_33,True,,L_1300,L_1300,1.0,,,,5,delight,,3,idle,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_34,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_34,True,,L_1300,L_130,1.0,,,,5,idle,,3,void,,1,idle,,,13,think,,,15,idle
d_main_13af_06_35,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_35,False,,L_130,L_130,1.0,,,,5,idle,,3,void,,1,idle,,,13,think,,,15,idle
d_main_13af_06_36,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_36,True,,L_130,L_130,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_37,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_37,True,,L_130,L_130,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_38,d_main_13af_06,Speech,rapi,rapi,Locale_MainScenario:d_main_13af_06_38,True,,L_130,12,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_39,d_main_13af_06,Speech,ingrid,ingrid,Locale_MainScenario:d_main_13af_06_39,True,,12,12,1.0,,,,5,idle,,3,void,,1,idle,,,13,idle,,,15,idle
d_main_13af_06_40,d_main_13af_06,Narration,ingrid,,Locale_MainScenario:d_main_13af_06_40,False,,12,3,2.0,,,,5,idle,,3,void,,1,idle,rapi,,13,idle,ingrid,,15,idle
d_main_13af_06_41,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_41,False,,3,3,2.0,,,,5,idle,,3,void,,,,,,,,,,15,idle
d_main_13af_06_42,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_42,True,,3,14,1.0,,,,1,idle,,13,delight,,,,,,,,,,15,idle
d_main_13af_06_43,d_main_13af_06,Speech,marian_p,marian_p,Locale_MainScenario:d_main_13af_06_43,True,,14,14,1.0,,,,1,idle,,13,delight,,,,,,,,,,15,surprise
d_main_13af_06_44,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_44,True,,14,14,1.0,,,,1,idle,,13,delight,,,,,,,,,,15,idle
d_main_13af_06_45,d_main_13af_06,Speech,neon,neon,Locale_MainScenario:d_main_13af_06_45,False,,S_10,S_10,1.0,,,,1,idle,,13,delight,,,,,,,,,,15,idle
d_main_13af_06_46,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_46,True,,130,130,1.0,,,,1,idle,,13,idle,,,,,,,,,,15,idle
d_main_13af_06_47,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_47,True,,130,130,1.0,,,,1,idle,,13,idle,,,,,,,,,,15,idle
d_main_13af_06_48,d_main_13af_06,Speech,marian_p,marian_p,Locale_MainScenario:d_main_13af_06_48,False,,150,150,1.0,,,,1,idle,,13,idle,,,,,,,,,,15,surprise
d_main_13af_06_49,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_49,True,,130,1300,0.5,,,,1,idle,,13,idle,,,,,,,,,,15,surprise
d_main_13af_06_50,d_main_13af_06,Speech,marian_p,marian_p,Locale_MainScenario:d_main_13af_06_50,True,,1300,14,1.0,,,,1,idle,,13,idle,,,,,,,,,,15,angry
d_main_13af_06_51,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_51,True,,14,14,1.0,,,,1,idle,,13,delight,,,,,,,,,,15,angry
d_main_13af_06_52,d_main_13af_06,Speech,marian_p,marian_p,Locale_MainScenario:d_main_13af_06_52,True,,14,14,2.0,,,,1,idle,,13,delight,,,,,,,,,,15,angry
d_main_13af_06_53,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_53,False,,14,14,2.0,,,,1,idle,,13,worry,,,,,,,,,,15,angry
d_main_13af_06_54,d_main_13af_06,Speech,marian_p,marian_p,Locale_MainScenario:d_main_13af_06_54,True,,14,150,0.5,,,,1,delight,,13,worry,,,,,,,,,,15,delight
d_main_13af_06_55,d_main_13af_06,Speech,anis,anis,Locale_MainScenario:d_main_13af_06_55,True,,150,130,0.5,,,,1,delight,,13,angry,,,,,,,,,,15,delight
