id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,set_camera_shake,characters/1/hide_char_id
d_ex_trainstation_05_42,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_42,True,,10,10,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_43,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_43,True,,10,1,2.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_44,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_44,True,,1,1,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_45,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_45,True,,1,1,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_46,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_46,True,,1,1,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_47,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_47,True,,1,1,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_48,d_ex_trainstation_05,Self,Self,Locale_SuddenStory:d_ex_trainstation_05_48,False,,1,1,1.0,,,,5,idle,,1,idle,,,
d_ex_trainstation_05_49,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_49,True,,1,1,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_50,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_50,True,,1,1,1.0,,d,,5,idle,,1,idle,,,
d_ex_trainstation_05_51,d_ex_trainstation_05,Self,Self,Locale_SuddenStory:d_ex_trainstation_05_51,False,,1,1,1.0,,,,5,idle,,1,idle,,,
d_ex_trainstation_05_52,d_ex_trainstation_05,Monologue,Monologue,Locale_SuddenStory:d_ex_trainstation_05_52,False,,1,15,1.0,none,,,5,idle,,1,idle,,,
d_ex_trainstation_05_53,d_ex_trainstation_05,Monologue,Monologue,Locale_SuddenStory:d_ex_trainstation_05_53,False,,15,15,1.0,bgm_story_stormbreakers,,,5,idle,,1,idle,,,
d_ex_trainstation_05_54,d_ex_trainstation_05,Narration,Narration,Locale_SuddenStory:d_ex_trainstation_05_54,False,,5,XS_50,2.0,,,,5,delight,,1,idle,,,
d_ex_trainstation_05_55,d_ex_trainstation_05,Choice,,Locale_SuddenStory:d_ex_trainstation_05_55,False,,XS_50,XS_50,1.0,,,,5,delight,,1,idle,d_ex_trainstation_05_57,,
d_ex_trainstation_05_56,d_ex_trainstation_05,Choice,,Locale_SuddenStory:d_ex_trainstation_05_56,False,,XS_50,XS_50,1.0,,,,5,delight,,1,idle,d_ex_trainstation_05_57,,
d_ex_trainstation_05_57,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_57,True,,10,10,1.0,,d,,5,idle,,1,angry,,,
d_ex_trainstation_05_58,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_58,True,,10,10,1.0,,d,,5,idle,,1,angry,,,
d_ex_trainstation_05_59,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_59,True,,10,100,2.0,,d,,5,idle,,1,think,,,
d_ex_trainstation_05_60,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_60,True,,100,100,1.0,,d,,5,idle,,1,think,,,
d_ex_trainstation_05_61,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_61,False,,XS_50,XS_50,1.0,,cocoa,,5,delight,,1,idle,,,
d_ex_trainstation_05_62,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_62,True,,XS_50,XS_50,1.0,,cocoa,,5,serious,,1,idle,,,
d_ex_trainstation_05_63,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_63,True,,XS_50,XS_500,2.0,,cocoa,,5,serious,,1,idle,,,
d_ex_trainstation_05_64,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_64,True,,XS_500,XS_500,1.0,,cocoa,,5,serious,,1,idle,,,
d_ex_trainstation_05_65,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_65,False,,XS_500,10,2.0,,d,,5,serious,,1,idle,,,
d_ex_trainstation_05_66,d_ex_trainstation_05,Monologue,Monologue,Locale_SuddenStory:d_ex_trainstation_05_66,False,,10,100,2.0,,,,5,idle,,1,idle,,,
d_ex_trainstation_05_67,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_67,True,,100,100,1.0,,d,,5,idle,,1,think,,,
d_ex_trainstation_05_68,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_68,True,,100,100,1.0,,d,,5,idle,,1,think,,,
d_ex_trainstation_05_69,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_69,True,,100,100,1.0,,d,,5,idle,,1,surprise,,,
d_ex_trainstation_05_70,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_70,False,,100,100,1.0,,d,,5,idle,,1,think,,,
d_ex_trainstation_05_71,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_71,True,,100,10,1.0,,d,,5,idle,,1,angry,,,
d_ex_trainstation_05_72,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_72,True,,10,10,1.0,,d,,5,idle,,1,angry,,,
d_ex_trainstation_05_73,d_ex_trainstation_05,Speech,d,Locale_SuddenStory:d_ex_trainstation_05_73,True,,10,10,1.0,,d,,5,idle,,1,angry,,,
d_ex_trainstation_05_74,d_ex_trainstation_05,Monologue,Monologue,Locale_SuddenStory:d_ex_trainstation_05_74,False,,10,1,1.0,,,,5,idle,,1,angry,,Low_2,
d_ex_trainstation_05_75,d_ex_trainstation_05,Monologue,Monologue,Locale_SuddenStory:d_ex_trainstation_05_75,False,,1,1,1.0,,,,5,idle,,1,angry,,Low_2,d
d_ex_trainstation_05_76,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_76,True,,5,XS_50,0.3,,cocoa,,5,surprised,,,,,,
d_ex_trainstation_05_77,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_77,True,,XS_50,XS_50,1.0,,cocoa,,5,surprised,,,,,,
d_ex_trainstation_05_78,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_78,True,,XS_50,XS_50,1.0,,cocoa,,5,delight,,,,,,
d_ex_trainstation_05_79,d_ex_trainstation_05,Monologue,Monologue,Locale_SuddenStory:d_ex_trainstation_05_79,False,,XS_50,5,1.0,,,,5,delight,,,,,,
d_ex_trainstation_05_80,d_ex_trainstation_05,Narration,Narration,Locale_SuddenStory:d_ex_trainstation_05_80,False,,black,black,1.0,none,,,5,delight,,,,,,
d_ex_trainstation_05_81,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_81,False,,5,5,1.0,,cocoa,,5,idle,,,,,,
d_ex_trainstation_05_82,d_ex_trainstation_05,Narration,Narration,Locale_SuddenStory:d_ex_trainstation_05_82,False,,black,black,1.0,,,,5,idle,,,,,,
d_ex_trainstation_05_83,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_83,False,,5,5,1.0,,cocoa,,5,idle,,,,,,
d_ex_trainstation_05_84,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_84,True,,5,XS_50,2.0,bgm_story_whosdumber,cocoa,,5,shy,,,,,,
d_ex_trainstation_05_85,d_ex_trainstation_05,Choice,,Locale_SuddenStory:d_ex_trainstation_05_85,False,,XS_50,XS_50,1.0,,,,5,shy,,,,d_ex_trainstation_05_87,,
d_ex_trainstation_05_86,d_ex_trainstation_05,Choice,,Locale_SuddenStory:d_ex_trainstation_05_86,False,,XS_50,XS_50,1.0,,,,5,shy,,,,d_ex_trainstation_05_90,,
d_ex_trainstation_05_87,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_87,False,,XS_50,XS_50,1.0,,cocoa,,5,shy,,,,,,
d_ex_trainstation_05_88,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_88,False,,XS_50,XS_50,1.0,,cocoa,,5,sad,,,,,,
d_ex_trainstation_05_89,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_89,True,,XS_50,XS_50,1.0,,cocoa,,5,sad,,,,d_ex_trainstation_05_93,,
d_ex_trainstation_05_90,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_90,False,,XS_50,XS_50,1.0,,cocoa,,5,shy,,,,,,
d_ex_trainstation_05_91,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_91,False,,XS_50,XS_50,1.0,,cocoa,,5,sad,,,,,,
d_ex_trainstation_05_92,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_92,True,,XS_50,XS_50,1.0,,cocoa,,5,sad,,,,,,
d_ex_trainstation_05_93,d_ex_trainstation_05,Self,Self,Locale_SuddenStory:d_ex_trainstation_05_93,False,,XS_50,XS_50,1.0,,,,5,sad,,,,,,
d_ex_trainstation_05_94,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_94,True,,XS_50,5,2.0,,cocoa,,5,serious,,,,,,
d_ex_trainstation_05_95,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_95,True,,5,5,1.0,,cocoa,,5,serious,,,,,,
d_ex_trainstation_05_96,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_96,True,,5,5,1.0,,cocoa,,5,serious,,,,,,
d_ex_trainstation_05_97,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_97,True,,5,5,1.0,,cocoa,,5,idle,,,,,,
d_ex_trainstation_05_98,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_98,True,,5,5,1.0,,cocoa,,5,idle,,,,,,
d_ex_trainstation_05_99,d_ex_trainstation_05,Speech,cocoa,Locale_SuddenStory:d_ex_trainstation_05_99,True,,5,5,1.0,,cocoa,,5,idle,,,,,,
d_ex_trainstation_05_100,d_ex_trainstation_05,Monologue,Monologue,Locale_SuddenStory:d_ex_trainstation_05_100,False,,black,black,1.0,,,,5,idle,,,,,,
