id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/2/hide_char_id,characters/0/hide_char_id
d_ex_hospital_05_43,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_43,True,,XS_130,XS_130,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_44,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_44,True,,XS_130,XS_130,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_45,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_45,True,,XS_130,XS_130,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_46,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_46,True,,XS_130,XS_130,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_47,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_47,True,,XS_130,XS_130,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_48,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_48,True,,XS_130,12,1.5,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_49,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_49,True,,12,12,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_50,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_50,True,,12,12,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_51,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_51,True,,12,12,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_52,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_52,True,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_53,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_53,True,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_54,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_54,True,,12,12,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_55,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_55,True,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_56,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_56,False,,12,12,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_57,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_57,True,,12,12,1.0,,,1,shy,,13,idle,,,,,,,,
d_ex_hospital_05_58,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_58,True,,12,12,1.0,,,1,shy,,13,idle,,,,,,,,
d_ex_hospital_05_59,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_59,True,,12,XS_10,2.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_60,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_60,True,,XS_10,XS_10,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_61,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_61,True,,XS_130,XS_130,1.0,,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_62,d_ex_hospital_05,Narration,,,Locale_SuddenStory:d_ex_hospital_05_62,False,,black,black,1.0,none,,1,idle,,13,idle,,,,,,,,
d_ex_hospital_05_63,d_ex_hospital_05,Narration,,,Locale_SuddenStory:d_ex_hospital_05_63,False,,black,black,1.0,,,1,idle,,13,idle,,sfx_scn_autodooropen,,,,,,
d_ex_hospital_05_64,d_ex_hospital_05,Speech,max,max,Locale_SuddenStory:d_ex_hospital_05_64,True,,3,XS_30,1.0,,,1,idle,,13,idle,,sfx_scn_whine,max,3,sad,,,
d_ex_hospital_05_65,d_ex_hospital_05,Speech,max,max,Locale_SuddenStory:d_ex_hospital_05_65,True,,XS_30,XS_30,1.0,,,1,idle,,13,idle,,sfx_scn_whine,,3,sad,,,
d_ex_hospital_05_66,d_ex_hospital_05,Monologue,,,Locale_SuddenStory:d_ex_hospital_05_66,False,,XS_30,XS_30,1.0,,,1,idle,,13,idle,,,,3,sad,,,
d_ex_hospital_05_67,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_67,True,,XS_30,XS_10,1.0,,,1,idle,,13,idle,,,,3,sad,,,
d_ex_hospital_05_68,d_ex_hospital_05,Speech,max,max,Locale_SuddenStory:d_ex_hospital_05_68,True,,XS_10,XS_10,1.0,,,1,idle,,13,idle,,sfx_scn_whine,,3,sad,,,
d_ex_hospital_05_69,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_69,True,,13,XS_130,2.0,,,1,delight,,13,idle,,,,3,sad,,,
d_ex_hospital_05_70,d_ex_hospital_05,Monologue,,,Locale_SuddenStory:d_ex_hospital_05_70,False,,XS_130,XS_30,2.0,,,1,delight,,13,idle,,,,3,sad,,,
d_ex_hospital_05_71,d_ex_hospital_05,Speech,max,max,Locale_SuddenStory:d_ex_hospital_05_71,True,,XS_30,XS_30,1.0,bgm_story_herecomestrouble,,1,delight,,13,idle,,sfx_scn_bowwow,,3,sad,Low_2,,
d_ex_hospital_05_72,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_72,True,,XS_30,2,0.3,,,1,angry,,13,idle,,,,3,sad,,,
d_ex_hospital_05_73,d_ex_hospital_05,Narration,,,Locale_SuddenStory:d_ex_hospital_05_73,False,,2,2,1.0,,,1,angry,,13,idle,,sfx_scn_dogrun,,7,sad,,max,
d_ex_hospital_05_74,d_ex_hospital_05,Speech,max,max,Locale_SuddenStory:d_ex_hospital_05_74,True,,2,2,1.0,,,1,angry,,13,idle,,sfx_scn_bowwow,,,,,,
d_ex_hospital_05_75,d_ex_hospital_05,Monologue,,,Locale_SuddenStory:d_ex_hospital_05_75,False,,2,2,1.0,,,1,angry,,13,idle,,,,,,,,
d_ex_hospital_05_76,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_76,True,,2,XS_10,0.3,,,1,angry,,13,idle,,,,,,Low_2,,
d_ex_hospital_05_77,d_ex_hospital_05,Self,,,Locale_SuddenStory:d_ex_hospital_05_77,False,,XS_10,XS_10,1.0,,,1,angry,,13,idle,,,,,,,,
d_ex_hospital_05_78,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_78,True,,XS_10,1,0.7,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_79,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_79,True,,1,1,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_80,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_80,True,,1,1,1.0,,,1,sad,,13,idle,,,,,,,,
d_ex_hospital_05_81,d_ex_hospital_05,Speech,biscuit,biscuit,Locale_SuddenStory:d_ex_hospital_05_81,True,,1,1,1.0,,,1,angry,,13,idle,,,,,,,,
d_ex_hospital_05_82,d_ex_hospital_05,Monologue,,,Locale_SuddenStory:d_ex_hospital_05_82,False,,1,1,1.0,,,4,angry,,13,idle,,sfx_scn_run,,,,,,biscuit
d_ex_hospital_05_83,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_83,True,,1,13,2.0,,,,,,13,idle,,,,,,,,
d_ex_hospital_05_84,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_84,True,,13,13,1.0,,,,,,13,idle,,,,,,,,
d_ex_hospital_05_85,d_ex_hospital_05,Choice,mary,,Locale_SuddenStory:d_ex_hospital_05_85,False,,13,13,1.0,,,,,,13,idle,d_ex_hospital_05_87,,,,,,,
d_ex_hospital_05_86,d_ex_hospital_05,Choice,mary,,Locale_SuddenStory:d_ex_hospital_05_86,False,,13,13,1.0,,,,,,13,idle,d_ex_hospital_05_87,,,,,,,
d_ex_hospital_05_87,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_87,True,,13,13,1.0,,,,,,13,idle,,,,,,,,
d_ex_hospital_05_88,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_88,True,,13,XS_130,2.0,,,,,,13,idle,,,,,,,,
d_ex_hospital_05_89,d_ex_hospital_05,Self,mary,,Locale_SuddenStory:d_ex_hospital_05_89,False,,XS_130,XS_130,1.0,,,,,,13,idle,,,,,,,,
d_ex_hospital_05_90,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_90,True,,XS_130,XS_130,1.0,,,,,,13,idle,,,,,,,,
d_ex_hospital_05_91,d_ex_hospital_05,Self,mary,,Locale_SuddenStory:d_ex_hospital_05_91,False,,XS_130,XS_130,1.0,,,,,,13,idle,,,,,,,,
d_ex_hospital_05_92,d_ex_hospital_05,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_05_92,True,,XS_130,XS_130,1.0,,,,,,13,idle,,,,,,,,
d_ex_hospital_05_93,d_ex_hospital_05,Self,mary,,Locale_SuddenStory:d_ex_hospital_05_93,False,,XS_130,XS_130,1.0,,,,,,13,idle,,,,,,,,
