id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id
d_main_37_01_11,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_11,True,,4,4,1.0,,laplace,laplace,,5,angry,,3,angry,,1,idle_02,,13,idle,,,
d_main_37_01_12,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_12,True,,4,4,1.0,,drake,drake,,5,idle,,3,angry,,1,idle_02,,13,idle,,,
d_main_37_01_13,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_13,True,,12,12,1.0,,maxwell,maxwell,,5,idle,,3,angry,,1,angry,,13,idle,,,
d_main_37_01_14,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_14,True,,12,12,1.0,,rapi_red,rapi_red,,5,idle,,3,angry,,1,angry,,13,idle,,,
d_main_37_01_15,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_15,True,,3,S_30,1.0,,laplace,laplace,,5,idle,,3,angry,,1,angry,,13,idle,,,
d_main_37_01_16,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_16,True,,S_30,S_300,1.0,,laplace,laplace,,5,idle,,3,angry,,1,angry,,13,idle,,,
d_main_37_01_17,d_main_37_01,Narration,Locale_MainScenario:d_main_37_01_17,False,,S_300,S_300,1.0,,laplace,,,5,idle,,3,angry,,1,angry,,13,idle,sfx_scn_bonebreak,,
d_main_37_01_18,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_18,True,,S_300,3,1.0,,laplace,laplace,,5,idle,,3,think,,1,angry,,13,idle,,,
d_main_37_01_19,d_main_37_01,Monologue,Locale_MainScenario:d_main_37_01_19,False,,3,3,1.0,,laplace,,,5,idle,,3,think,,1,angry,,13,idle,,,
d_main_37_01_20,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_20,True,,13,13,1.0,,rapi_red,rapi_red,,5,idle,,3,think,,1,angry,,13,no,,,
d_main_37_01_21,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_21,True,,13,2,1.0,,maxwell,maxwell,,5,idle,,3,think,,1,idle_02,,13,no,,,
d_main_37_01_22,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_22,True,,2,2,1.0,,laplace,laplace,,5,idle,,3,idle,,1,idle_02,,13,no,,,
d_main_37_01_23,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_23,True,,2,2,1.0,,laplace,laplace,,5,idle,,3,idle,,1,idle_02,,13,no,,,
d_main_37_01_24,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_24,True,,2,2,1.0,,laplace,laplace,,5,idle,,3,idle,,1,idle_02,,13,no,,,
d_main_37_01_25,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_25,True,,2,2,1.0,,maxwell,maxwell,,5,idle,,3,idle,,1,angry,,13,no,,,
d_main_37_01_26,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_26,True,,130,130,1.0,,rapi_red,rapi_red,,5,idle,,3,idle,,1,angry,,13,no,,,
d_main_37_01_27,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_27,True,,50,50,1.0,,drake,drake,,5,idle,,3,idle,,1,angry,,13,no,,,
d_main_37_01_28,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_28,True,,10,100,0.7,,maxwell,maxwell,,5,idle,,3,idle,,1,angry,,13,no,,,
d_main_37_01_29,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_29,False,,130,13,1.0,,rapi_red,rapi_red,,5,no,,3,idle,,1,angry,,13,think,,,
d_main_37_01_30,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_30,True,,50,50,1.0,,drake,drake,,5,no,,3,idle,,1,angry,,13,think,,,
d_main_37_01_31,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_31,False,,100,100,1.0,,maxwell,maxwell,,5,no,,3,idle,,1,sad,,13,think,,,
d_main_37_01_32,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_32,True,,50,5,1.5,,drake,drake,,5,no,,3,idle,,1,sad,,13,think,,,
d_main_37_01_33,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_33,True,,5,2,1.0,,maxwell,maxwell,,5,no,,3,no,,1,idle_02,,13,idle,,,
d_main_37_01_34,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_34,True,,2,2,1.0,,maxwell,maxwell,,5,no,,3,no,,1,idle_02,,13,idle,,,
d_main_37_01_35,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_35,True,,2,2,1.0,,maxwell,maxwell,,5,no,,3,no,,1,idle_02,,13,idle,,,
d_main_37_01_36,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_36,True,,2,2,1.0,,maxwell,maxwell,,5,no,,3,no,,1,idle_02,,13,idle,,,
d_main_37_01_37,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_37,True,,2,2,1.0,,maxwell,maxwell,,5,no,,3,no,,1,idle_02,,13,idle,,,
d_main_37_01_38,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_38,True,,2,2,1.0,,maxwell,maxwell,,5,no,,3,no,,1,idle_02,,13,idle,,,
d_main_37_01_39,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_39,True,,50,50,1.0,,drake,drake,,5,idle,,3,no,,1,idle_02,,13,idle,,,
d_main_37_01_40,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_40,False,,2,2,1.0,,maxwell,maxwell,,5,idle,,3,no,,1,angry,,13,idle,,,
d_main_37_01_41,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_41,True,,50,5,1.5,,drake,drake,,5,idle,,3,no,,1,angry,,13,idle,,,
d_main_37_01_42,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_42,True,,5,2,1.0,,maxwell,maxwell,,5,idle,,3,no,,1,idle_02,,13,idle,,,
d_main_37_01_43,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_43,True,,2,2,1.0,,laplace,laplace,,5,idle,,3,no,,1,idle_02,,13,idle,,,
d_main_37_01_44,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_44,True,,2,2,1.0,,maxwell,maxwell,,5,idle,,3,no,,1,sad,,13,idle,,,
d_main_37_01_45,d_main_37_01,Self,Locale_MainScenario:d_main_37_01_45,False,,2,13,1.0,,rapi_red,,,5,idle,,3,no,,1,sad,,13,idle,,,
d_main_37_01_46,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_46,True,,13,13,1.0,,rapi_red,rapi_red,,5,idle,,3,no,,1,sad,,13,idle,,,
d_main_37_01_47,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_47,True,,13,13,1.0,,rapi_red,rapi_red,,5,idle,,3,no,,1,sad,,13,think,,,
d_main_37_01_48,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_48,True,,5,50,0.7,,drake,drake,,5,idle,,3,no,,1,sad,,13,think,,,
d_main_37_01_49,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_49,True,,50,50,1.0,,drake,drake,,5,idle,,3,no,,1,sad,,13,think,,,
d_main_37_01_50,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_50,True,,50,50,1.0,,drake,drake,,5,idle,,3,no,,1,sad,,13,think,,,
d_main_37_01_51,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_51,True,,50,50,1.0,,drake,drake,,5,delight,,3,no,,1,sad,,13,think,,,
d_main_37_01_52,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_52,True,,130,130,1.0,,rapi_red,rapi_red,,5,delight,,3,no,,1,sad,,13,worry,,,
d_main_37_01_53,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_53,True,,4,4,1.0,,drake,drake,,5,idle,,3,idle,,1,sad,,13,worry,,,
d_main_37_01_54,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_54,True,,4,4,1.0,,laplace,laplace,,5,idle,,3,idle,,1,sad,,13,worry,,,
d_main_37_01_55,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_55,False,,black,black,1.0,,maxwell,maxwell,,3,no,,5,idle,,1,sad,,13,worry,,,
d_main_37_01_56,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_56,True,,2,2,1.0,,drake,drake,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_57,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_57,True,,2,2,1.0,,drake,drake,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_58,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_58,True,,2,2,1.0,,maxwell,maxwell,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_59,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_59,True,,2,2,1.0,,drake,drake,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_60,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_60,True,,2,2,1.0,,maxwell,maxwell,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_61,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_61,True,,2,30,1.0,,drake,drake,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_62,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_62,True,,30,30,1.0,,drake,drake,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_63,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_63,True,,30,30,1.0,,drake,drake,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_64,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_64,True,,30,30,1.0,,drake,drake,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_65,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_65,True,,30,30,1.0,,drake,drake,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_66,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_66,False,,30,10,1.0,,maxwell,maxwell,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_67,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_67,True,,10,2,1.0,,drake,drake,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_68,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_68,True,,2,2,1.0,,drake,drake,,3,no,,5,idle,,1,idle_02,,13,idle,,,
d_main_37_01_69,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_69,False,,2,2,1.0,,rapi_red,rapi_red,,3,no,,5,idle,,1,angry,,13,angry,,,
d_main_37_01_70,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_70,True,,130,130,1.0,,rapi_red,rapi_red,,3,no,,5,idle,,1,angry,,13,angry,,,
d_main_37_01_71,d_main_37_01,Self,Locale_MainScenario:d_main_37_01_71,False,,130,130,1.0,,rapi_red,,,3,no,,5,idle,,1,angry,,13,angry,,,
d_main_37_01_72,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_72,True,,4,4,1.0,,drake,drake,,3,delight,,5,idle,,1,angry,,13,idle,,,
d_main_37_01_73,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_73,True,,4,4,1.0,,laplace,laplace,,3,delight,,5,delight,,1,angry,,13,idle,,,
d_main_37_01_74,d_main_37_01,Monologue,Locale_MainScenario:d_main_37_01_74,False,,4,4,1.0,,laplace,,,3,delight,,5,delight,,1,angry,,13,idle,,drake,laplace
d_main_37_01_75,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_75,False,,4,12,1.0,,maxwell,maxwell,,,,,,,,1,sad,,13,idle,,,
d_main_37_01_76,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_76,True,,12,12,1.0,,maxwell,maxwell,,,,,,,,1,sad,,13,idle,,,
d_main_37_01_77,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_77,True,,12,12,1.0,,rapi_red,rapi_red,,,,,,,,1,sad,,13,idle,,,
d_main_37_01_78,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_78,True,,12,12,1.0,,maxwell,maxwell,,,,,,,,1,idle_02,,13,idle,,,
d_main_37_01_79,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_79,False,,12,10,1.0,,maxwell,maxwell,,,,,,,,1,idle,,13,idle,,,
d_main_37_01_80,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_80,True,,10,10,1.0,,maxwell,maxwell,,,,,,,,1,idle,,13,idle,,,
