id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_29_07_s_23,d_main_29_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_07_s_23,True,,S_130,S_130,1.0,,,shifty,OP_leftup,idle,,trony_op_r,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_24,d_main_29_07_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_07_s_24,True,,S_130,S_130,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_25,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_25,True,,S_130,S_130,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_26,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_26,True,,S_130,S_130,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_27,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_27,True,,S_130,S_130,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_28,d_main_29_07_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_07_s_28,True,,S_130,S_130,1.0,,,,OP_leftup,idle,,,OP_rightup,think,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_29,d_main_29_07_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_07_s_29,True,,S_130,S_130,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_30,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_30,True,,S_130,S_130,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_31,d_main_29_07_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_07_s_31,True,,S_130,S_130,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_32,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_32,True,,S_130,13,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_33,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_33,True,,13,13,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_34,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_34,True,,13,13,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_35,d_main_29_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_07_s_35,True,,13,12,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,idle,,,,,
d_main_29_07_s_36,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_36,True,,12,12,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,idle,,,13,delight,,,,,
d_main_29_07_s_37,d_main_29_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_07_s_37,True,,12,2,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,think,,,13,delight,,,,,
d_main_29_07_s_38,d_main_29_07_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_07_s_38,True,,2,2,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,think,,,13,delight,,,,,
d_main_29_07_s_39,d_main_29_07_s,Speech,anis,anis,Locale_MainScenario:d_main_29_07_s_39,True,,2,2,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,think,,,13,delight,,,,,
d_main_29_07_s_40,d_main_29_07_s,Speech,anis,anis,Locale_MainScenario:d_main_29_07_s_40,True,,2,2,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,think,,,13,delight,,,,,
d_main_29_07_s_41,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_41,True,,13,13,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,think,,,13,idle,,,,,
d_main_29_07_s_42,d_main_29_07_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_07_s_42,True,,13,S_130,1.0,,,,OP_leftup,idle,,,OP_rightup,idle,,,3,void,,1,think,,,13,idle,,,,,
