id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_17_05_s_19,d_main_17_05_s,Speech,neon,neon,Locale_MainScenario:d_main_17_05_s_19,True,,1517,1517,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_20,d_main_17_05_s,Self,neon,,Locale_MainScenario:d_main_17_05_s_20,False,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_21,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_21,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_22,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_22,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_23,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_23,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_24,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_24,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_25,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_25,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_26,d_main_17_05_s,Self,snowwhite,,Locale_MainScenario:d_main_17_05_s_26,False,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_27,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_27,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_28,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_28,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_29,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_29,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_30,d_main_17_05_s,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_05_s_30,True,,30,30,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_31,d_main_17_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_17_05_s_31,True,,190,190,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_32,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_32,True,,130,130,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_33,d_main_17_05_s,Speech,anis,anis,Locale_MainScenario:d_main_17_05_s_33,True,,150,150,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_34,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_34,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_35,d_main_17_05_s,Narration,snowwhite,,Locale_MainScenario:d_main_17_05_s_35,False,,L_10,L_10,1.0,none,sfx_scn_rapturerun,Low_2,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_36,d_main_17_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_17_05_s_36,True,,190,190,1.0,bgm_emergency,,,,1,idle,,13,idle,,3,idle,,15,idle,,17,idle,,19,idle
d_main_17_05_s_37,d_main_17_05_s,Speech,anis,anis,Locale_MainScenario:d_main_17_05_s_37,True,,150,150,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_38,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_38,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_39,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_39,True,,L_10,L_10,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_40,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_40,True,,L_10,113,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_41,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_41,True,,113,113,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_42,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_42,True,,113,113,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_43,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_43,True,,113,113,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_44,d_main_17_05_s,Monologue,rapunzel,,Locale_MainScenario:d_main_17_05_s_44,False,,113,113,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_45,d_main_17_05_s,Narration,rapunzel,,Locale_MainScenario:d_main_17_05_s_45,False,,113,113,1.0,,sfx_scn_aim,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_46,d_main_17_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_17_05_s_46,True,,190,190,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_47,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_47,True,,130,130,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_48,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_48,True,,130,130,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_49,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_49,True,,130,130,1.0,,,,,1,idle,,13,idle,,3,idle,,15,angry,,17,idle,,19,idle
d_main_17_05_s_50,d_main_17_05_s,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_05_s_50,True,,30,30,1.0,,,,,1,idle,,13,idle,,3,delight,,15,angry,,17,idle,,19,idle
d_main_17_05_s_51,d_main_17_05_s,Speech,hongryeon,hongryeon,Locale_MainScenario:d_main_17_05_s_51,True,,30,30,1.0,,,,,1,idle,,13,idle,,3,delight,,15,angry,,17,idle,,19,idle
d_main_17_05_s_52,d_main_17_05_s,Self,hongryeon,,Locale_MainScenario:d_main_17_05_s_52,False,,30,30,1.0,,,,,1,idle,,13,idle,,3,delight,,15,angry,,17,idle,,19,idle
d_main_17_05_s_53,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_53,True,,30,130,1.0,,,,,1,idle,,13,idle,,3,delight,,15,angry,,17,idle,,19,idle
d_main_17_05_s_54,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_54,True,,130,130,1.0,,,,,1,idle,,13,shy,,3,delight,,15,angry,,17,idle,,19,idle
d_main_17_05_s_55,d_main_17_05_s,Speech,rapunzel,rapunzel,Locale_MainScenario:d_main_17_05_s_55,True,,130,130,1.0,,,,,1,idle,,13,pain,,3,delight,,15,angry,,17,idle,,19,idle
d_main_17_05_s_56,d_main_17_05_s,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_17_05_s_56,True,,L_10,L_10,1.0,,,,,1,idle,,13,pain,,3,delight,,15,angry,,17,idle,,19,idle
