id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_34_01_s_15,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_15,True,,2,think,,1,1,1.0,,,,12,angry
d_main_34_01_s_16,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_16,True,,2,void,,1,1,1.0,,,,12,angry
d_main_34_01_s_17,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_17,True,,2,void,,1,1,1.0,,,,12,think_01
d_main_34_01_s_18,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_18,True,,2,void,,1,1,1.0,,,,12,think_01
d_main_34_01_s_19,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_19,True,,2,void,,1,1,1.0,,,,12,think_01
d_main_34_01_s_20,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_20,True,,2,void,,1,20,1.0,,,,12,think_01
d_main_34_01_s_21,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_21,False,,2,void,,20,S_120,1.0,,,,12,think_01
d_main_34_01_s_22,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_22,True,,2,void,,S_120,S_120,1.0,,,,12,think_01
d_main_34_01_s_23,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_23,True,,2,void,,S_120,1,1.0,,,,12,think_01
d_main_34_01_s_24,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_24,True,,2,void,,1,1,1.0,,,,12,angry
d_main_34_01_s_25,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_25,True,,2,void,,1,1,1.0,,,,12,angry
d_main_34_01_s_26,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_26,True,,2,void,,1,1,1.0,,,,12,angry
d_main_34_01_s_27,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_27,True,,2,void,,1,1,1.0,,,,12,angry
d_main_34_01_s_28,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_28,True,,2,think,,1,20,1.0,,,,12,angry
d_main_34_01_s_29,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_29,True,,2,think,,20,20,1.0,,,,12,angry
d_main_34_01_s_30,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_30,True,,2,think,,20,20,1.0,,,,12,angry
d_main_34_01_s_31,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_31,True,,2,think,,20,S_120,1.0,,,,12,think_01
d_main_34_01_s_32,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_32,True,,2,think,,S_120,S_120,1.0,,,,12,think_01
d_main_34_01_s_33,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_33,True,,2,think,,S_120,S_120,1.0,,,,12,think_01
d_main_34_01_s_34,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_34,True,,2,think,,S_120,S_120,1.0,,,,12,think_01
d_main_34_01_s_35,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_35,True,,2,think,,S_120,S_120,1.0,,,,12,think_01
d_main_34_01_s_36,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_36,True,,2,good,,S_120,1,1.0,,,,12,think_01
d_main_34_01_s_37,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_37,True,,2,good,,1,1,1.0,,,,12,think_01
d_main_34_01_s_38,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_38,True,,2,good,,1,1,1.0,,,,12,think_01
d_main_34_01_s_39,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_39,True,,2,good,,1,1,1.0,,,,12,think_01
d_main_34_01_s_40,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_40,True,,2,think,,1,20,1.0,,,,12,think_01
d_main_34_01_s_41,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_41,True,,2,think,,20,20,1.0,,,,12,think_01
d_main_34_01_s_42,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_42,True,,2,think,,20,20,1.0,,,,12,think_01
d_main_34_01_s_43,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_43,True,,2,think,,20,20,1.0,,,,12,think_01
d_main_34_01_s_44,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_44,True,,2,think,,20,20,1.0,,,,12,think_01
d_main_34_01_s_45,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_45,False,,2,think,,20,1,1.0,,,,12,think_01
d_main_34_01_s_46,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_46,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_47,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_47,False,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_48,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_48,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_49,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_49,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_50,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_50,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_51,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_51,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_52,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_52,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_53,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_53,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_54,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_54,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_55,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_55,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_56,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_56,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_57,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_57,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_58,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_58,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_59,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_59,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_60,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_60,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_61,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_61,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_62,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_62,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_63,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_63,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_64,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_64,False,,2,think,,1,S_120,1.0,,,,12,think_01
d_main_34_01_s_65,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_65,True,,2,think,,S_120,S_120,1.0,,,,12,think_01
d_main_34_01_s_66,d_main_34_01_s,Speech,leviathan,behemoth,Locale_MainScenario:d_main_34_01_s_66,False,,2,void,,S_120,S_120,1.0,,,,12,think_01
d_main_34_01_s_67,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_67,True,,2,void,,S_120,S_1200,0.5,,,,12,angry
d_main_34_01_s_68,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_68,True,,2,void,,S_1200,12,2.0,,,,12,angry
d_main_34_01_s_69,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_69,True,,2,void,,12,12,1.0,,,,12,think_02
d_main_34_01_s_70,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_70,True,,2,void,,12,1,1.0,,,,12,think_02
d_main_34_01_s_71,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_71,False,,2,void,,1,1,1.0,,,,12,think_02
d_main_34_01_s_72,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_72,True,,2,void,,1,S_120,1.0,,,,12,angry
d_main_34_01_s_73,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_73,True,,2,void,,S_120,S_1200,1.0,,,,12,sad_01
d_main_34_01_s_74,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_74,False,,2,void,,S_1200,200,1.0,,,,12,sad_01
d_main_34_01_s_75,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_75,True,,2,void,,200,20,1.0,,,,12,sad_01
d_main_34_01_s_76,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_76,True,,2,void,,20,20,1.0,,,,12,sad_01
d_main_34_01_s_77,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_77,True,,2,void,,20,20,1.0,,,,12,sad_01
d_main_34_01_s_78,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_78,True,,2,void,,20,20,1.0,,,,12,sad_01
d_main_34_01_s_79,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_79,True,,2,void,,20,1,1.0,,,,12,think_01
d_main_34_01_s_80,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_80,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_81,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_81,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_82,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_82,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_83,d_main_34_01_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_01_s_83,True,,2,think,,1,1,1.0,,,,12,think_01
d_main_34_01_s_84,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_84,False,,2,think,,1,20,1.0,,,,12,think_01
d_main_34_01_s_85,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_85,True,,2,good,,20,20,1.0,,,,12,think_01
d_main_34_01_s_86,d_main_34_01_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_01_s_86,True,,2,good,,20,200,1.0,,,,12,think_01
