id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,set_camera_shake,fade
d_main_16_09_s_16,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_16,True,,12,12,1.0,,crow,,13,delight,,1,idle,,3,idle,,,
d_main_16_09_s_17,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_17,True,,12,12,1.0,,viper,,13,idle,,1,idle,,3,idle,,,
d_main_16_09_s_18,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_18,True,,12,10,1.0,,crow,,13,idle,,1,smile,,3,idle,,,
d_main_16_09_s_19,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_19,True,,10,130,1.0,,viper,,13,good,,1,smile,,3,idle,,,
d_main_16_09_s_20,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_20,True,,130,130,1.0,,viper,,13,good,,1,smile,,3,idle,,,
d_main_16_09_s_21,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_21,False,,130,10,2.0,,crow,,13,good,,1,idle,,3,idle,,,
d_main_16_09_s_22,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_22,True,,10,10,1.0,,crow,,13,good,,1,smile,,3,idle,,,
d_main_16_09_s_23,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_23,True,,130,130,1.0,,viper,,13,good,,1,smile,,3,idle,,,
d_main_16_09_s_24,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_24,True,,130,10,0.5,,crow,,13,good,,1,smile,,3,idle,,,
d_main_16_09_s_25,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_25,True,,10,12,1.0,,viper,,13,delight,,1,idle,,3,idle,,,
d_main_16_09_s_26,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_26,True,,12,130,1.5,,viper,,13,shy,,1,idle,,3,idle,,,
d_main_16_09_s_27,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_27,True,,130,130,1.0,,viper,,13,idle,,1,idle,,3,idle,,,
d_main_16_09_s_28,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_28,True,,130,1300,1.5,,viper,,13,good,,1,idle,,3,idle,,,
d_main_16_09_s_29,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_29,True,,1300,10,0.7,,crow,,13,idle,,1,idle,,3,idle,,,
d_main_16_09_s_30,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_30,True,,10,10,1.0,,crow,,13,idle,,1,idle,,3,idle,,,
d_main_16_09_s_31,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_31,True,,10,10,1.0,,crow,,13,idle,,1,idle,,3,idle,,,
d_main_16_09_s_32,d_main_16_09_s,Speech,crow,Locale_MainScenario:d_main_16_09_s_32,True,,10,100,2.0,,crow,,13,idle,,1,smile,,3,idle,,,
d_main_16_09_s_33,d_main_16_09_s,Speech,viper,Locale_MainScenario:d_main_16_09_s_33,True,,100,1300,2.0,,viper,,13,good,,1,smile,,3,idle,,,
