id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_hospital_01_27,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_27,True,,3,2,1.0,none,,,,1,idle,,3,idle,
d_ex_hospital_01_28,d_ex_hospital_01,Narration,mary,,Locale_SuddenStory:d_ex_hospital_01_28,True,,2,2,1.0,,,,,1,idle,,3,pain,
d_ex_hospital_01_29,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_29,True,,2,1,1.0,bgm_story_orangepop,,,,1,idle,,3,idle,
d_ex_hospital_01_30,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_30,True,,1,1,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_31,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_31,False,,1,1,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_32,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_32,True,,1,1,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_33,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_33,True,,1,XS_10,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_34,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_34,False,,XS_30,XS_300,0.5,,,,,1,idle,,3,idle,
d_ex_hospital_01_35,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_35,True,,1,XS_10,3.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_36,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_36,True,,XS_10,XS_100,3.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_37,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_37,True,,3,XS_30,3.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_38,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_38,True,,XS_30,XS_300,0.5,,,,,1,idle,,3,pain,
d_ex_hospital_01_39,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_39,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_40,d_ex_hospital_01,Narration,mary,,Locale_SuddenStory:d_ex_hospital_01_40,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_41,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_41,True,,2,XS_100,0.5,bgm_story_whosdumber,,,,1,idle,,3,idle,
d_ex_hospital_01_42,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_42,False,,XS_30,XS_300,0.5,,,,,1,idle,,3,idle,
d_ex_hospital_01_43,d_ex_hospital_01,Self,epinel,,Locale_SuddenStory:d_ex_hospital_01_43,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_44,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_44,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_45,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_45,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_46,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_46,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_47,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_47,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_48,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_48,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_49,d_ex_hospital_01,Narration,mary,,Locale_SuddenStory:d_ex_hospital_01_49,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_50,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_50,False,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_51,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_51,True,,2,3,1.0,,,,,1,idle,,3,pain,
d_ex_hospital_01_52,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_52,True,,3,3,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_53,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_53,True,,3,1,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_54,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_54,True,,1,3,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_55,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_55,False,,3,XS_30,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_56,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_56,False,,XS_30,XS_10,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_57,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_57,True,,XS_10,XS_10,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_58,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_58,True,,XS_10,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_59,d_ex_hospital_01,Narration,mary,,Locale_SuddenStory:d_ex_hospital_01_59,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_60,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_60,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_61,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_61,True,,XS_10,XS_100,0.5,,,,,1,idle,,3,idle,
d_ex_hospital_01_62,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_62,True,,XS_30,XS_300,3.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_63,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_63,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_64,d_ex_hospital_01,Speech,epinel,epinel,Locale_SuddenStory:d_ex_hospital_01_64,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_65,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_65,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_66,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_66,True,,2,2,1.0,,,,,1,idle,,3,idle,
d_ex_hospital_01_67,d_ex_hospital_01,Narration,mary,,Locale_SuddenStory:d_ex_hospital_01_67,True,,2,1,1.0,none,,,,1,idle,,3,idle,epinel
d_ex_hospital_01_68,d_ex_hospital_01,Self,mary,,Locale_SuddenStory:d_ex_hospital_01_68,True,,1,1,1.0,,,,,1,idle,,,,
d_ex_hospital_01_69,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_69,True,,1,1,1.0,,,,,1,idle,,,,
d_ex_hospital_01_70,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_70,True,,1,XS_10,3.0,bgm_story_languor,,,,1,idle,,,,
d_ex_hospital_01_71,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_71,True,,XS_10,XS_100,3.0,,,,,1,idle,,,,
d_ex_hospital_01_72,d_ex_hospital_01,Self,mary,,Locale_SuddenStory:d_ex_hospital_01_72,False,,XS_100,XS_100,1.0,,,,,1,idle,,,,
d_ex_hospital_01_73,d_ex_hospital_01,Speech,mary,mary,Locale_SuddenStory:d_ex_hospital_01_73,True,,XS_100,1,1.0,,,,,1,idle,,,,
