id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,fade,jump_target
d_main_23_05_s_57,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_57,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,d_main_23_05_s_63
d_main_23_05_s_58,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_58,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_59,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_59,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_60,d_main_23_05_s,Self,Locale_MainScenario:d_main_23_05_s_60,False,,30,30,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_61,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_61,True,,30,30,1.0,,,,rapi,rapi,,3,idle,,13,idle,,,
d_main_23_05_s_62,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_62,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,idle,,,d_main_23_05_s_63
d_main_23_05_s_63,d_main_23_05_s,Monologue,Locale_MainScenario:d_main_23_05_s_63,False,,130,130,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_64,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_64,True,,130,13,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_65,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_65,True,,13,13,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_66,d_main_23_05_s,Self,Locale_MainScenario:d_main_23_05_s_66,False,,13,13,1.0,,,,,,,3,idle,,13,idle,,,
d_main_23_05_s_67,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_67,True,,13,13,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_68,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_68,True,,13,13,1.0,,,,viper,viper,,3,idle,,13,idle,,,
d_main_23_05_s_69,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_69,False,,13,13,1.0,,,,viper,viper,,3,idle,,13,good,,,
d_main_23_05_s_70,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_70,True,,13,130,1.0,,,,viper,viper,,3,idle,,13,good,,,
d_main_23_05_s_71,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_71,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,good,,,
d_main_23_05_s_72,d_main_23_05_s,Speech,Locale_MainScenario:d_main_23_05_s_72,True,,130,130,1.0,,,,viper,viper,,3,idle,,13,good,,,
