id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,conversation_id,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_08_05_11,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_11,True,,S_10,S_10,1.0,,,,,,3,idle,,1,surprise,,,13,angry,
d_main_08_05_12,d_main_08_05,Speech,anis,anis,Locale_MainScenario:d_main_08_05_12,True,,S_10,130,1.0,,,,,,3,idle,,1,surprise,,,13,sad,
d_main_08_05_13,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_13,True,,130,S_100,1.0,,,,,,3,idle,,1,angry,,,13,sad,
d_main_08_05_14,d_main_08_05,Self,neon,Self,Locale_MainScenario:d_main_08_05_14,False,,S_100,S_100,1.0,,,,,,3,idle,,1,angry,,,13,sad,
d_main_08_05_15,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_15,False,,S_100,1,2.0,,,,,,3,idle,,1,worry,,,13,sad,
d_main_08_05_16,d_main_08_05,Speech,anis,anis,Locale_MainScenario:d_main_08_05_16,False,,1,13,1.0,,,,,,3,idle,,1,worry,,,13,sad,
d_main_08_05_17,d_main_08_05,Self,anis,Self,Locale_MainScenario:d_main_08_05_17,False,,13,13,1.0,,,,,,3,idle,,1,worry,,,13,sad,
d_main_08_05_18,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_18,True,,13,1,1.0,,,,,,3,idle,,1,angry,,,13,sad,
d_main_08_05_19,d_main_08_05,Speech,rapi,rapi,Locale_MainScenario:d_main_08_05_19,True,,1,2,1.0,,,,,,3,think,,1,angry,,,13,sad,
d_main_08_05_20,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_20,False,,2,2,1.0,,,,,,3,think,,1,angry,,,13,sad,
d_main_08_05_21,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_21,True,,2,2,1.0,,,,,,3,idle,,1,angry,,,13,sad,
d_main_08_05_22,d_main_08_05,Speech,neon,neon,Locale_MainScenario:d_main_08_05_22,True,,2,2,1.0,,,,,,3,idle,,1,angry,,,13,sad,
d_main_08_05_23,d_main_08_05,Narration,neon,neon,Locale_MainScenario:d_main_08_05_23,False,,2,2,1.0,,,,,,3,idle,,16,angry,,,13,sad,
d_main_08_05_24,d_main_08_05,Speech,rapi,rapi,Locale_MainScenario:d_main_08_05_24,True,,2,3,1.0,,,,,,3,worry,,16,angry,neon,,13,sad,
d_main_08_05_25,d_main_08_05,Speech,anis,anis,Locale_MainScenario:d_main_08_05_25,True,,3,13,1.0,,,,,,3,worry,,,,,,13,angry,
d_main_08_05_26,d_main_08_05,Speech,anis,anis,Locale_MainScenario:d_main_08_05_26,True,,13,13,1.0,,,,,,3,worry,,,,,,13,sad,
d_main_08_05_27,d_main_08_05,Narration,anis,anis,Locale_MainScenario:d_main_08_05_27,False,,13,13,1.0,,,,,,3,worry,,,,,,17,sad,
d_main_08_05_28,d_main_08_05,Speech,rapi,rapi,Locale_MainScenario:d_main_08_05_28,True,,13,3,1.0,,,,,,3,worry,,,,,,17,sad,anis
d_main_08_05_29,d_main_08_05,Self,rapi,rapi,Locale_MainScenario:d_main_08_05_29,False,,3,3,1.0,,,,,,3,worry,,,,,,,,
d_main_08_05_30,d_main_08_05,Speech,rapi,rapi,Locale_MainScenario:d_main_08_05_30,True,,3,3,1.0,,,,,,3,think,,,,,,,,
d_main_08_05_31,d_main_08_05,Narration,rapi,rapi,Locale_MainScenario:d_main_08_05_31,False,,3,3,1.0,,,m_main_08_05,sfx_scn_phonevibration,,3,think,,,,,,,,
