id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_subquest_1194_s_18,d_subquest_1194_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_s_18,True,,6,idle,,4,idle,,2,worry,,12,idle,,14,idle,,3,3,1.0,,
d_subquest_1194_s_19,d_subquest_1194_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1194_s_19,True,,6,idle,,4,surprise,,2,worry,,12,idle,,14,idle,,3,3,1.0,,
d_subquest_1194_s_20,d_subquest_1194_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_s_20,True,,6,idle,,4,surprise,,2,no,,12,idle,,14,idle,,3,3,1.0,,
d_subquest_1194_s_21,d_subquest_1194_s,Speech,volt,volt,Locale_SubScenario:d_subquest_1194_s_21,False,,6,idle,,4,idle,,2,no,,12,idle,,14,idle,,3,6019,0.3,,
d_subquest_1194_s_22,d_subquest_1194_s,Self,,Self,Locale_SubScenario:d_subquest_1194_s_22,False,,6,idle,,4,idle,,2,no,,12,idle,,14,idle,,6019,6019,1.0,,
d_subquest_1194_s_23,d_subquest_1194_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1194_s_23,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,60,60,1.0,,
d_subquest_1194_s_24,d_subquest_1194_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1194_s_24,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,60,60,1.0,,
d_subquest_1194_s_25,d_subquest_1194_s,Self,,Self,Locale_SubScenario:d_subquest_1194_s_25,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,60,60,1.0,,
d_subquest_1194_s_26,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_26,True,,6,idle,,4,idle,,2,idle,,12,delight,,14,idle,,XS_120,XS_120,1.0,,
d_subquest_1194_s_27,d_subquest_1194_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1194_s_27,True,,6,idle,,4,idle,,2,idle,,12,delight,,14,delight,,XS_120,XS_120,1.0,,
d_subquest_1194_s_28,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_28,True,,6,idle,,4,idle,,2,idle,,12,delight,,14,delight,,XS_120,XS_120,1.0,,
d_subquest_1194_s_29,d_subquest_1194_s,Speech,volt,volt,Locale_SubScenario:d_subquest_1194_s_29,True,,6,idle,,4,idle,,2,idle,,12,delight,,14,idle,,XS_120,6019,1.0,,
d_subquest_1194_s_30,d_subquest_1194_s,Speech,liter,liter,Locale_SubScenario:d_subquest_1194_s_30,True,,6,idle,,4,idle,,2,idle,,12,delight,,14,idle,,6019,XS_120,1.0,,
d_subquest_1194_s_31,d_subquest_1194_s,Speech,volt,volt,Locale_SubScenario:d_subquest_1194_s_31,True,,6,idle,,4,idle,,2,idle,,12,delight,,14,idle,,XS_120,6019,0.3,,sfx_scn_dogbark
d_subquest_1194_s_32,d_subquest_1194_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1194_s_32,True,,6,idle,,4,idle,,2,idle,,12,delight,,14,idle,,L_140,L_140,1.0,,
d_subquest_1194_s_33,d_subquest_1194_s,Speech,centi,centi,Locale_SubScenario:d_subquest_1194_s_33,True,,6,idle,,4,idle,,2,idle,,12,delight,,14,angry,,L_140,L_140,1.0,,
d_subquest_1194_s_34,d_subquest_1194_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1194_s_34,True,,6,idle,,4,idle,,2,angry,,12,delight,,14,angry,,20,20,1.0,,
