id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_29_04_s_20,d_main_29_04_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_04_s_20,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,15,XS_150,1.0,,,OP_rightup,idle,
d_main_29_04_s_21,d_main_29_04_s,Self,drilley,,Locale_MainScenario:d_main_29_04_s_21,False,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_150,1.0,,,OP_rightup,idle,
d_main_29_04_s_22,d_main_29_04_s,Self,drilley,,Locale_MainScenario:d_main_29_04_s_22,False,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_150,1.0,,,OP_rightup,idle,
d_main_29_04_s_23,d_main_29_04_s,Self,drilley,,Locale_MainScenario:d_main_29_04_s_23,False,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,XS_150,XS_150,1.0,,,OP_rightup,idle,
d_main_29_04_s_24,d_main_29_04_s,Speech,anis,anis,Locale_MainScenario:d_main_29_04_s_24,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,2,2,1.0,,,OP_rightup,idle,
d_main_29_04_s_25,d_main_29_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_04_s_25,True,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,2,2,1.0,,,OP_rightup,idle,
d_main_29_04_s_26,d_main_29_04_s,Speech,anis,anis,Locale_MainScenario:d_main_29_04_s_26,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,2,4,1.0,,,OP_rightup,idle,
d_main_29_04_s_27,d_main_29_04_s,Speech,neon,neon,Locale_MainScenario:d_main_29_04_s_27,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,OP_rightup,idle,
d_main_29_04_s_28,d_main_29_04_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_04_s_28,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,OP_rightup,no,
d_main_29_04_s_29,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_29,True,,5,idle,,3,idle,,1,idle,,13,no,,15,idle,,S_130,S_130,1.0,,,OP_rightup,no,trony_op_r
d_main_29_04_s_30,d_main_29_04_s,Self,fragile,,Locale_MainScenario:d_main_29_04_s_30,False,,5,idle,,3,idle,,1,idle,,13,no,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_31,d_main_29_04_s,Self,fragile,,Locale_MainScenario:d_main_29_04_s_31,False,,5,idle,,3,idle,,1,idle,,13,no,,15,idle,,S_130,S_130,1.0,,,,,
d_main_29_04_s_32,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_32,False,,5,idle,,3,void,,1,idle,,13,shy,,15,idle,,S_130,13,1.0,,,,,
d_main_29_04_s_33,d_main_29_04_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_04_s_33,True,,5,idle,,3,void,,1,idle,,13,shy,,15,idle,,13,14,1.0,,,,,
d_main_29_04_s_34,d_main_29_04_s,Self,drilley,,Locale_MainScenario:d_main_29_04_s_34,False,,5,idle,,3,void,,1,idle,,13,shy,,15,idle,,14,14,1.0,,,,,
d_main_29_04_s_35,d_main_29_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_04_s_35,True,,5,idle,,3,void,,1,idle,,13,shy,,15,idle,,10,10,1.0,,,,,
d_main_29_04_s_36,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_36,True,,5,idle,,3,void,,1,idle,,13,no,,15,idle,,14,14,1.0,,,,,
d_main_29_04_s_37,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_37,True,,5,idle,,3,void,,1,idle,,13,no,,15,idle,,14,14,1.0,,,,,
d_main_29_04_s_38,d_main_29_04_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_04_s_38,True,,5,idle,,3,void,,1,idle,,13,no,,15,surprise,,14,14,1.0,,,,,
d_main_29_04_s_39,d_main_29_04_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_04_s_39,True,,5,idle,,3,void,,1,idle,,13,no,,15,surprise,,14,14,1.0,,,,,
d_main_29_04_s_40,d_main_29_04_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_04_s_40,False,,5,idle,,3,void,,1,idle,,13,shy,,15,surprise,,14,14,1.0,,,,,
d_main_29_04_s_41,d_main_29_04_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_04_s_41,True,,5,idle,,3,void,,1,idle,,13,shy,,15,idle,,14,XS_150,1.0,,,,,
