id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,play_sound
d_main_39_10_11,d_main_39_10,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_10_11,True,,1,idle,,,,,L_30,L_30,1.0,,,,13,idle,black,rapi_red,drake_p,3,angry,laplace_p,13,sad_02,,,
d_main_39_10_12,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_12,True,,1,rage,,,,,L_30,10,1.0,,,,,,,,,3,angry,,13,sad_02,,,
d_main_39_10_13,d_main_39_10,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_10_13,True,,1,rage,,,,,10,S_130,1.0,,,,,,,,,3,angry,,13,sad_02,,,
d_main_39_10_14,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_14,True,,1,delight_02,,,,,100,100,1.0,,,,,,,,,3,angry,,13,sad_02,,,
d_main_39_10_15,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_15,True,,1,delight_02,,,,,100,100,1.0,,,,,,,,,3,angry,,13,sad_02,,,
d_main_39_10_16,d_main_39_10,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_10_16,False,,1,delight_02,,,,,L_300,L_300,1.0,,,,,,,,,3,no,,13,special_02,,,
d_main_39_10_17,d_main_39_10,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_10_17,False,,1,delight_02,,,,,S_1300,S_1300,1.0,,,,,,,,,3,no,,13,special_02,,,
d_main_39_10_18,d_main_39_10,Self,nayuta_n,,Locale_MainScenario:d_main_39_10_18,False,,1,idle,,,,,100,100,1.0,,,,,,black,,,3,no,,5,special_02,drake_p,laplace_p,
d_main_39_10_19,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_19,True,,1,delight,,,,,100,100,1.0,,,,,,,,,,,,,,,,
d_main_39_10_20,d_main_39_10,Self,nayuta_n,,Locale_MainScenario:d_main_39_10_20,False,,1,delight,,,,,100,100,1.0,,,,,,,,,,,,,,,,
d_main_39_10_21,d_main_39_10,Monologue,nayuta_n,,Locale_MainScenario:d_main_39_10_21,False,,1,idle,maxwell_p,3,worry,,black,black,1.0,,,rapi_red,13,idle,black,,drake_p,7,idle,laplace_p,5,idle,,,
d_main_39_10_22,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_22,True,,1,delight,,3,worry,,100,100,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_23,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_23,True,,1,delight,,3,worry,,100,10,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_24,d_main_39_10,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_10_24,True,,1,delight,,3,worry,,10,113,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_25,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_25,True,,1,idle,,3,worry,,113,113,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_26,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_26,True,,1,idle,,3,worry,,113,113,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_27,d_main_39_10,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_10_27,True,,1,idle,,3,worry,,113,31,1.5,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_28,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_28,True,,1,delight,,3,worry,,31,31,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_29,d_main_39_10,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_10_29,True,,1,delight,,3,worry,,31,31,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_30,d_main_39_10,Self,maxwell_p,,Locale_MainScenario:d_main_39_10_30,False,,1,delight,,3,worry,,31,31,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_31,d_main_39_10,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_10_31,True,,1,delight,,3,worry,,31,31,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_32,d_main_39_10,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_10_32,True,,1,delight,,3,worry,,1300,1300,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_33,d_main_39_10,Self,rapi_red,,Locale_MainScenario:d_main_39_10_33,False,,1,delight,,3,worry,,1300,1300,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_34,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_34,True,,1,idle_02,,3,worry,,100,100,1.0,none,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_35,d_main_39_10,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_10_35,True,,1,idle_02,,3,worry,,L_300,L_300,1.0,bgm_chapter39_field_gliding_b,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_36,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_36,True,,1,idle_02,,3,worry,,L_300,100,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_37,d_main_39_10,Monologue,nayuta_n,,Locale_MainScenario:d_main_39_10_37,False,,1,idle_02,,3,worry,,100,10,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_38,d_main_39_10,Monologue,nayuta_n,,Locale_MainScenario:d_main_39_10_38,False,,1,idle_02,,3,worry,,10,10,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_39,d_main_39_10,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_10_39,True,,1,idle_02,,3,worry,,10,113,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_40,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_40,False,,1,idle_02,,3,worry,,113,113,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_41,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_41,True,,1,idle_02,,3,worry,,113,113,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_42,d_main_39_10,Narration,nayuta_n,,Locale_MainScenario:d_main_39_10_42,False,,1,idle_02,,3,worry,,black,black,1.0,,,,13,idle,,,,7,idle,,5,idle,,,sfx_scn_rapturebeam
d_main_39_10_43,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_43,True,,1,idle_02,,3,idle,,100,100,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_44,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_44,True,,1,idle_02,,3,idle,,100,100,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_45,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_45,True,,1,angry_02,,3,idle,,100,100,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_46,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_46,True,,1,angry_02,,3,idle,,100,100,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_47,d_main_39_10,Self,nayuta_n,,Locale_MainScenario:d_main_39_10_47,False,,1,angry_02,,3,idle,,100,100,1.0,,,,13,idle,,,,7,idle,,5,idle,,,
d_main_39_10_48,d_main_39_10,Narration,nayuta_n,,Locale_MainScenario:d_main_39_10_48,False,,1,angry_02,,3,idle,,black,black,1.0,,,,13,idle,,,,7,idle,,5,idle,,,sfx_scn_rapturebeam
d_main_39_10_49,d_main_39_10,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_10_49,True,,1,angry_02,,3,idle,,1300,1300,1.0,,,,13,angry,,,,7,idle,,5,idle,,,
d_main_39_10_50,d_main_39_10,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_10_50,True,,1,angry_02,,3,rage,,L_300,L_300,1.0,,,,13,angry,,,,7,idle,,5,idle,,,
d_main_39_10_51,d_main_39_10,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_10_51,True,,1,angry_02,,3,rage,,L_300,S_500,1.0,,,,13,angry,,,,7,idle,,5,rage_02,,,
d_main_39_10_52,d_main_39_10,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_10_52,True,,1,angry_02,,3,rage,,S_500,L_700,1.0,,,,13,angry,,,,7,delight2,,5,rage_02,,,
d_main_39_10_53,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_53,True,,1,idle_02,,3,rage,,100,100,1.0,,,,13,angry,,,,7,delight2,,5,rage_02,,,
d_main_39_10_54,d_main_39_10,Self,,,Locale_MainScenario:d_main_39_10_54,False,,1,idle_02,,3,rage,,100,100,1.0,,,,13,angry,,,,7,delight2,,5,rage_02,,,
d_main_39_10_55,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_55,True,,1,idle_02,,3,rage,,100,100,1.0,,,,13,angry,,,,7,delight2,,5,rage_02,,,
d_main_39_10_56,d_main_39_10,Self,,,Locale_MainScenario:d_main_39_10_56,False,,1,idle_02,,3,rage,,100,100,1.0,,,,13,angry,,,,7,delight2,,5,rage_02,,,
d_main_39_10_57,d_main_39_10,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_10_57,True,,1,idle_02,,3,rage,,100,100,1.0,,,,13,angry,,,,7,delight2,,5,rage_02,,,
d_main_39_10_58,d_main_39_10,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_10_58,True,,1,idle_02,,3,rage,,1300,130,0.5,,,,13,angry,,,,7,delight2,,5,rage_02,,,
