id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/2/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,fade,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/3/hide_char_id,characters/4/hide_char_id,characters/6/hide_char_id,play_sound,characters/1/hide_char_id
d_main_28_06_26,d_main_28_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_06_26,True,,,,,15,idle,,13,idle,,,,,black,black,1.0,,,,,,,,17,idle,,,,,,,,,
d_main_28_06_27,d_main_28_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_06_27,True,,,,,15,shy,,13,idle,,,,,black,black,1.0,,,,,,,,17,idle,,,,,,,,,
d_main_28_06_28,d_main_28_06,Narration,,,Locale_MainScenario:d_main_28_06_28,False,,,,,15,shy,,13,idle,,,,,black,black,1.0,,,,,,,,17,idle,,,,,,,,sfx_scn_slap2,
d_main_28_06_29,d_main_28_06,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_06_29,True,,,,,15,surprise,,13,idle,,,,,black,black,1.0,,,,,,,,17,idle,,,,,,,,,
d_main_28_06_30,d_main_28_06,Speech,neon,neon,Locale_MainScenario:d_main_28_06_30,True,,,,,15,surprise,,13,idle,,,,,black,black,1.0,,,,,,,,17,surprise,,,,,,,,,
d_main_28_06_31,d_main_28_06,Speech,neon,neon,Locale_MainScenario:d_main_28_06_31,True,,,,,15,surprise,,13,idle,,,,,black,black,1.0,,,,,,,,17,no,,,,,,,,,
d_main_28_06_32,d_main_28_06,Narration,,,Locale_MainScenario:d_main_28_06_32,False,,,,,15,surprise,,13,idle,,,,,S_170,17,1.0,,,,,,,,17,no,,,,,,,,sfx_scn_lighton,
d_main_28_06_33,d_main_28_06,Speech,elegg,elegg,Locale_MainScenario:d_main_28_06_33,True,,,,,15,surprise,,13,idle,,,,,S_130,S_130,1.0,,,,,,,,17,no,,,,,,,,,
d_main_28_06_34,d_main_28_06,Speech,neon,neon,Locale_MainScenario:d_main_28_06_34,True,,,,,15,surprise,,13,idle,,,,,17,17,1.0,,,,,,,,17,idle,,,,,,,,,
d_main_28_06_35,d_main_28_06,Narration,,,Locale_MainScenario:d_main_28_06_35,False,,,,,15,surprise,,13,idle,,,,,black,black,1.0,,,,anis,15,void,,17,idle,black,,,,,,,,liveryn
d_main_28_06_36,d_main_28_06,Speech,shifty,shifty,Locale_MainScenario:d_main_28_06_36,True,,,,,,,,13,idle,,,,,3,3,1.0,,,,,15,void,,17,idle,,shifty,OP_leftup,idle,,,,,
d_main_28_06_37,d_main_28_06,Speech,shifty,shifty,Locale_MainScenario:d_main_28_06_37,True,,,,,,,,13,idle,,,,,3,4,1.0,,,,,15,void,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_38,d_main_28_06,Speech,anis,anis,Locale_MainScenario:d_main_28_06_38,True,,,,,,,,13,idle,,,,,4,14,1.0,,,,,15,void,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_39,d_main_28_06,Speech,shifty,shifty,Locale_MainScenario:d_main_28_06_39,True,,,,,,,,13,idle,,,,,14,14,1.0,,,,,15,void,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_40,d_main_28_06,Speech,shifty,shifty,Locale_MainScenario:d_main_28_06_40,True,,,,,,,,13,idle,,,,,14,14,1.0,,,,,15,void,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_41,d_main_28_06,Speech,shifty,shifty,Locale_MainScenario:d_main_28_06_41,True,,,,,,,,13,idle,,,,,14,14,1.0,,,,,15,void,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_42,d_main_28_06,Speech,elegg,elegg,Locale_MainScenario:d_main_28_06_42,True,,,,,,,,13,idle,,,,,14,14,1.0,,,,,15,void,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_43,d_main_28_06,Speech,shifty,shifty,Locale_MainScenario:d_main_28_06_43,True,,,,,,,,13,idle,,,,,14,14,1.0,,,,,15,void,,17,idle,,,OP_leftup,no,,,,,
d_main_28_06_44,d_main_28_06,Speech,shifty,shifty,Locale_MainScenario:d_main_28_06_44,True,,,,,,,,13,idle,,,,,14,14,1.0,,,,,15,void,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_45,d_main_28_06,Speech,anis,anis,Locale_MainScenario:d_main_28_06_45,True,,,,,,,,13,idle,,,,,14,14,1.0,,,,,15,worry,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_46,d_main_28_06,Speech,elegg,elegg,Locale_MainScenario:d_main_28_06_46,True,,,,,,,,13,idle,,,,,14,14,1.0,,,,,15,worry,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_47,d_main_28_06,Speech,anis,anis,Locale_MainScenario:d_main_28_06_47,True,,,,,,,,13,idle,,,,,14,16,1.0,,,,,15,delight,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_48,d_main_28_06,Speech,anis,anis,Locale_MainScenario:d_main_28_06_48,True,,,,,,,,13,idle,,,,,16,16,1.0,,,,,15,delight,,17,idle,,,OP_leftup,idle,,,,,
d_main_28_06_49,d_main_28_06,Speech,neon,neon,Locale_MainScenario:d_main_28_06_49,False,,,,,,,,13,idle,,,,,16,S_170,1.3,,,,,15,delight,,17,no,,,OP_leftup,idle,,,,,
d_main_28_06_50,d_main_28_06,Monologue,,,Locale_MainScenario:d_main_28_06_50,False,,,,,,,,13,idle,,,,,black,black,1.0,,,,,15,delight,,17,no,,,OP_leftup,idle,,,shifty,,
