id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_police_02_17,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_17,True,,10,100,0.5,,,,1,angry,,,15,idle,,13,idle
d_ex_police_02_18,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_18,True,,100,100,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_19,d_ex_police_02,Self,,,Locale_SuddenStory:d_ex_police_02_19,True,,100,100,1.0,,d_ex_police_02_28,,1,idle,,,15,idle,,13,idle
d_ex_police_02_20,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_20,True,,10,10,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_21,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_21,True,,10,10,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_22,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_22,True,,10,10,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_23,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_23,True,,10,10,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_24,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_24,True,,10,10,1.0,,,,1,angry,,,15,idle,,13,idle
d_ex_police_02_25,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_25,True,,10,10,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_26,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_26,True,,10,100,0.5,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_27,d_ex_police_02,Self,,,Locale_SuddenStory:d_ex_police_02_27,True,,100,100,1.0,,d_ex_police_02_28,,1,idle,,,15,idle,,13,idle
d_ex_police_02_28,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_28,True,,100,XS_130,0.5,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_29,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_29,True,,XS_130,XS_130,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_30,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_30,True,,XS_130,XS_130,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_31,d_ex_police_02,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_02_31,True,,XS_130,S_150,0.5,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_32,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_32,True,,10,10,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_33,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_33,True,,XS_130,XS_130,1.0,,,,1,idle,,,15,idle,,13,angry
d_ex_police_02_34,d_ex_police_02,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_02_34,True,,S_150,S_150,1.0,,,,1,idle,,,15,idle,,13,angry
d_ex_police_02_35,d_ex_police_02,Monologue,,,Locale_SuddenStory:d_ex_police_02_35,True,,S_150,113,0.5,,,,1,angry,,,15,idle,,13,angry
d_ex_police_02_36,d_ex_police_02,Monologue,,,Locale_SuddenStory:d_ex_police_02_36,True,,113,113,1.0,,,,1,angry,,,15,idle,,13,angry
d_ex_police_02_37,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_37,True,,113,113,1.0,,,,1,angry,,,15,idle,,13,angry
d_ex_police_02_38,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_38,True,,113,113,1.0,,,,1,angry,,,15,idle,,13,angry
d_ex_police_02_39,d_ex_police_02,Self,,,Locale_SuddenStory:d_ex_police_02_39,True,,113,113,1.0,,,,1,angry,,,15,idle,,13,idle
d_ex_police_02_40,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_40,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_41,d_ex_police_02,Self,,,Locale_SuddenStory:d_ex_police_02_41,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_42,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_42,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,angry
d_ex_police_02_43,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_43,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,angry
d_ex_police_02_44,d_ex_police_02,Choice,,,Locale_SuddenStory:d_ex_police_02_44,True,,113,113,1.0,,d_ex_police_02_46,,1,idle,,,15,idle,,13,angry
d_ex_police_02_45,d_ex_police_02,Choice,,,Locale_SuddenStory:d_ex_police_02_45,True,,113,113,1.0,,d_ex_police_02_49,,1,idle,,,15,idle,,13,angry
d_ex_police_02_46,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_46,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,angry
d_ex_police_02_47,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_47,True,,113,113,1.0,,,,1,no,,,15,idle,,13,angry
d_ex_police_02_48,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_48,True,,113,113,1.0,,d_ex_police_02_51,,1,no,,,15,idle,,13,angry
d_ex_police_02_49,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_49,True,,113,113,1.0,,,,1,no,,,15,idle,,13,angry
d_ex_police_02_50,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_50,True,,113,113,1.0,,d_ex_police_02_51,,1,no,,,15,idle,,13,angry
d_ex_police_02_51,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_51,True,,113,XS_1300,0.5,,,,1,idle,,,15,idle,,13,angry
d_ex_police_02_52,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_52,True,,XS_1300,XS_130,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_53,d_ex_police_02,Monologue,,,Locale_SuddenStory:d_ex_police_02_53,True,,XS_130,XS_130,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_54,d_ex_police_02,Self,,,Locale_SuddenStory:d_ex_police_02_54,True,,XS_130,XS_130,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_55,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_55,True,,XS_130,XS_130,0.5,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_56,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_56,True,,XS_130,XS_130,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_57,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_57,True,,XS_130,XS_130,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_58,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_58,True,,XS_130,XS_130,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_59,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_59,True,,XS_130,113,0.5,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_60,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_60,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_61,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_61,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_62,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_62,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_63,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_63,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_64,d_ex_police_02,Monologue,,,Locale_SuddenStory:d_ex_police_02_64,True,,113,113,1.0,,,,,,drake,,15,idle,,13,idle
d_ex_police_02_65,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_65,True,,113,1315,0.5,,,,,,,,15,idle,,13,idle
d_ex_police_02_66,d_ex_police_02,Self,,,Locale_SuddenStory:d_ex_police_02_66,True,,1315,1315,1.0,,,,,,,,15,idle,,13,idle
d_ex_police_02_67,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_67,True,,1315,1315,1.0,,,,,,,,15,idle,,13,idle
d_ex_police_02_68,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_68,True,,1315,1315,1.0,,,,,,,,15,idle,,13,idle
d_ex_police_02_69,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_69,True,,1315,1315,1.0,,,,,,,,15,idle,,13,idle
d_ex_police_02_70,d_ex_police_02,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_02_70,True,,1315,1315,1.0,,,,,,,,15,idle,,13,idle
d_ex_police_02_71,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_71,True,,1315,1315,1.0,,,,,,,,15,idle,,13,idle
d_ex_police_02_72,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_72,True,,1315,1315,1.0,,,,,,,,15,idle,,13,angry
d_ex_police_02_73,d_ex_police_02,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_02_73,True,,1315,1315,1.0,,,,,,,,15,idle,,13,angry
d_ex_police_02_74,d_ex_police_02,Monologue,,,Locale_SuddenStory:d_ex_police_02_74,True,,1315,1315,1.0,,,,,,,,15,idle,,13,angry
