id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_06_06_29,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_29,True,,500,500,1.0,,,,,,5,angry,,3,idle,,1,no,,,
d_main_06_06_30,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_30,True,,30,30,1.0,,d_main_06_06_32,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_31,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_31,True,,30,30,1.0,,d_main_06_06_32,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_32,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_32,True,,30,300,1.0,,,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_33,d_main_06_06,Narration,rapi,Narration,Locale_MainScenario:d_main_06_06_33,True,,300,3,0.5,none,,sfx_scn_explosions,Low_2,,5,void,,3,idle,,1,idle,,,
d_main_06_06_34,d_main_06_06,Narration,rapi,Narration,Locale_MainScenario:d_main_06_06_34,True,,3,3,1.0,,,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_35,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_35,True,,3,3,1.0,bgm_disaster,,,,,5,angry,,3,idle,,1,idle,,,
d_main_06_06_36,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_36,True,,3,3,1.0,,,,,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_37,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_37,True,,3,300,0.5,,,,,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_38,d_main_06_06,Monologue,rapi,,Locale_MainScenario:d_main_06_06_38,True,,300,300,1.0,,,,,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_39,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_39,True,,300,300,1.0,,,,,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_40,d_main_06_06,Narration,rapi,Narration,Locale_MainScenario:d_main_06_06_40,True,,black,black,1.0,,,sfx_scn_earthquake,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_41,d_main_06_06,Monologue,rapi,,Locale_MainScenario:d_main_06_06_41,True,,black,black,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_42,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_42,True,,black,black,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_43,d_main_06_06,Speech,neon,neon,Locale_MainScenario:d_main_06_06_43,True,,black,black,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_44,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_44,True,,black,black,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_45,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_45,True,,black,black,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_46,d_main_06_06,Narration,rapi,Narration,Locale_MainScenario:d_main_06_06_46,True,,black,black,1.0,,,sfx_scn_bonecrash,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_47,d_main_06_06,Monologue,rapi,,Locale_MainScenario:d_main_06_06_47,True,,black,black,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_48,d_main_06_06,Monologue,rapi,,Locale_MainScenario:d_main_06_06_48,True,,black,black,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_49,d_main_06_06,Monologue,rapi,,Locale_MainScenario:d_main_06_06_49,True,,black,black,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_50,d_main_06_06,Monologue,rapi,,Locale_MainScenario:d_main_06_06_50,True,,black,black,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_51,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_51,True,,black,black,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_52,d_main_06_06,Monologue,rapi,,Locale_MainScenario:d_main_06_06_52,True,,17,17,1.0,,,,Low_2_Loop,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_53,d_main_06_06,Monologue,rapi,,Locale_MainScenario:d_main_06_06_53,True,,17,17,1.0,,,,none,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_54,d_main_06_06,Monologue,rapi,,Locale_MainScenario:d_main_06_06_54,True,,17,17,1.0,,,,,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_55,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_55,True,,30,300,0.5,,,,,,5,angry,,3,angry,,1,idle,,,
d_main_06_06_56,d_main_06_06,Speech,talkative,talkative,Locale_MainScenario:d_main_06_06_56,True,,XS_170,XS_1700,1.0,,,,,,5,angry,,3,angry,,1,idle,talkative,17,idle
d_main_06_06_57,d_main_06_06,Monologue,talkative,,Locale_MainScenario:d_main_06_06_57,True,,black,black,1.0,,,,,,5,angry,,3,angry,,1,idle,,17,idle
