id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_subquest_1101_e_17,d_subquest_1101_e,Speech,neon,Locale_SubScenario:d_subquest_1101_e_17,True,,14,14,1.0,,neon,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,
d_subquest_1101_e_18,d_subquest_1101_e,Speech,anis,Locale_SubScenario:d_subquest_1101_e_18,True,,14,14,1.0,,anis,,,,1,idle,,,13,no,,,15,idle,,,5,idle,
d_subquest_1101_e_19,d_subquest_1101_e,Speech,anis,Locale_SubScenario:d_subquest_1101_e_19,True,,14,130,1.0,,anis,,,,1,idle,,,13,angry,,,15,idle,,,5,idle,
d_subquest_1101_e_20,d_subquest_1101_e,Speech,anis,Locale_SubScenario:d_subquest_1101_e_20,True,,130,130,1.0,,anis,,,,1,idle,,,13,angry,,,15,idle,,,5,idle,
d_subquest_1101_e_21,d_subquest_1101_e,Speech,anis,Locale_SubScenario:d_subquest_1101_e_21,True,,130,130,1.0,,anis,,,,1,idle,,,13,angry,,,15,idle,,,5,idle,
d_subquest_1101_e_22,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_22,False,,raptilion_5,raptilion_5,1.0,,anis,,,,1,idle,,,13,void,,,15,idle,,,5,idle,
d_subquest_1101_e_23,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_23,False,,raptilion_5,raptilion_5,1.0,,anis,,,,1,idle,,,13,void,,,15,idle,,,5,idle,
d_subquest_1101_e_24,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_24,False,,raptilion_5,raptilion_5,1.0,,anis,,,,1,idle,,,13,void,,,15,idle,,,5,idle,
d_subquest_1101_e_25,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_25,False,,raptilion_5,raptilion_5,1.0,,anis,,,,1,idle,,,13,void,,,15,idle,,,5,idle,
d_subquest_1101_e_26,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_26,False,,raptilion_5,raptilion_5,1.0,,anis,,,,1,idle,,,13,void,,,15,idle,,,5,idle,
d_subquest_1101_e_27,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_27,False,,raptilion_5,raptilion_5,1.0,,anis,,,,1,idle,,,13,void,,,15,idle,,,5,idle,
d_subquest_1101_e_28,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_28,False,,raptilion_5,raptilion_5,1.0,,anis,,,,1,idle,,,13,void,,,15,idle,,,5,idle,
d_subquest_1101_e_29,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_29,False,,raptilion_5,raptilion_5,1.0,,anis,sfx_scn_machinefan,Low_2,,1,idle,,,13,void,,,15,idle,,,9,idle,raptilion
d_subquest_1101_e_30,d_subquest_1101_e,Monologue,,Locale_SubScenario:d_subquest_1101_e_30,False,,raptilion_5,5,1.0,,anis,,,,1,idle,,,13,void,,,15,idle,,,,,
d_subquest_1101_e_31,d_subquest_1101_e,Monologue,,Locale_SubScenario:d_subquest_1101_e_31,False,,black,black,2.0,,anis,,,,1,idle,rapi,,13,void,anis,,15,idle,neon,,,,
