id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_police_03_12,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_12,True,,12,12,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_13,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_13,True,,12,12,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_14,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_14,True,,12,12,1.0,,,,,1,idle,,,13,delight,
d_ex_police_03_15,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_15,True,,12,12,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_16,d_ex_police_03,Narration,harran,,Locale_SuddenStory:d_ex_police_03_16,True,,12,10,2.0,,,,,1,idle,,,13,idle,
d_ex_police_03_17,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_17,True,,10,10,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_18,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_18,True,,10,10,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_19,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_19,True,,10,10,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_20,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_20,True,,10,10,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_21,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_21,False,,S_130,S_130,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_22,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_22,True,,10,10,1.0,,,,,1,shy,,,13,idle,
d_ex_police_03_23,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_23,True,,S_130,S_130,1.0,,,,,1,shy,,,13,shy,
d_ex_police_03_24,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_24,False,,10,100,2.0,,,,,1,shy,,,13,shy,
d_ex_police_03_25,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_25,True,,100,100,1.0,,,,,1,shy,,,13,shy,
d_ex_police_03_26,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_26,True,,S_130,S_1300,0.5,,,,,1,shy,,,13,delight,
d_ex_police_03_27,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_27,True,,S_1300,12,1.0,,,,,1,idle,,,13,delight,
d_ex_police_03_28,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_28,True,,12,12,1.0,,,,,1,idle,,,13,delight,
d_ex_police_03_29,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_29,True,,12,12,1.0,,,,,1,idle,,,13,delight,
d_ex_police_03_30,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_30,True,,12,12,1.0,,,,,1,idle,,,13,shy,
d_ex_police_03_31,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_31,True,,12,12,1.0,,,,,1,idle,,,13,shy,
d_ex_police_03_32,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_32,True,,12,12,1.0,,,,,1,idle,,,13,delight,
d_ex_police_03_33,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_33,True,,12,12,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_34,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_34,True,,12,12,1.0,,,,,1,special,,,13,idle,
d_ex_police_03_35,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_35,True,,12,12,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_36,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_36,True,,12,12,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_37,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_37,True,,12,12,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_38,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_38,True,,12,S_130,0.5,,,,,1,idle,,,13,idle,
d_ex_police_03_39,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_39,True,,S_130,10,2.0,,,,,1,idle,,,13,idle,
d_ex_police_03_40,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_40,True,,S_130,S_130,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_41,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_41,True,,10,10,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_42,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_42,True,,S_130,S_130,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_43,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_43,True,,10,1,1.0,,,,,1,idle,,,13,idle,
d_ex_police_03_44,d_ex_police_03,Narration,harran,,Locale_SuddenStory:d_ex_police_03_44,True,,1,17,2.0,,,,,17,idle,,,13,idle,
d_ex_police_03_45,d_ex_police_03,Narration,harran,,Locale_SuddenStory:d_ex_police_03_45,True,MachineRoom,black,black,0.5,,sfx_scn_bang,Low_2,,19,idle,,,1,idle,miranda
d_ex_police_03_46,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_46,True,,19,19,1.0,,,,,19,idle,,,,,
d_ex_police_03_47,d_ex_police_03,Narration,harran,,Locale_SuddenStory:d_ex_police_03_47,True,,black,black,1.0,none,sfx_scn_heavyspark,,,19,rage,,,,,
d_ex_police_03_48,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_48,False,,19,190,0.5,,,,,19,rage,,,,,
d_ex_police_03_49,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_49,True,,190,190,1.0,,,,,19,rage,,,,,
d_ex_police_03_50,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_50,True,,190,190,1.0,,,,,19,rage,,,,,
d_ex_police_03_51,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_51,True,,190,190,1.0,,,,,19,rage,,,,,
d_ex_police_03_52,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_52,True,,190,190,1.0,,,,,19,rage,,,,,
d_ex_police_03_53,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_53,False,,190,190,1.0,,,,,19,rage,,,,,
d_ex_police_03_54,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_54,True,,190,19,0.5,,,,,19,shy,,,,,
d_ex_police_03_55,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_55,True,Police,black,black,0.5,bgm_story_herecomestrouble,,,,19,shy,harran,miranda,1,idle,
d_ex_police_03_56,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_56,True,,S_10,S_10,0.5,,,,,,,,,1,idle,
d_ex_police_03_57,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_57,True,,S_10,S_10,1.0,,,,,,,,,1,idle,
d_ex_police_03_58,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_58,True,,S_10,S_100,0.5,,,,,,,,,1,idle,
d_ex_police_03_59,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_59,True,,S_100,S_100,1.0,,,,,,,,,1,idle,
d_ex_police_03_60,d_ex_police_03,Narration,harran,,Locale_SuddenStory:d_ex_police_03_60,True,,S_100,1,1.0,,sfx_scn_cartoonrun,,,,,,,5,idle,miranda
d_ex_police_03_61,d_ex_police_03,Monologue,harran,,Locale_SuddenStory:d_ex_police_03_61,True,,1,1,1.0,,,,,,,,,,,
d_ex_police_03_62,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_62,False,MachineRoom,1,19,2.0,,,,harran,19,shy,,,,,
d_ex_police_03_63,d_ex_police_03,Self,harran,,Locale_SuddenStory:d_ex_police_03_63,False,,19,19,1.0,,,,,19,shy,,,,,
d_ex_police_03_64,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_64,True,,19,190,2.0,,,,,19,shy,,,,,
d_ex_police_03_65,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_65,True,,190,190,1.0,,,,,19,shy,,,,,
d_ex_police_03_66,d_ex_police_03,Monologue,harran,,Locale_SuddenStory:d_ex_police_03_66,True,,190,1900,1.0,,,Low_2,,19,shy,,,,,
d_ex_police_03_67,d_ex_police_03,Self,harran,,Locale_SuddenStory:d_ex_police_03_67,False,,1900,1900,1.0,,,,,19,shy,,,,,
d_ex_police_03_68,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_68,True,,1900,1900,1.0,,,,,19,shy,,,,,
d_ex_police_03_69,d_ex_police_03,Self,harran,,Locale_SuddenStory:d_ex_police_03_69,True,,1900,1900,1.0,,,,,19,shy,,,,,
d_ex_police_03_70,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_70,True,,1900,190,2.0,,,,,19,shy,,,,,
d_ex_police_03_71,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_71,False,,190,190,1.0,,,,,19,shy,,,,,
d_ex_police_03_72,d_ex_police_03,Self,harran,,Locale_SuddenStory:d_ex_police_03_72,False,,190,190,1.0,,,,,19,shy,,,,,
d_ex_police_03_73,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_73,False,,190,190,1.0,,,,,19,shy,,,,,
