id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_court_07_14,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_14,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,angry,,,1,idle,,13,angry
d_ex_court_07_15,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_15,False,,30,12,1.0,,,yulha,yulha,,,3,angry,,,1,worry,,13,sad
d_ex_court_07_16,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_16,False,,12,12,1.0,,,admi,admi,,,3,idle,,,1,worry,,13,sad
d_ex_court_07_17,d_ex_court_07,Self,Locale_SuddenStory:d_ex_court_07_17,False,,12,2,1.0,,,,,,,3,angry,,,1,worry,,13,sad
d_ex_court_07_18,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_18,True,,2,2,1.0,,,privaty_m,privaty_m,,,3,sad2,,,1,worry,,13,sad
d_ex_court_07_19,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_19,True,,2,2,1.0,,,privaty_m,privaty_m,,,3,sad2,,,1,worry,,13,sad
d_ex_court_07_20,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_20,True,,2,2,1.0,,,admi,admi,,,3,sad2,,,1,worry,,13,sad
d_ex_court_07_21,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_21,True,,2,2,1.0,,,privaty_m,privaty_m,,,3,idle,,,1,worry,,13,sad
d_ex_court_07_22,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_22,True,,2,2,1.0,,,admi,admi,,,3,idle,,,1,worry,,13,sad
d_ex_court_07_23,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_23,True,,2,2,1.0,,,admi,admi,,,3,idle,,,1,worry,,13,sad
d_ex_court_07_24,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_24,False,,2,30,1.0,,,privaty_m,privaty_m,,,3,surprise,,,1,worry,,13,sad
d_ex_court_07_25,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_25,True,,30,30,1.0,,,privaty_m,privaty_m,Low_2,,3,surprise,,,1,worry,,13,sad
d_ex_court_07_26,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_26,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,surprise,,,1,worry,,13,sad
d_ex_court_07_27,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_27,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,surprise,,,1,worry,,13,sad
d_ex_court_07_28,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_28,True,,L_130,L_130,1.0,,,yulha,yulha,,,3,surprise,,,1,worry,,13,idle
d_ex_court_07_29,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_29,True,,L_130,L_130,1.0,,,yulha,yulha,,,3,surprise,,,1,worry,,13,idle
d_ex_court_07_30,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_30,True,,L_130,L_130,1.0,,,yulha,yulha,,,3,surprise,,,1,idle,,13,idle
d_ex_court_07_31,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_31,True,,L_130,L_130,1.0,,,yulha,yulha,,,3,surprise,,,1,idle,,13,angry
d_ex_court_07_32,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_32,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,sad,,,1,idle,,13,angry
d_ex_court_07_33,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_33,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,sad,,,1,idle,,13,angry
d_ex_court_07_34,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_34,True,,L_130,L_130,1.0,,,yulha,yulha,,,3,sad,,,1,idle,,13,angry
d_ex_court_07_35,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_35,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,sad2,,,1,idle,,13,angry
d_ex_court_07_36,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_36,True,,13,13,1.0,,,yulha,yulha,,,3,sad2,,,1,idle,,13,idle
d_ex_court_07_37,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_37,True,,13,L_130,1.0,,,yulha,yulha,,,3,sad2,,,1,idle,,13,idle
d_ex_court_07_38,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_38,True,,L_130,L_130,1.0,,,yulha,yulha,,,3,sad2,,,1,idle,,13,idle
d_ex_court_07_39,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_39,True,,L_130,L_130,1.0,,,yulha,yulha,,,3,sad2,,,1,idle,,13,idle
d_ex_court_07_40,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_40,False,,3,3,1.0,,,privaty_m,privaty_m,,,3,sad,,,1,idle,,13,idle
d_ex_court_07_41,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_41,True,,3,2,1.0,,,admi,admi,,,3,sad,,,1,idle,,13,idle
d_ex_court_07_42,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_42,True,,2,2,1.0,,,admi,admi,,,3,sad,,,1,idle,,13,idle
d_ex_court_07_43,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_43,True,,2,2,1.0,,,admi,admi,,,3,sad,,,1,idle,,13,idle
d_ex_court_07_44,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_44,True,,2,2,1.0,,,privaty_m,privaty_m,,,3,angry,,,1,idle,,13,idle
d_ex_court_07_45,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_45,True,,L_130,L_130,1.0,,,yulha,yulha,,,3,angry,,,1,idle,,13,idle
d_ex_court_07_46,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_46,True,,L_130,L_130,1.0,,,yulha,yulha,,,3,angry,,,1,idle,,13,idle
d_ex_court_07_47,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_47,False,,300,30,1.0,,,privaty_m,privaty_m,,,3,idle,,,1,idle,,13,idle
d_ex_court_07_48,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_48,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,idle,,,1,idle,,13,idle
d_ex_court_07_49,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_49,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,idle,,,1,idle,,13,idle
d_ex_court_07_50,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_50,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,idle,,,1,idle,,13,idle
d_ex_court_07_51,d_ex_court_07,Self,Locale_SuddenStory:d_ex_court_07_51,False,,30,30,1.0,,,privaty_m,,,,3,idle,,,1,idle,,13,idle
d_ex_court_07_52,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_52,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,sad,,,1,idle,,13,idle
d_ex_court_07_53,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_53,True,,30,30,1.0,,,privaty_m,privaty_m,,,3,happy,,,1,idle,,13,idle
d_ex_court_07_54,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_54,True,,30,300,1.0,,,privaty_m,privaty_m,,,3,idle,,,1,idle,,13,idle
d_ex_court_07_55,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_55,True,,300,300,1.0,,,privaty_m,privaty_m,,,3,idle,,,1,idle,,13,idle
d_ex_court_07_56,d_ex_court_07,Narration,Locale_SuddenStory:d_ex_court_07_56,False,,300,300,1.0,sfx_scn_dooropenfast,,,,,,5,idle,privaty_m,,1,idle,,13,idle
d_ex_court_07_57,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_57,True,,300,12,1.0,,,admi,admi,,,,,,,1,idle,,13,idle
d_ex_court_07_58,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_58,True,,12,12,1.0,,,admi,admi,,,,,,,1,delight,,13,idle
d_ex_court_07_59,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_59,False,,12,12,1.0,,,yulha,yulha,,,,,,,1,delight,,13,shy
d_ex_court_07_60,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_60,True,,12,12,1.0,,,yulha,yulha,,,,,,,1,delight,,13,idle
d_ex_court_07_61,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_61,True,,12,12,1.0,,,yulha,yulha,,,,,,,1,delight,,13,idle
d_ex_court_07_62,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_62,True,,12,12,1.0,,,admi,admi,,,,,,,1,idle,,13,idle
d_ex_court_07_63,d_ex_court_07,Self,Locale_SuddenStory:d_ex_court_07_63,False,,12,12,1.0,,,,,,,,,,,1,idle,,13,idle
d_ex_court_07_64,d_ex_court_07,Monologue,Locale_SuddenStory:d_ex_court_07_64,False,,12,12,1.0,,,,,,,,,,,1,idle,,13,idle
d_ex_court_07_65,d_ex_court_07,Monologue,Locale_SuddenStory:d_ex_court_07_65,False,,12,12,1.0,,,,,,,,,,,1,idle,,13,idle
