id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,jump_target,characters/0/hide_char_id,set_camera_shake,characters/1/hide_char_id
d_ex_modernbar_05_28,d_ex_modernbar_05,Choice,Locale_SuddenStory:d_ex_modernbar_05_28,False,,1,1,1.0,,,,2,idle,,12,think,,,d_ex_modernbar_05_30,,,
d_ex_modernbar_05_29,d_ex_modernbar_05,Choice,Locale_SuddenStory:d_ex_modernbar_05_29,False,,1,1,1.0,,,,2,idle,,12,think,,,d_ex_modernbar_05_34,,,
d_ex_modernbar_05_30,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_30,True,,1,1,1.0,,,,2,angry,,12,think,pepper,pepper,,,,
d_ex_modernbar_05_31,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_31,True,,1,1,1.0,,,,2,angry,,12,think,pepper,pepper,,,,
d_ex_modernbar_05_32,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_32,True,,1,1,1.0,,,,2,angry,,12,think,pepper,pepper,,,,
d_ex_modernbar_05_33,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_33,False,,1,1,1.0,,,,2,angry,,12,think,,,d_ex_modernbar_05_37,,,
d_ex_modernbar_05_34,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_34,True,,1,1,1.0,,,,2,idle,,12,think,pepper,pepper,,,,
d_ex_modernbar_05_35,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_35,True,,1,1,1.0,,,,2,idle,,12,think,pepper,pepper,,,,
d_ex_modernbar_05_36,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_36,False,,1,1,1.0,,,,2,idle,,12,think,,,,,,
d_ex_modernbar_05_37,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_37,True,,1,L_120,1.0,,,,2,idle,,12,no,blanc,blanc,,,,
d_ex_modernbar_05_38,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_38,True,,L_120,L_120,1.0,,,,2,idle,,12,no,blanc,blanc,,,,
d_ex_modernbar_05_39,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_39,False,,L_120,L_120,1.0,,,,2,idle,,12,no,,,,,,
d_ex_modernbar_05_40,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_40,True,,L_120,L_120,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_41,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_41,True,,L_120,L_120,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_42,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_42,True,,L_120,L_120,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_43,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_43,True,,L_120,L_120,1.0,,,,2,idle,,12,think,blanc,blanc,,,,
d_ex_modernbar_05_44,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_44,True,,L_120,L_120,1.0,,,,2,idle,,12,think,blanc,blanc,,,,
d_ex_modernbar_05_45,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_45,True,,L_120,L_120,1.0,,,,2,idle,,12,think,blanc,blanc,,,,
d_ex_modernbar_05_46,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_46,True,,L_120,L_120,1.0,,,,2,idle,,12,think,blanc,blanc,,,,
d_ex_modernbar_05_47,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_47,True,,L_120,XS_20,1.0,,,,2,surprise,,12,think,pepper,pepper,,,,
d_ex_modernbar_05_48,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_48,True,,XS_20,XS_20,1.0,,,,2,surprise,,12,think,pepper,pepper,,,,
d_ex_modernbar_05_49,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_49,True,,L_120,L_120,1.0,,,,2,idle,,12,think,blanc,blanc,,,,
d_ex_modernbar_05_50,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_50,True,,L_120,L_120,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_51,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_51,True,,L_120,L_120,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_52,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_52,False,,L_120,L_120,1.0,,,,2,idle,,12,idle,,,,,,
d_ex_modernbar_05_53,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_53,False,,L_120,L_120,1.0,,,,2,idle,,12,idle,,,,,,
d_ex_modernbar_05_54,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_54,True,,L_120,L_120,1.0,,,,2,idle,,12,think,blanc,blanc,,,,
d_ex_modernbar_05_55,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_55,False,,L_120,L_120,1.0,,,,2,idle,,12,think,,,,,,
d_ex_modernbar_05_56,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_56,True,,L_120,1,1.0,,,,2,idle,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_57,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_57,True,,1,1,1.0,,,,2,angry,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_58,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_58,True,,1,1,1.0,,,,2,angry,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_59,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_59,True,,1,1,1.0,,,,2,angry,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_60,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_60,False,,1,1,1.0,,,,2,idle,,12,think,blanc,blanc,,,,
d_ex_modernbar_05_61,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_61,True,,1,1,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_62,d_ex_modernbar_05,Monologue,Locale_SuddenStory:d_ex_modernbar_05_62,False,,1,1,1.0,,none,,2,idle,,1,idle,,,,pepper,,
d_ex_modernbar_05_63,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_63,False,,1,1,1.0,,,,,,,1,think,blanc,blanc,,,,
d_ex_modernbar_05_64,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_64,True,,1,1,1.0,,,,,,,1,think,blanc,blanc,,,,
d_ex_modernbar_05_65,d_ex_modernbar_05,Monologue,Locale_SuddenStory:d_ex_modernbar_05_65,False,,black,black,1.0,,event_bgm_bunny777,,,,,1,idle,,,,,,
d_ex_modernbar_05_66,d_ex_modernbar_05,Monologue,Locale_SuddenStory:d_ex_modernbar_05_66,False,,black,black,1.0,,,,,,,1,idle,,,,,,
d_ex_modernbar_05_67,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_67,False,,1,1,1.0,,,,,,,1,idle,blanc,blanc,,,,
d_ex_modernbar_05_68,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_68,True,,1,1,1.0,,,,,,,1,idle,blanc,blanc,,,,
d_ex_modernbar_05_69,d_ex_modernbar_05,Narration,Locale_SuddenStory:d_ex_modernbar_05_69,False,,1,L_120,1.0,,,,,,,12,idle,,,,,,
d_ex_modernbar_05_70,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_70,False,,L_120,L_120,1.0,,,,,,,12,idle,,,,,,
d_ex_modernbar_05_71,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_71,True,,L_120,12,1.0,,,,,,,12,think,blanc,blanc,,,Low_2,
d_ex_modernbar_05_72,d_ex_modernbar_05,Narration,Locale_SuddenStory:d_ex_modernbar_05_72,False,,black,black,1.0,,,,,,,12,think,,,,,,
d_ex_modernbar_05_73,d_ex_modernbar_05,Monologue,Locale_SuddenStory:d_ex_modernbar_05_73,False,,black,black,1.0,,,,,,,12,think,,,,,,
d_ex_modernbar_05_74,d_ex_modernbar_05,Narration,Locale_SuddenStory:d_ex_modernbar_05_74,False,,12,L_10,1.0,,,,,,,1,idle,,,,,,
d_ex_modernbar_05_75,d_ex_modernbar_05,Narration,Locale_SuddenStory:d_ex_modernbar_05_75,False,,L_10,L_100,1.0,,,,,,,1,idle,,,,,,
d_ex_modernbar_05_76,d_ex_modernbar_05,Monologue,Locale_SuddenStory:d_ex_modernbar_05_76,False,,black,black,1.0,,none,,,,,12,idle,,,,,,
d_ex_modernbar_05_77,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_77,True,,2,XS_20,1.0,,bgm_story_epicjazzymoods,pepper,2,idle,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_78,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_78,False,,XS_20,XS_20,1.0,,,,2,idle,,12,idle,,,,,,
d_ex_modernbar_05_79,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_79,True,,XS_20,1,1.0,,,,2,idle,,12,delight,blanc,blanc,,,,
d_ex_modernbar_05_80,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_80,True,,1,1,1.0,,,,2,idle,,12,delight,blanc,blanc,,,,
d_ex_modernbar_05_81,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_81,True,,1,1,1.0,,,,2,delight,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_82,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_82,True,,1,1,1.0,,,,2,idle,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_83,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_83,True,,1,1,1.0,,,,2,idle,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_84,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_84,True,,1,1,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_85,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_85,True,,1,1,1.0,,,,2,idle,,12,delight,blanc,blanc,,,,
d_ex_modernbar_05_86,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_86,False,,1,1,1.0,,,,2,idle,,12,delight,,,,,,
d_ex_modernbar_05_87,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_87,True,,1,1,1.0,,,,2,idle,,12,delight,blanc,blanc,,,,
d_ex_modernbar_05_88,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_88,True,,1,1,1.0,,,,2,good,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_89,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_89,True,,1,1,1.0,,,,2,good,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_90,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_90,True,,1,XS_20,1.0,,,,2,special,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_91,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_91,True,,XS_20,XS_20,1.0,,,,2,special,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_92,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_92,True,,XS_20,XS_20,1.0,,,,2,special,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_93,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_93,True,,XS_20,XS_20,1.0,,,,2,special,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_94,d_ex_modernbar_05,Narration,Locale_SuddenStory:d_ex_modernbar_05_94,False,,XS_20,XS_20,1.0,sfx_scn_phonevibration,,,2,idle,,12,idle,,,,,,
d_ex_modernbar_05_95,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_95,True,,XS_20,1,1.0,,,,2,idle,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_96,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_96,True,,1,1,1.0,,,,2,idle,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_97,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_97,True,,1,1,1.0,,,,2,idle,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_98,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_98,True,,1,1,1.0,,,,2,idle,,12,delight,blanc,blanc,,,,
d_ex_modernbar_05_99,d_ex_modernbar_05,Monologue,Locale_SuddenStory:d_ex_modernbar_05_99,False,,1,1,1.0,,,,4,idle,,12,idle,,,,pepper,,
d_ex_modernbar_05_100,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_100,False,,1,12,1.0,,,,,,,12,idle,,,,,,
d_ex_modernbar_05_101,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_101,True,,12,12,1.0,,,,,,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_102,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_102,True,,12,12,1.0,,,,,,,12,no,blanc,blanc,,,,
d_ex_modernbar_05_103,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_103,True,,12,12,1.0,,,,,,,12,no,blanc,blanc,,,,
d_ex_modernbar_05_104,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_104,False,,12,12,1.0,,,,,,,12,no,,,,,,
d_ex_modernbar_05_105,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_105,True,,12,12,1.0,,,,,,,12,delight,blanc,blanc,,,,
d_ex_modernbar_05_106,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_106,True,,12,12,1.0,,,,,,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_107,d_ex_modernbar_05,Monologue,Locale_SuddenStory:d_ex_modernbar_05_107,False,,black,black,1.0,,,,,,,12,idle,,,,,,
d_ex_modernbar_05_108,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_108,True,,12,12,1.0,,,,,,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_109,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_109,True,,12,12,1.0,,,,,,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_110,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_110,True,,12,12,1.0,,,,,,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_111,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_111,True,,12,12,1.0,,,,,,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_112,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_112,True,,12,12,1.0,,,,,,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_113,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_113,True,,12,L_120,1.0,,,,,,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_114,d_ex_modernbar_05,Narration,Locale_SuddenStory:d_ex_modernbar_05_114,False,,black,black,1.0,,,,,,,12,idle,,,,,,
d_ex_modernbar_05_115,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_115,False,,L_1200,L_1200,1.0,,,,,,,12,idle,,,,,,
d_ex_modernbar_05_116,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_116,True,,L_1200,L_120,1.0,,,,,,,12,shy,blanc,blanc,,,,
d_ex_modernbar_05_117,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_117,False,,L_120,L_120,1.0,,,,,,,12,shy,,,,,,
d_ex_modernbar_05_118,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_118,True,,L_120,L_120,1.0,,,,,,,12,delight,blanc,blanc,,,,
d_ex_modernbar_05_119,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_119,True,,L_120,12,1.0,,,,,,,12,delight,blanc,blanc,,,,
d_ex_modernbar_05_120,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_120,False,,12,12,1.0,,,,,,,12,delight,,,,,,
d_ex_modernbar_05_121,d_ex_modernbar_05,Monologue,Locale_SuddenStory:d_ex_modernbar_05_121,False,,12,12,1.0,sfx_scn_toyshopbell,,,,,,14,delight,,,,,,blanc
d_ex_modernbar_05_122,d_ex_modernbar_05,Monologue,Locale_SuddenStory:d_ex_modernbar_05_122,False,,12,12,1.0,,,,,,,,,,,,,,
