id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_ex_theater_04_31,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_31,True,,1517,1517,1.0,,,15,idle,,17,delight,diesel,diesel,,9,idle
d_ex_theater_04_32,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_32,True,,1517,1517,1.0,,,15,sad,,17,idle,noise,noise,,9,idle
d_ex_theater_04_33,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_33,True,,9,9,1.0,,,15,sad,,17,idle,crow,crow,,9,idle
d_ex_theater_04_34,d_ex_theater_04,Self,Locale_SuddenStory:d_ex_theater_04_34,False,,9,9,1.0,,,15,idle,,17,idle,crow,,,9,idle
d_ex_theater_04_35,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_35,True,,9,9,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_36,d_ex_theater_04,Self,Locale_SuddenStory:d_ex_theater_04_36,False,,9,9,1.0,,,15,idle,,17,idle,crow,,,9,idle
d_ex_theater_04_37,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_37,True,,9,90,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_38,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_38,True,,90,90,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_39,d_ex_theater_04,Self,Locale_SuddenStory:d_ex_theater_04_39,False,,90,90,1.0,,,15,idle,,17,idle,crow,,,9,idle
d_ex_theater_04_40,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_40,True,,90,9,2.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_41,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_41,True,,9,9,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_42,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_42,True,,9,9,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_43,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_43,True,,9,9,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_44,d_ex_theater_04,Self,Locale_SuddenStory:d_ex_theater_04_44,False,,9,9,1.0,,,15,idle,,17,idle,crow,Self,,9,idle
d_ex_theater_04_45,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_45,True,,9,9,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_46,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_46,False,,9,90,2.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_47,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_47,True,,90,90,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_48,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_48,True,,90,90,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_49,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_49,True,,90,90,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_50,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_50,True,,90,90,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_51,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_51,True,,90,90,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_52,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_52,True,,90,90,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_53,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_53,True,,1517,1517,1.0,,,15,idle,,17,idle,noise,noise,,9,idle
d_ex_theater_04_54,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_54,True,,1517,1517,1.0,,,15,think,,17,idle,noise,noise,,9,idle
d_ex_theater_04_55,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_55,True,,1517,1517,1.0,,,15,idle,,17,delight,diesel,diesel,,9,idle
d_ex_theater_04_56,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_56,True,,1517,1517,1.0,,,15,smile,,17,idle,noise,noise,,9,idle
d_ex_theater_04_57,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_57,True,,1517,1517,1.0,,,15,smile,,17,delight,diesel,diesel,,9,idle
d_ex_theater_04_58,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_58,True,,1517,1517,1.0,,,15,smile,,17,delight,noise,noise,,9,idle
d_ex_theater_04_59,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_59,True,,9,90,2.0,,,15,smile,,17,delight,crow,crow,,9,delight
d_ex_theater_04_60,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_60,True,,90,900,2.0,,,15,smile,,17,delight,crow,crow,,9,delight
