id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,set_filter_01,set_filter_02,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_command_07_11,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_11,True,,3,delight,,1,delight,,2,2,1.0,,,,,,,,,
d_ex_command_07_12,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_12,False,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,
d_ex_command_07_13,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_13,True,,3,idle,,1,idle,,2,S_10,1.0,,,,,,,,,
d_ex_command_07_14,d_ex_command_07,Narration,,,Locale_SuddenStory:d_ex_command_07_14,False,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_15,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_15,True,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_16,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_16,True,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_17,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_17,True,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_18,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_18,True,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_19,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_19,False,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_20,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_20,True,,3,idle,,1,delight,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_21,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_21,True,,3,idle,,1,delight,,S_10,30,1.0,,,,,,,,,
d_ex_command_07_22,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_22,True,,3,idle,,1,delight,,30,30,1.0,,,,,,,,,
d_ex_command_07_23,d_ex_command_07,Narration,,,Locale_SuddenStory:d_ex_command_07_23,False,,3,idle,,1,idle,,30,30,1.0,,,,,,,,,
d_ex_command_07_24,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_24,True,,3,delight,,1,idle,,30,30,1.0,,,,,,,,,
d_ex_command_07_25,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_25,True,,3,delight,,1,idle,,30,30,1.0,,,,,,,,,
d_ex_command_07_26,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_26,False,,3,delight,,1,idle,,30,30,1.0,,,,,,,,,
d_ex_command_07_27,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_27,False,,3,delight,,1,idle,,30,30,1.0,,,,,,,,,
d_ex_command_07_28,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_28,True,,3,idle,,1,delight,,30,2,1.0,,,,,,,,,
d_ex_command_07_29,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_29,True,,3,idle,,1,delight,,2,2,1.0,,,,,,,,,
d_ex_command_07_30,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_30,False,,3,idle,,1,delight,,2,2,1.0,,,,,,,,,
d_ex_command_07_31,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_31,False,,3,idle,,1,delight,,2,2,1.0,,,,,,,,,
d_ex_command_07_32,d_ex_command_07,Narration,,,Locale_SuddenStory:d_ex_command_07_32,False,,3,idle,,1,delight,,2,2,1.0,,,,,,,,,
d_ex_command_07_33,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_33,True,,3,delight,,1,idle,,2,2,1.0,,,,,,,,,
d_ex_command_07_34,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_34,True,,3,delight,,1,idle,,2,2,1.0,,,,,,,,,
d_ex_command_07_35,d_ex_command_07,Narration,,,Locale_SuddenStory:d_ex_command_07_35,False,,3,idle,,1,idle,,17,170,0.3,,,Low_2,,,,,,
d_ex_command_07_36,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_36,False,,3,idle,,1,idle,,170,170,1.0,,,,,,,,,
d_ex_command_07_37,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_37,False,,3,idle,,1,idle,,170,170,1.0,,,,,,,,,
d_ex_command_07_38,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_38,True,,3,idle,,1,idle,,170,2,1.0,,,,,,,,,
d_ex_command_07_39,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_39,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,
d_ex_command_07_40,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_40,True,,3,delight,,1,idle,,2,2,1.0,,,,,,,,,
d_ex_command_07_41,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_41,True,,3,idle,,1,delight,,2,2,1.0,,,,,,,,,
d_ex_command_07_42,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_42,True,,3,idle,,1,delight,,2,2,1.0,,,,,,,,,
d_ex_command_07_43,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_43,True,,3,delight,,1,delight,,2,2,1.0,,,,,,,,,
d_ex_command_07_44,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_44,True,,3,delight,,1,idle,,2,S_10,1.0,,,,,,,,,
d_ex_command_07_45,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_45,False,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_46,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_46,False,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_47,d_ex_command_07,Choice,,,Locale_SuddenStory:d_ex_command_07_47,False,,3,idle,,1,idle,,S_10,S_10,1.0,,d_ex_command_07_49,,,,,,,
d_ex_command_07_48,d_ex_command_07,Choice,,,Locale_SuddenStory:d_ex_command_07_48,False,,3,idle,,1,idle,,S_10,S_10,1.0,,d_ex_command_07_60,,,,,,,
d_ex_command_07_49,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_49,False,,3,idle,,1,idle,,17,17,1.0,,,,,,,,,
d_ex_command_07_50,d_ex_command_07,Narration,,,Locale_SuddenStory:d_ex_command_07_50,False,,3,idle,,1,idle,,17,170,0.3,none,,,,,,,,
d_ex_command_07_51,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_51,False,,3,idle,,1,idle,,170,170,1.0,,,,,,,,,
d_ex_command_07_52,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_52,False,,3,idle,,1,idle,,170,17,0.3,,,Low_2,,,,,,
d_ex_command_07_53,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_53,False,,3,idle,,1,idle,,17,17,1.0,,,,,,,,,
d_ex_command_07_54,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_54,True,,3,idle,,1,surprise,,S_10,S_10,1.0,bgm_story_breakaway,,,,,,,,
d_ex_command_07_55,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_55,True,,3,idle,,1,surprise,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_56,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_56,True,,3,idle,,1,special,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_57,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_57,False,,3,idle,,1,special,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_58,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_58,True,,3,idle,,1,delight,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_59,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_59,True,,3,idle,,1,delight,,S_10,S_10,1.0,,d_ex_command_07_72,,,,,,,
d_ex_command_07_60,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_60,False,,3,idle,,1,idle,,17,17,1.0,,,,,,,,,
d_ex_command_07_61,d_ex_command_07,Narration,,,Locale_SuddenStory:d_ex_command_07_61,False,,3,idle,,1,idle,,17,170,1.0,none,,,Blur_Low,,,,,
d_ex_command_07_62,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_62,False,,3,idle,,1,idle,,170,170,1.0,,,,Blur_Middle,Vignetting,,,,
d_ex_command_07_63,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_63,False,,3,idle,,1,idle,,170,170,1.0,,,,Blur_High,Vignetting,,,,
d_ex_command_07_64,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_64,True,,3,worry,,1,idle,,black,black,1.0,,,,,,,,,
d_ex_command_07_65,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_65,False,,3,worry,,1,idle,,200,2,0.3,,,Low_2,,,,,,
d_ex_command_07_66,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_66,True,,3,worry,,1,surprise,,2,2,1.0,bgm_story_breakaway,,,,,,,,
d_ex_command_07_67,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_67,True,,3,worry,,1,surprise,,2,2,1.0,,,,,,,,,
d_ex_command_07_68,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_68,False,,3,worry,,1,surprise,,2,2,1.0,,,,,,,,,
d_ex_command_07_69,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_69,True,,3,worry,,1,surprise,,2,2,1.0,,,,,,,,,
d_ex_command_07_70,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_70,True,,3,idle,,1,surprise,,2,2,1.0,,,,,,,,,
d_ex_command_07_71,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_71,True,,3,delight,,1,idle,,2,2,1.0,,,,,,,,,
d_ex_command_07_72,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_72,True,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_73,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_73,False,,3,idle,,1,idle,,S_10,S_10,1.0,,,,,,,,,
d_ex_command_07_74,d_ex_command_07,Narration,,,Locale_SuddenStory:d_ex_command_07_74,False,,3,idle,,1,idle,,S_10,9,1.0,,,,,,sfx_scn_autodooropen,,,
d_ex_command_07_75,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_75,True,,3,idle,,1,idle,,9,9,1.0,,,,,,,quiry,9,sad
d_ex_command_07_76,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_76,True,,3,idle,,1,idle,,9,9,1.0,none,,,,,,,9,sad
d_ex_command_07_77,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_77,True,,3,idle,,1,idle,,9,S_90,0.6,,,Low_2,,,,,9,surprise
d_ex_command_07_78,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_78,True,,3,idle,,1,idle,,S_90,S_90,1.0,,,Low_2,,,,,9,surprise
d_ex_command_07_79,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_79,True,,3,idle,,1,idle,,S_90,S_90,1.0,,,,,,,,9,surprise
d_ex_command_07_80,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_80,True,,3,idle,,1,idle,,S_90,9,1.0,bgm_story_herecomestrouble,,,,,,,9,angry
d_ex_command_07_81,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_81,True,,3,idle,,1,idle,,9,9,1.0,,,,,,,,9,angry
d_ex_command_07_82,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_82,True,,3,idle,,1,idle,,9,S_50,1.0,,,Low_2,,,,,5,special
d_ex_command_07_83,d_ex_command_07,Narration,,,Locale_SuddenStory:d_ex_command_07_83,False,,3,idle,,1,idle,,17,170,0.3,,,Low_2,,,sfx_scn_beatup,,5,special
d_ex_command_07_84,d_ex_command_07,Narration,,,Locale_SuddenStory:d_ex_command_07_84,False,,3,idle,,1,idle,,17,170,0.3,,,Low_2,,,,,5,special
d_ex_command_07_85,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_85,False,,3,idle,,1,idle,,black,black,1.0,,,,,,,,5,special
d_ex_command_07_86,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_86,True,,3,idle,,1,idle,,5,5,1.0,,,,,,,,5,special_02
d_ex_command_07_87,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_87,True,,3,surprise,,1,surprise,,2,2,1.0,,,,,,,,5,special_02
d_ex_command_07_88,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_88,True,,3,surprise,,1,surprise,,2,2,1.0,,,,,,,,5,special_02
d_ex_command_07_89,d_ex_command_07,Self,,,Locale_SuddenStory:d_ex_command_07_89,False,,3,surprise,,1,surprise,,5,5,1.0,,,,,,,,5,special_02
d_ex_command_07_90,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_90,True,,3,worry,,1,surprise,,5,S_50,0.5,,,,,,,,5,special
d_ex_command_07_91,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_91,True,,3,worry,,1,idle,,S_50,S_50,1.0,,,,,,,,5,special
d_ex_command_07_92,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_92,True,,3,worry,,1,idle,,S_50,S_500,0.5,,,Low_2,,,,,5,surprise
d_ex_command_07_93,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_93,True,,3,worry,,1,idle,,S_500,S_500,1.0,,,,,,,,5,surprise
d_ex_command_07_94,d_ex_command_07,Speech,quiry,quiry,Locale_SuddenStory:d_ex_command_07_94,True,,3,worry,,1,idle,,S_500,5,0.5,,,Low_2,,,,,5,sad
d_ex_command_07_95,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_95,False,,3,worry,,1,idle,,black,black,1.0,,,,,,,,5,sad
d_ex_command_07_96,d_ex_command_07,Monologue,,,Locale_SuddenStory:d_ex_command_07_96,False,,3,worry,,1,idle,,black,black,1.0,,,,,,,,5,sad
