id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,play_sound,characters/0/hide_char_id
d_main_16af_03_23,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_23,True,,S_30,10,0.3,,crow,,3,shy_02,,1,angry,,13,idle,,,
d_main_16af_03_24,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_24,True,,10,100,1.0,,crow,,3,shy_02,,1,surprise,,13,idle,,,
d_main_16af_03_25,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_25,True,,100,S_30,1.0,,jackal,,3,shy_02,,1,surprise,,13,idle,,,
d_main_16af_03_26,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_26,True,,S_30,S_30,1.0,,jackal,,3,shy_02,,1,angry,,13,idle,,,
d_main_16af_03_27,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_27,True,,S_30,S_30,1.0,,jackal,,3,shy_02,,1,angry,,13,idle,,,
d_main_16af_03_28,d_main_16af_03,Narration,Narration,Locale_MainScenario:d_main_16af_03_28,False,,S_30,S_300,0.5,,,,3,shy_02,,1,angry,,13,idle,,sfx_scn_aim,
d_main_16af_03_29,d_main_16af_03,Narration,Narration,Locale_MainScenario:d_main_16af_03_29,False,,S_300,S_30,0.3,,,,3,shy_01,,1,angry,,13,idle,Low_2,sfx_scn_2shot,
d_main_16af_03_30,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_30,True,,S_30,2,0.3,,jackal,,3,shy_01,,1,angry,,13,idle,Low_2,,
d_main_16af_03_31,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_31,True,,2,2,2.0,,jackal,,3,no,,1,angry,,13,idle,,,
d_main_16af_03_32,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_32,True,,2,10,1.0,,crow,,3,no,,1,angry,,13,idle,,,
d_main_16af_03_33,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_33,True,,10,100,1.0,,crow,,3,no,,1,angry,,13,idle,,,
d_main_16af_03_34,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_34,True,,100,S_300,0.6,,jackal,,3,no,,1,angry,,13,idle,,,
d_main_16af_03_35,d_main_16af_03,Narration,Narration,Locale_MainScenario:d_main_16af_03_35,False,,S_300,S_30,0.3,,jackal,,3,shy_01,,1,angry,,13,idle,Low_2,,
d_main_16af_03_36,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_36,True,,S_30,3,1.0,,jackal,,9,shy_01,,1,angry,,13,idle,Low_2,,
d_main_16af_03_37,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_37,True,,3,12,0.3,,crow,,9,shy_01,,1,angry,,13,angry,,,jackal
d_main_16af_03_38,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_38,True,,12,130,2.0,,viper,,,,,1,angry,,13,good,,,
d_main_16af_03_39,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_39,True,,130,130,1.0,,viper,,,,,1,angry,,13,delight,,,
d_main_16af_03_40,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_40,True,,130,12,1.0,,viper,,,,,1,angry,,13,idle,,,
d_main_16af_03_41,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_41,True,,12,12,1.0,,viper,,,,,1,angry,,13,idle,,,
d_main_16af_03_42,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_42,True,,12,12,1.0,,viper,,,,,1,angry,,13,delight,,,
d_main_16af_03_43,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_43,False,,12,10,2.0,,crow,,,,,1,idle,,13,delight,,,
d_main_16af_03_44,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_44,True,,10,10,1.0,,crow,,,,,1,smile,,13,idle,,,
d_main_16af_03_45,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_45,True,,10,10,1.0,,crow,,,,,1,good,,13,idle,,,
d_main_16af_03_46,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_46,True,,10,10,1.0,,crow,,,,,1,good,,13,idle,,,
d_main_16af_03_47,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_47,True,,10,100,2.0,,crow,,,,,1,good,,13,angry,,,
d_main_16af_03_48,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_48,True,,100,100,1.0,,crow,,,,,1,good,,13,angry,,,
d_main_16af_03_49,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_49,True,,100,12,1.0,,crow,,,,,1,good,,13,angry,,,
d_main_16af_03_50,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_50,True,,12,130,2.0,,viper,,,,,1,good,,13,good,,,
d_main_16af_03_51,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_51,True,,130,10,0.3,,crow,,,,,1,good,,13,good,,,
d_main_16af_03_52,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_52,True,,10,100,2.0,,crow,,,,,1,good,,13,good,,,
d_main_16af_03_53,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_53,True,,100,100,1.0,,crow,,,,,1,good,,13,idle,,,
d_main_16af_03_54,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_54,True,,100,1,1.0,,crow,,,,,1,good,,13,idle,,,
d_main_16af_03_55,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_55,True,,1,1,1.0,,crow,,,,,1,good,,13,idle,,,
d_main_16af_03_56,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_56,True,,1,12,2.0,,viper,,,,,1,good,,13,good,,,
d_main_16af_03_57,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_57,True,,12,12,1.0,,viper,,,,,1,good,,13,good,,,
d_main_16af_03_58,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_58,True,,12,12,1.0,,crow,,,,,1,good,,13,good,,,
d_main_16af_03_59,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_59,True,,12,12,1.0,,crow,,,,,1,delight,,13,good,,,
d_main_16af_03_60,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_60,True,,12,10,2.0,,crow,,,,,1,smile,,13,good,,,
d_main_16af_03_61,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_61,True,,10,100,2.0,,crow,,,,,1,good,,13,good,,,
