id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_22_11_17,d_main_22_11,Narration,Locale_MainScenario:d_main_22_11_17,False,,black,black,1.0,,eh,,,,,1,idle,,,,,,,
d_main_22_11_18,d_main_22_11,Narration,Locale_MainScenario:d_main_22_11_18,False,,black,black,1.0,,eh,,,,,1,idle,,,,,,,
d_main_22_11_19,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_19,False,,100,100,1.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_20,d_main_22_11,Narration,Locale_MainScenario:d_main_22_11_20,False,White,100,100,1.0,,,,sfx_scn_bomblighthuge,white,,1,idle,eh,,,,,,
d_main_22_11_21,d_main_22_11,Narration,Locale_MainScenario:d_main_22_11_21,False,Destroyedcity,black,black,1.0,none,,,,black,,,,,,,,,,
d_main_22_11_22,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_22,True,,113,113,1.0,bgm_hopeless,enikk_op_l,enikk_op_l,,,enikk_op_l,OP_leftup,special,,rapi,1,idle,anis,13,angry
d_main_22_11_23,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_23,True,,113,113,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,angry
d_main_22_11_24,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_24,True,,113,113,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,angry
d_main_22_11_25,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_25,True,,113,113,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,angry
d_main_22_11_26,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_26,True,,113,130,2.0,,anis,anis,,,,OP_leftup,special,,,1,idle,,13,angry
d_main_22_11_27,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_27,True,,130,130,1.0,,anis,anis,,,,OP_leftup,special,,,1,idle,,13,angry
d_main_22_11_28,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_28,True,,130,130,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,angry
d_main_22_11_29,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_29,True,,130,130,1.0,,anis,anis,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_30,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_30,True,,130,130,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_31,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_31,True,,130,130,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_32,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_32,True,,130,130,1.0,,anis,anis,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_33,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_33,True,,130,113,2.0,,rapi,rapi,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_34,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_34,True,,113,113,1.0,,rapi,rapi,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_35,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_35,True,,113,113,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_36,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_36,True,,113,113,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_37,d_main_22_11,Self,Locale_MainScenario:d_main_22_11_37,False,,113,113,1.0,,,,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_38,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_38,True,,113,113,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_39,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_39,True,,113,113,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_40,d_main_22_11,Self,Locale_MainScenario:d_main_22_11_40,False,,113,113,1.0,,,,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_41,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_41,True,,113,113,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,worry
d_main_22_11_42,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_42,True,,113,113,1.0,,enikk_op_l,enikk_op_l,,,,OP_leftup,special,,,1,idle,,13,worry
