id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_20_08_e_11,d_main_20_08_e,Speech,nihilister,nihilister,Locale_MainScenario:d_main_20_08_e_11,True,,30,300,0.7,,,,,3,shy,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
d_main_20_08_e_12,d_main_20_08_e,Narration,,Narration,Locale_MainScenario:d_main_20_08_e_12,False,,black,black,1.0,bgm_disaster,sfx_scn_regeneration,,,3,shy,nihilister,,12,idle,,,14,idle,,,16,idle,,,18,idle,
d_main_20_08_e_13,d_main_20_08_e,Monologue,,Monologue,Locale_MainScenario:d_main_20_08_e_13,False,,black,black,1.0,,,,,,,,,12,idle,,,14,idle,,,16,idle,,,18,idle,
d_main_20_08_e_14,d_main_20_08_e,Speech,neon,neon,Locale_MainScenario:d_main_20_08_e_14,True,,14,S_140,0.3,,,,,,,,,12,idle,,,14,surprise,,,16,idle,,,18,idle,
d_main_20_08_e_15,d_main_20_08_e,Self,,Self,Locale_MainScenario:d_main_20_08_e_15,False,,S_140,S_140,1.0,,,,,,,,,12,idle,,,14,surprise,,,16,idle,,,18,idle,
d_main_20_08_e_16,d_main_20_08_e,Speech,rapi,rapi,Locale_MainScenario:d_main_20_08_e_16,True,,17,17,0.3,,,,,,,,,12,surprise,,,14,surprise,,,16,angry,,,18,angry,
d_main_20_08_e_17,d_main_20_08_e,Speech,anis,anis,Locale_MainScenario:d_main_20_08_e_17,True,,17,17,1.0,,,,,,,,,12,surprise,,,14,surprise,,,16,angry,,,18,angry,
d_main_20_08_e_18,d_main_20_08_e,Speech,neon,neon,Locale_MainScenario:d_main_20_08_e_18,True,,17,14,0.3,,,,,,,,,12,surprise,,,14,angry,,,16,angry,,,18,angry,
d_main_20_08_e_19,d_main_20_08_e,Monologue,,Monologue,Locale_MainScenario:d_main_20_08_e_19,False,EventScene_Chap_20_03,nihilister_breath_02,nihilister_breath_02,1.0,,,black,,,,,,12,surprise,papillon,,14,angry,neon,,16,angry,rapi,,18,angry,anis
d_main_20_08_e_20,d_main_20_08_e,Monologue,,Monologue,Locale_MainScenario:d_main_20_08_e_20,False,,nihilister_breath_02,nihilister_breath_01,3.0,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_08_e_21,d_main_20_08_e,Monologue,,Monologue,Locale_MainScenario:d_main_20_08_e_21,False,,nihilister_breath_01,nihilister_breath_01,1.0,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_08_e_22,d_main_20_08_e,Narration,,Narration,Locale_MainScenario:d_main_20_08_e_22,False,,nihilister_breath_01,nihilister_breath_01,1.0,,sfx_scn_firebreath,,,,,,,,,,,,,,,,,,,,,
d_main_20_08_e_23,d_main_20_08_e,Speech,rapi,rapi,Locale_MainScenario:d_main_20_08_e_23,False,,nihilister_breath_01,nihilister_breath_02,2.5,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_08_e_24,d_main_20_08_e,Speech,anis,anis,Locale_MainScenario:d_main_20_08_e_24,True,,nihilister_breath_02,nihilister_breath_02,1.0,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_08_e_25,d_main_20_08_e,Speech,neon,neon,Locale_MainScenario:d_main_20_08_e_25,True,,nihilister_breath_02,nihilister_breath_02,1.0,,,,,,,,,,,,,,,,,,,,,,,
d_main_20_08_e_26,d_main_20_08_e,Self,,Self,Locale_MainScenario:d_main_20_08_e_26,False,,nihilister_breath_02,nihilister_breath_02,1.0,,,,,,,,,,,,,,,,,,,,,,,
