id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_observationpost_05_45,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_45,True,,113,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_46,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_46,True,,130,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_47,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_47,True,,130,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_48,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_48,True,,130,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_49,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_49,True,,130,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_50,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_50,True,,130,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_51,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_51,True,,130,130,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_52,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_52,True,,130,1300,2.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_53,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_53,True,,1300,1300,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_54,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_54,True,,1300,1300,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_55,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_55,False,,1300,1300,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_56,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_56,True,,1300,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_57,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_57,True,,130,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_58,d_ex_observationpost_05,Choice,Locale_SuddenStory:d_ex_observationpost_05_58,False,,130,130,1.0,,,,,d_ex_observationpost_05_60,,1,idle,,13,idle,
d_ex_observationpost_05_59,d_ex_observationpost_05,Choice,Locale_SuddenStory:d_ex_observationpost_05_59,False,,130,130,1.0,,,,,d_ex_observationpost_05_62,,1,idle,,13,idle,
d_ex_observationpost_05_60,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_60,True,,130,1300,1.0,,,rosanna,rosanna,,,1,idle,,13,good,
d_ex_observationpost_05_61,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_61,True,,1300,1300,1.0,,,rosanna,rosanna,d_ex_observationpost_05_63,,1,idle,,13,good,
d_ex_observationpost_05_62,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_62,True,,130,1300,1.0,,,rosanna,rosanna,d_ex_observationpost_05_63,,1,idle,,13,good,
d_ex_observationpost_05_63,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_63,True,,1300,1300,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_64,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_64,True,,1300,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_65,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_65,True,,130,XS_10,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_66,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_66,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_67,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_67,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_68,d_ex_observationpost_05,Monologue,Locale_SuddenStory:d_ex_observationpost_05_68,False,,black,black,1.0,,,,,,,1,idle,,13,idle,
d_ex_observationpost_05_69,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_69,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_70,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_70,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_71,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_71,True,,XS_10,113,2.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_72,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_72,True,,113,113,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_73,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_73,True,,113,113,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_74,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_74,True,,113,113,1.0,,,rosanna,rosanna,,,1,idle,,13,good,
d_ex_observationpost_05_75,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_75,False,,113,113,1.0,,,signal,signal,,,1,shy,,13,good,
d_ex_observationpost_05_76,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_76,True,,113,113,1.0,,,signal,signal,,,1,shy,,13,good,
d_ex_observationpost_05_77,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_77,True,,113,113,1.0,,,rosanna,rosanna,,,1,shy,,13,idle,
d_ex_observationpost_05_78,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_78,True,,113,113,1.0,,,signal,signal,,,1,shy,,13,idle,
d_ex_observationpost_05_79,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_79,True,,113,113,1.0,,,signal,signal,,,1,shy,,13,idle,
d_ex_observationpost_05_80,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_80,True,,113,113,1.0,,,signal,signal,,,1,delight,,13,idle,
d_ex_observationpost_05_81,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_81,True,,113,113,1.0,,,rosanna,rosanna,,,1,delight,,13,idle,
d_ex_observationpost_05_82,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_82,True,,113,113,1.0,,,rosanna,rosanna,,,1,delight,,13,idle,
d_ex_observationpost_05_83,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_83,True,,113,113,1.0,,,rosanna,rosanna,,,1,delight,,13,idle,
d_ex_observationpost_05_84,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_84,True,,113,113,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_85,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_85,True,,113,113,1.0,,,rosanna,rosanna,,,1,idle,,13,good,
d_ex_observationpost_05_86,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_86,True,,113,113,1.0,,,rosanna,rosanna,,,1,idle,,13,good,
d_ex_observationpost_05_87,d_ex_observationpost_05,Self,Locale_SuddenStory:d_ex_observationpost_05_87,False,,113,113,1.0,,,,,,,1,idle,,13,good,
d_ex_observationpost_05_88,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_88,True,,113,113,1.0,,,signal,signal,,,1,idle,,13,good,
d_ex_observationpost_05_89,d_ex_observationpost_05,Narration,Locale_SuddenStory:d_ex_observationpost_05_89,False,,113,113,1.0,sfx_scn_autodooropen,,,,,,1,idle,,13,good,rosanna
d_ex_observationpost_05_90,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_90,False,,113,XS_10,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_91,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_91,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,shy,,,,
d_ex_observationpost_05_92,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_92,True,,XS_10,XS_100,0.5,,,signal,signal,,,1,shy,,,,
d_ex_observationpost_05_93,d_ex_observationpost_05,Monologue,Locale_SuddenStory:d_ex_observationpost_05_93,False,,black,black,1.0,,,,,,,1,shy,,,,
