id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_camera_shake,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_11_03_12,d_main_11_03,Speech,rapi,rapi,Locale_MainScenario:d_main_11_03_12,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_11_03_13,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_13,True,maxwell,1,angry,laplace,3,think,drake,13,idle,rapi,15,think,Desert_02,1,1,1.0,bgm_story_herecomestrouble,,,,,,,,,,
d_main_11_03_14,d_main_11_03,Speech,laplace,laplace,Locale_MainScenario:d_main_11_03_14,True,,1,angry,,3,think,,13,idle,,15,think,,2,2,1.0,,,,,,rapi,,,,,
d_main_11_03_15,d_main_11_03,Speech,drake,drake,Locale_MainScenario:d_main_11_03_15,True,,1,angry,,3,think,,13,idle,,,,,13,130,0.7,,,,,,,,,,,
d_main_11_03_16,d_main_11_03,Speech,drake,drake,Locale_MainScenario:d_main_11_03_16,True,,1,angry,,3,think,,13,idle,,,,,130,130,1.0,,,,,,,,,,,
d_main_11_03_17,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_17,True,,1,angry,,3,think,,13,idle,,,,,130,12,1.0,,,,,,,,,,,
d_main_11_03_18,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_18,True,,1,angry,,3,think,,13,idle,,,,,12,12,1.0,,,,,,,,,,,
d_main_11_03_19,d_main_11_03,Speech,drake,drake,Locale_MainScenario:d_main_11_03_19,True,,1,angry,,3,think,,13,no,,,,,12,12,1.0,,,,,,,,,,,
d_main_11_03_20,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_20,True,,1,angry,,3,think,,13,no,,,,,12,12,1.0,,,,,,,,,,,
d_main_11_03_21,d_main_11_03,Speech,drake,drake,Locale_MainScenario:d_main_11_03_21,True,,1,angry,,3,think,,13,angry,,,,,12,12,1.0,,,,,,,,,,,
d_main_11_03_22,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_22,True,,1,angry,,3,think,,13,angry,,,,,12,12,1.0,,,,,,,,,,,
d_main_11_03_23,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_23,True,,1,angry,,3,think,,13,angry,,,,,12,10,1.0,,,,,,,,shifty,OP_leftup,no,
d_main_11_03_24,d_main_11_03,Speech,shifty,shifty,Locale_MainScenario:d_main_11_03_24,True,,1,angry,,3,think,,13,angry,,,,,10,10,1.0,,,,,,,,,OP_leftup,think,
d_main_11_03_25,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_25,True,,1,angry,,3,think,,13,angry,,,,,10,10,1.0,,,,,,,,,OP_leftup,think,
d_main_11_03_26,d_main_11_03,Narration,,Narration,Locale_MainScenario:d_main_11_03_26,False,,1,angry,,3,think,,13,angry,,,,,10,S_30,0.4,,sfx_scn_riflewhizby,,,,,Low_2,,OP_leftup,think,shifty
d_main_11_03_27,d_main_11_03,Monologue,,,Locale_MainScenario:d_main_11_03_27,False,,1,angry,,3,think,,13,angry,,,,,S_30,S_30,1.0,,,,,,,,,,,
d_main_11_03_28,d_main_11_03,Monologue,,,Locale_MainScenario:d_main_11_03_28,False,,1,angry,,3,think,,13,angry,,,,,S_30,S_30,1.0,,,,,,,,,,,
d_main_11_03_29,d_main_11_03,Monologue,,,Locale_MainScenario:d_main_11_03_29,False,,1,angry,,3,think,,13,angry,,,,,S_30,8,1.0,,,,,,,,,,,
d_main_11_03_30,d_main_11_03,Monologue,,,Locale_MainScenario:d_main_11_03_30,False,,1,angry,,3,think,,13,angry,,,,,8,8,1.0,,,,,,,,,,,
d_main_11_03_31,d_main_11_03,Monologue,,,Locale_MainScenario:d_main_11_03_31,False,,1,angry,,3,think,,13,angry,,,,,8,8,1.0,,,,,,,,,,,
d_main_11_03_32,d_main_11_03,Speech,drake,drake,Locale_MainScenario:d_main_11_03_32,True,,1,angry,,3,think,,13,delight,,,,,13,130,0.8,,,,,,,,,,,
d_main_11_03_33,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_33,True,,1,angry,,3,think,,13,delight,,,,,1,10,0.8,,,,,,,,,,,
d_main_11_03_34,d_main_11_03,Narration,,Narration,Locale_MainScenario:d_main_11_03_34,False,,1,angry,,3,think,,13,delight,,,,,10,10,1.0,,sfx_scn_explosions,,,,,Low_2,,,,
d_main_11_03_35,d_main_11_03,Monologue,,,Locale_MainScenario:d_main_11_03_35,False,,1,angry,,3,think,,13,delight,,,,,10,10,1.0,,,,,,,,,,,
d_main_11_03_36,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_36,True,,1,sad,,3,think,,13,no,,,,,10,1,1.0,,,,,,,,,,,
d_main_11_03_37,d_main_11_03,Speech,laplace,laplace,Locale_MainScenario:d_main_11_03_37,True,,1,sad,,3,angry,,13,no,,,,,1,2,1.0,,,,,,,,,,,
d_main_11_03_38,d_main_11_03,Speech,laplace,laplace,Locale_MainScenario:d_main_11_03_38,True,,1,sad,,3,angry,,13,no,,,,,2,2,1.0,,,,,,,,,,,
d_main_11_03_39,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_39,True,,1,angry,,3,angry,,13,no,,,,,2,100,0.7,,,,,,,,,,,
