id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_12_01_33,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_33,True,,130,130,1.0,,,,1,idle,,,,,,13,idle,,15,idle,,,OP_leftup,no,
d_main_12_01_34,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_34,True,,130,130,1.0,,,,1,idle,,,,,,13,idle,,15,idle,,,OP_leftup,no,
d_main_12_01_35,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_35,True,,130,130,1.0,,,,1,idle,,,,,,13,idle,,15,idle,,,OP_leftup,think,
d_main_12_01_36,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_36,True,,130,1300,1.0,,,,1,idle,,,,,,13,idle,,15,idle,,,OP_leftup,idle,
d_main_12_01_37,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_37,True,,1300,1300,1.0,,,,1,idle,,,,,,13,idle,,15,idle,,,OP_leftup,idle,
d_main_12_01_38,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_38,True,,1300,1300,1.0,,,,1,idle,,,,,,13,idle,,15,idle,,,OP_leftup,no,
d_main_12_01_39,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_39,True,,1300,130,1.0,,,,1,idle,,,,,,13,idle,,15,idle,,,OP_leftup,no,
d_main_12_01_40,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_40,True,,130,130,1.0,,,,1,idle,rapi,3,idle,,,13,idle,,15,idle,,,OP_leftup,no,
d_main_12_01_41,d_main_12_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12_01_41,True,,130,30,1.0,,,,1,idle,,3,idle,,,13,idle,,15,idle,,,OP_leftup,no,shifty
d_main_12_01_42,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_42,True,,30,XS_10,1.0,,,,1,idle,,3,idle,,,13,idle,,15,idle,drake,,,,
d_main_12_01_43,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_43,True,,XS_10,XS_10,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_44,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_44,True,,XS_10,XS_10,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_45,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_45,True,,XS_10,XS_10,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_46,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_46,True,,XS_10,XS_100,0.5,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_47,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_47,True,,XS_100,XS_100,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,shifty,OP_leftup,,
d_main_12_01_48,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_48,True,,XS_100,XS_100,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,OP_leftup,,shifty
d_main_12_01_49,d_main_12_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12_01_49,True,,XS_100,31,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_50,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_50,True,,31,31,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_51,d_main_12_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12_01_51,True,,31,31,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_52,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_52,True,,31,31,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_53,d_main_12_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12_01_53,False,,31,31,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_54,d_main_12_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12_01_54,True,,31,31,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_55,d_main_12_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12_01_55,True,,31,31,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_56,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_56,False,,31,31,1.0,,,,1,angry,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_57,d_main_12_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12_01_57,True,,31,31,1.0,,,,1,angry,,3,idle,,,13,idle,drake,15,delight,,,,,
d_main_12_01_58,d_main_12_01,Speech,drake,drake,Locale_MainScenario:d_main_12_01_58,True,,1500,1500,1.0,,,,1,angry,,3,idle,,,13,idle,,,delight,,,,,
d_main_12_01_59,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_59,True,,130,130,1.0,,,,1,angry,,3,idle,,,13,idle,,,delight,,,,,
d_main_12_01_60,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_60,True,,XS_10,XS_10,1.0,,,,1,idle,,3,idle,,,13,idle,,,delight,,,,,
