id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,jump_target,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
d_ex_armory_04_26,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_26,True,,1,idle,,13,idle,,15,delight,,17,1517,1.0,,,17,idle,,,,,
d_ex_armory_04_27,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_27,True,,1,idle,,13,idle,,15,delight,,1517,1517,1.0,,,17,idle,,,,,
d_ex_armory_04_28,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_28,True,,1,idle,,13,idle,,15,delight,,1517,1517,1.0,,,17,idle,,,,,
d_ex_armory_04_29,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_29,True,,1,idle,,13,idle,,15,delight,,1517,1517,1.0,,,17,idle,,,,,
d_ex_armory_04_30,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_30,True,,1,idle,,13,delight,,15,idle,,1517,13,1.0,,,17,idle,,,,,
d_ex_armory_04_31,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_31,False,,1,idle,,13,delight,,15,idle,,13,17,2.0,,,17,idle,,,,,
d_ex_armory_04_32,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_32,True,,1,idle,,13,idle,,15,idle,,17,17,1.0,,,17,angry,,,,,
d_ex_armory_04_33,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_33,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,17,angry,,,,,
d_ex_armory_04_34,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_34,True,,1,idle,,13,idle,,15,idle,,170,170,1.0,,,17,angry,,,,,
d_ex_armory_04_35,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_35,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,,17,angry,,,,,
d_ex_armory_04_36,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_36,True,,1,idle,,13,idle,,15,idle,,170,170,1.0,,,17,angry,,,,,
d_ex_armory_04_37,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_37,True,,1,idle,,13,idle,,15,idle,,170,17,1.0,,,17,idle,,,,,
d_ex_armory_04_38,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_38,True,,1,idle,,13,idle,,15,surprise,,17,1315,1.0,,,17,idle,,,,,
d_ex_armory_04_39,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_39,True,,1,idle,,13,angry,,15,surprise,,1315,1315,1.0,,,17,idle,,,,,
d_ex_armory_04_40,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_40,True,,1,idle,,13,angry,,15,idle,,1315,1517,1.0,,,17,idle,,,,,
d_ex_armory_04_41,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_41,True,,1,idle,,13,idle,,15,idle,,1517,1517,1.0,,,17,idle,,,,,
d_ex_armory_04_42,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_42,True,,1,idle,,13,idle,,15,idle,,1517,1517,1.0,,,17,idle,,,,,
d_ex_armory_04_43,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_43,True,,1,idle,,13,idle,,15,no,,1517,15,1.0,,,17,idle,,,,,
d_ex_armory_04_44,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_44,True,,1,idle,,13,idle,,15,no,,170,1700,1.0,,,17,idle,,,,,
d_ex_armory_04_45,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_45,True,,1,idle,,13,angry,,15,angry,,XS_150,XS_1500,0.5,,,17,idle,,,,,
d_ex_armory_04_46,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_46,True,,1,idle,,13,angry,,15,angry,,130,1300,0.5,,,17,idle,,,,,
d_ex_armory_04_47,d_ex_armory_04,Self,,,Locale_SuddenStory:d_ex_armory_04_47,False,,1,idle,,13,angry,,15,angry,,1300,1300,1.0,,,17,idle,,,,,
d_ex_armory_04_48,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_48,True,,1,idle,,13,idle,,15,idle,,170,170,1.0,,,17,idle,,,,,
d_ex_armory_04_49,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_49,True,,1,idle,,13,idle,,15,idle,,170,1700,2.0,,,17,idle,,,,,
d_ex_armory_04_50,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_50,False,,1,idle,,13,idle,,15,idle,,1700,1700,1.0,,,17,idle,,,,,
d_ex_armory_04_51,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_51,True,,1,idle,,13,idle,,15,idle,,1700,17,1.0,,,17,idle,,,,,
d_ex_armory_04_52,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_52,True,,1,idle,,13,idle,,15,idle,,17,17,1.0,,,17,idle,,,,,
d_ex_armory_04_53,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_53,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,17,idle,,,,,
d_ex_armory_04_54,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_54,False,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,17,idle,,,,,
d_ex_armory_04_55,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_55,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,17,idle,,,,,
d_ex_armory_04_56,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_56,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,,17,idle,,,,,
d_ex_armory_04_57,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_57,True,,1,idle,,13,delight,,15,idle,,1315,1315,1.0,,,17,idle,,,,,
d_ex_armory_04_58,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_58,True,,1,idle,,13,delight,,15,idle,,10,10,1.0,,,17,idle,,,,,
d_ex_armory_04_59,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_59,True,,1,idle,,13,idle,,15,idle,,170,170,1.0,,,17,idle,,,,,
d_ex_armory_04_60,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_60,True,,1,idle,,13,idle,,15,idle,,100,100,1.0,,,17,idle,,,,,
d_ex_armory_04_61,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_61,False,,1,idle,,13,idle,,15,idle,,170,17,2.0,,,17,idle,,,,,
d_ex_armory_04_62,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_62,True,,1,idle,,13,idle,,15,idle,,17,17,1.0,,,17,angry,,,,,
d_ex_armory_04_63,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_63,True,,1,idle,,13,idle,,15,no,,17,1517,1.0,,,17,angry,,,,,
d_ex_armory_04_64,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_64,True,,1,idle,,13,idle,,15,no,,1517,XS_150,1.0,,,17,idle,,,,,
d_ex_armory_04_65,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_65,True,,1,idle,,13,idle,,15,no,,XS_150,XS_150,1.0,,,17,idle,,,,,
d_ex_armory_04_66,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_66,True,,1,no,,13,idle,,15,no,,10,10,1.0,,,17,idle,,,,,
d_ex_armory_04_67,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_67,True,,1,no,,13,idle,,15,no,,XS_150,XS_150,1.0,,,17,idle,,,,,
d_ex_armory_04_68,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_68,True,,1,idle,,13,idle,,15,no,,1,1,1.0,,,17,idle,,,,,
d_ex_armory_04_69,d_ex_armory_04,Narration,,,Locale_SuddenStory:d_ex_armory_04_69,False,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,17,idle,helm,,,,
d_ex_armory_04_70,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_70,True,,,,,13,idle,,15,idle,,17,17,1.0,,,17,angry,,,,,
d_ex_armory_04_71,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_71,True,,,,,13,idle,,15,idle,,13,13,1.0,,,17,angry,,,,,
d_ex_armory_04_72,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_72,True,,,,,13,delight,,15,idle,,13,130,1.0,,,17,angry,,,,,
d_ex_armory_04_73,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_73,True,,,,,13,delight,,15,idle,,170,170,1.0,,,17,angry,,,,,
d_ex_armory_04_74,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_74,True,,,,,13,delight,,15,idle,,130,130,1.0,,,17,angry,,,,,
d_ex_armory_04_75,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_75,True,,,,,13,delight,,15,delight,,XS_150,XS_150,1.0,,,17,angry,,,,,
d_ex_armory_04_76,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_76,False,,,,,13,delight,,15,delight,,170,170,1.0,,,17,angry,,,,,
d_ex_armory_04_77,d_ex_armory_04,Choice,,,Locale_SuddenStory:d_ex_armory_04_77,False,,,,,13,delight,,15,delight,,170,170,1.0,,,17,angry,,d_ex_armory_04_79,,,
d_ex_armory_04_78,d_ex_armory_04,Choice,,,Locale_SuddenStory:d_ex_armory_04_78,False,,,,,13,delight,,15,delight,,170,170,1.0,,,17,angry,,d_ex_armory_04_79,,,
d_ex_armory_04_79,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_79,True,,,,,13,delight,,15,delight,,170,1700,1.0,,,17,surprise,,,,,
d_ex_armory_04_80,d_ex_armory_04,Narration,Narration,Narration,Locale_SuddenStory:d_ex_armory_04_80,False,,,,,13,delight,,15,delight,none,1700,1700,1.0,,,17,surprise,,,maxwell,liter,eunhwa
