id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_ex_toyshop_01_11,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_11,True,,12,12,1.0,,,mica,,1,delight,,13,delight,,3,angry,,,
d_ex_toyshop_01_12,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_12,True,,S_30,S_30,1.0,,,soline,,1,idle,,13,delight,,3,angry,,,
d_ex_toyshop_01_13,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_13,True,,S_30,S_30,1.0,,,soline,,1,idle,,13,delight,,3,angry,,,
d_ex_toyshop_01_14,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_14,True,,S_30,S_300,0.3,,,soline,,1,idle,,13,delight,,3,angry,,,
d_ex_toyshop_01_15,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_15,True,,12,12,1.0,,,belorta,,1,idle,,13,delight,,3,angry,,,
d_ex_toyshop_01_16,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_16,True,,12,12,1.0,,,mica,,1,idle,,13,delight,,3,angry,,,
d_ex_toyshop_01_17,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_17,True,,S_300,S_30,1.0,,,soline,,1,idle,,13,idle,,3,pain,,,
d_ex_toyshop_01_18,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_18,True,,S_30,S_30,1.0,,,soline,,1,idle,,13,idle,,3,pain,,,
d_ex_toyshop_01_19,d_ex_toyshop_01,Monologue,,Locale_SuddenStory:d_ex_toyshop_01_19,False,,S_30,S_30,1.0,,,soline,,1,idle,,13,idle,,3,pain,,,
d_ex_toyshop_01_20,d_ex_toyshop_01,Self,Self,Locale_SuddenStory:d_ex_toyshop_01_20,False,,S_30,12,1.0,,,belorta,,1,idle,,13,idle,,3,pain,,,
d_ex_toyshop_01_21,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_21,True,,12,12,1.0,,,belorta,,1,delight,,13,idle,,3,pain,,,
d_ex_toyshop_01_22,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_22,True,,12,12,1.0,,,belorta,,1,delight,,13,idle,,3,pain,,,
d_ex_toyshop_01_23,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_23,True,,12,12,1.0,,,mica,,1,delight,,13,delight,,3,pain,,,
d_ex_toyshop_01_24,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_24,False,,12,2,0.7,,,soline,,1,delight,,13,delight,,3,idle,,,
d_ex_toyshop_01_25,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_25,True,,2,2,1.0,,,soline,,1,delight,,13,delight,,3,idle,,,
d_ex_toyshop_01_26,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_26,True,,2,2,1.0,,,soline,,1,delight,,13,delight,,3,idle,,,
d_ex_toyshop_01_27,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_27,True,,2,12,1.0,,,mica,,1,delight,,13,worry,,3,idle,,,
d_ex_toyshop_01_28,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_28,True,,12,12,1.0,,,mica,,1,delight,,13,worry,,3,idle,,,
d_ex_toyshop_01_29,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_29,True,,12,12,1.0,,,mica,,1,delight,,13,worry,,3,idle,,,
d_ex_toyshop_01_30,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_30,True,,12,12,1.0,,,belorta,,1,idle,,13,worry,,3,idle,,,
d_ex_toyshop_01_31,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_31,True,,S_30,S_30,1.0,,,soline,,1,idle,,13,worry,,3,idle,,,
d_ex_toyshop_01_32,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_32,True,,XS_10,XS_10,1.0,,,belorta,,1,idle,,13,worry,,3,idle,,,
d_ex_toyshop_01_33,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_33,True,,XS_130,XS_130,1.0,,,mica,,1,idle,,13,idle,,3,idle,,,
d_ex_toyshop_01_34,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_34,True,,12,12,1.0,,,belorta,,1,angry,,13,idle,,3,idle,,,
d_ex_toyshop_01_35,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_35,True,,12,12,1.0,,,mica,,1,angry,,13,idle,,3,idle,,,
d_ex_toyshop_01_36,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_36,True,,12,2,0.7,,,soline,,1,angry,,13,idle,,3,idle,,,
d_ex_toyshop_01_37,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_37,True,,2,2,1.0,,,belorta,,1,idle,,13,idle,,3,idle,,,
d_ex_toyshop_01_38,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_38,True,,2,2,1.0,,,belorta,,1,idle,,13,idle,,3,idle,,,
d_ex_toyshop_01_39,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_39,True,,2,2,1.0,,,soline,,1,idle,,13,idle,,3,idle,,,
d_ex_toyshop_01_40,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_40,True,,2,2,1.0,,,belorta,,1,idle,,13,idle,,3,idle,,,
d_ex_toyshop_01_41,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_41,False,,S_30,S_30,1.0,,,soline,,1,idle,,13,idle,,3,idle,,,
d_ex_toyshop_01_42,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_42,True,,13,13,1.0,,,mica,,1,idle,,13,worry,,3,idle,,,
d_ex_toyshop_01_43,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_43,True,,S_30,S_30,1.0,,,soline,,1,idle,,13,worry,,3,angry,,,
d_ex_toyshop_01_44,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_44,True,,S_30,S_30,1.0,,,soline,,1,idle,,13,worry,,3,angry,,,
d_ex_toyshop_01_45,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_45,True,,12,12,1.0,,,belorta,,1,idle,,13,worry,,3,angry,,,
d_ex_toyshop_01_46,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_46,True,,12,12,1.0,,,mica,,1,idle,,13,idle,,3,angry,,,
d_ex_toyshop_01_47,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_47,True,,12,XS_10,1.0,,,belorta,,1,delight,,13,idle,,3,idle,,,
d_ex_toyshop_01_48,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_48,True,,XS_10,XS_10,1.0,,,belorta,,1,delight,,13,idle,,3,idle,,,
d_ex_toyshop_01_49,d_ex_toyshop_01,Self,Self,Locale_SuddenStory:d_ex_toyshop_01_49,False,,XS_10,XS_10,1.0,,,belorta,,1,delight,,13,idle,,3,idle,,,
d_ex_toyshop_01_50,d_ex_toyshop_01,Monologue,,Locale_SuddenStory:d_ex_toyshop_01_50,False,,XS_10,XS_10,1.0,,,belorta,,1,delight,,13,idle,,3,idle,belorta,mica,soline
d_ex_toyshop_01_51,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_51,False,,XS_10,XS_10,1.0,,,soline,,,,,,,,,,,,
d_ex_toyshop_01_52,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_52,False,,XS_10,XS_10,1.0,,,mica,,,,,,,,,,,,
d_ex_toyshop_01_53,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_53,False,,XS_10,XS_10,1.0,,,mica,,,,,,,,,,,,
d_ex_toyshop_01_54,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_54,False,,XS_10,XS_10,1.0,,,belorta,,,,,,,,,,,,
d_ex_toyshop_01_55,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_55,False,,XS_10,XS_10,1.0,,,soline,,,,,,,,,,,,
d_ex_toyshop_01_56,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_56,False,,XS_10,XS_10,1.0,,,soline,,,,,,,,,,,,
d_ex_toyshop_01_57,d_ex_toyshop_01,Monologue,,Locale_SuddenStory:d_ex_toyshop_01_57,False,,XS_10,XS_100,1.0,,,soline,,,,,,,,,,,,
d_ex_toyshop_01_58,d_ex_toyshop_01,Self,Self,Locale_SuddenStory:d_ex_toyshop_01_58,False,,XS_100,XS_100,1.0,,,soline,,,,,,,,,,,,
d_ex_toyshop_01_59,d_ex_toyshop_01,Narration,Narration,Locale_SuddenStory:d_ex_toyshop_01_59,False,,black,black,1.0,,,soline,,,,,,,,,,,,
d_ex_toyshop_01_60,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_60,True,,3,3,1.0,,,soline,belorta,1,idle,mica,13,idle,soline,3,angry,,,
d_ex_toyshop_01_61,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_61,True,,3,S_30,0.5,,,soline,,1,idle,,13,idle,,3,angry,,,
d_ex_toyshop_01_62,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_62,True,,S_30,S_300,0.5,,,soline,,1,idle,,13,idle,,3,angry,,,
d_ex_toyshop_01_63,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_63,True,,S_300,S_300,1.0,,,soline,,1,idle,,13,idle,,3,angry,,,
d_ex_toyshop_01_64,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_64,True,,2,2,1.0,,,belorta,,1,idle,,13,idle,,3,angry,,,
d_ex_toyshop_01_65,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_65,True,,2,2,1.0,,,soline,,1,idle,,13,idle,,3,angry,,,
d_ex_toyshop_01_66,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_66,True,,2,2,1.0,,,soline,,1,idle,,13,idle,,3,angry,,,
d_ex_toyshop_01_67,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_67,True,,XS_130,XS_130,1.0,,,mica,,1,idle,,13,worry,,3,angry,,,
d_ex_toyshop_01_68,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_68,True,,S_300,S_300,1.0,,,soline,,1,idle,,13,worry,,3,angry,,,
d_ex_toyshop_01_69,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_69,True,,XS_130,13,1.0,,,mica,,1,idle,,13,worry,,3,angry,,,
d_ex_toyshop_01_70,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_70,True,,13,13,1.0,,,mica,,1,idle,,13,sad,,3,angry,,,
d_ex_toyshop_01_71,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_71,True,,13,2,1.0,,,soline,,1,idle,,13,sad,,3,pain,,,
d_ex_toyshop_01_72,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_72,True,,2,2,1.0,,,belorta,,1,idle,,13,sad,,3,pain,,,
d_ex_toyshop_01_73,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_73,True,,2,2,1.0,,,soline,,1,idle,,13,sad,,3,pain,,,
d_ex_toyshop_01_74,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_74,True,,2,2,1.0,,,soline,,1,idle,,13,sad,,3,surprise,,,
d_ex_toyshop_01_75,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_75,True,,2,12,0.8,,,belorta,,1,delight,,13,idle,,3,surprise,,,
d_ex_toyshop_01_76,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_76,True,,12,12,1.0,,,mica,,1,delight,,13,delight,,3,surprise,,,
d_ex_toyshop_01_77,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_77,True,,S_30,S_30,1.0,,,soline,,1,delight,,13,delight,,3,surprise,,,
d_ex_toyshop_01_78,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_78,True,,S_30,3,1.0,,,soline,,1,delight,,13,delight,,3,surprise,,,
d_ex_toyshop_01_79,d_ex_toyshop_01,Narration,Narration,Locale_SuddenStory:d_ex_toyshop_01_79,False,,3,3,1.0,sfx_scn_toyshopbell,,soline,,1,delight,,13,delight,,3,surprise,,,soline
d_ex_toyshop_01_80,d_ex_toyshop_01,Monologue,,Locale_SuddenStory:d_ex_toyshop_01_80,False,,3,3,1.0,,,soline,,1,delight,,13,delight,,,,,,
d_ex_toyshop_01_81,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_81,True,,3,12,1.0,,,mica,,1,delight,,13,delight,,,,,,
d_ex_toyshop_01_82,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_82,True,,12,12,1.0,,,belorta,,1,idle,,13,delight,,,,,,
d_ex_toyshop_01_83,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_83,True,,12,12,1.0,,,mica,,1,idle,,13,idle,,,,,,
d_ex_toyshop_01_84,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_84,True,,12,12,1.0,,,belorta,,1,idle,,13,idle,,,,,,
d_ex_toyshop_01_85,d_ex_toyshop_01,Self,Self,Locale_SuddenStory:d_ex_toyshop_01_85,False,,12,12,1.0,,,belorta,,1,idle,,13,idle,,,,,,
d_ex_toyshop_01_86,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_86,True,,12,XS_10,1.0,,,belorta,,1,idle,,13,idle,,,,,,
d_ex_toyshop_01_87,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_87,True,,XS_10,XS_130,1.0,,,mica,,1,idle,,13,delight,,,,,,
d_ex_toyshop_01_88,d_ex_toyshop_01,Self,Self,Locale_SuddenStory:d_ex_toyshop_01_88,False,,12,12,1.0,,,mica,,1,idle,,13,delight,,,,,,
d_ex_toyshop_01_89,d_ex_toyshop_01,Monologue,,Locale_SuddenStory:d_ex_toyshop_01_89,False,,12,12,1.0,,,mica,,1,idle,,13,delight,,,,,,
