id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_16_01_20,d_main_16_01,Speech,anis,anis,Locale_MainScenario:d_main_16_01_20,True,,50,5,2.0,,,,7,idle,,5,angry,,3,idle,,12,idle,,14,idle,,16,idle
d_main_16_01_21,d_main_16_01,Speech,anis,anis,Locale_MainScenario:d_main_16_01_21,True,,5,5,1.0,,,,7,idle,,5,sad,,3,idle,,12,idle,,14,idle,,16,idle
d_main_16_01_22,d_main_16_01,Speech,viper,viper,Locale_MainScenario:d_main_16_01_22,True,,120,120,1.0,,,,7,idle,,5,sad,,3,idle,,12,idle,,14,idle,,16,idle
d_main_16_01_23,d_main_16_01,Speech,viper,viper,Locale_MainScenario:d_main_16_01_23,True,,120,120,1.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,idle,,16,idle
d_main_16_01_24,d_main_16_01,Speech,viper,viper,Locale_MainScenario:d_main_16_01_24,True,,120,1200,2.0,,,,7,idle,,5,idle,,3,idle,,12,shy,,14,idle,,16,idle
d_main_16_01_25,d_main_16_01,Speech,viper,viper,Locale_MainScenario:d_main_16_01_25,True,,1200,1200,1.0,,,,7,idle,,5,idle,,3,idle,,12,shy,,14,idle,,16,idle
d_main_16_01_26,d_main_16_01,Speech,viper,viper,Locale_MainScenario:d_main_16_01_26,True,,1200,1600,2.5,,,,7,idle,,5,idle,,3,idle,,12,shy,,14,idle,,16,idle
d_main_16_01_27,d_main_16_01,Speech,viper,viper,Locale_MainScenario:d_main_16_01_27,True,,1600,120,0.5,,,,7,idle,,5,idle,,3,idle,,12,shy,,14,idle,,16,idle
d_main_16_01_28,d_main_16_01,Speech,viper,viper,Locale_MainScenario:d_main_16_01_28,True,,120,120,1.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,idle,,16,idle
d_main_16_01_29,d_main_16_01,Speech,viper,viper,Locale_MainScenario:d_main_16_01_29,True,,120,120,1.0,,,,7,idle,,5,idle,,3,idle,,12,delight,,14,idle,,16,idle
d_main_16_01_30,d_main_16_01,Speech,jackal,jackal,Locale_MainScenario:d_main_16_01_30,True,,120,S_140,0.5,,,,7,idle,,5,idle,,3,idle,,12,delight,,14,shy_02,,16,idle
d_main_16_01_31,d_main_16_01,Speech,jackal,jackal,Locale_MainScenario:d_main_16_01_31,True,,S_140,S_140,1.0,,,,7,idle,,5,idle,,3,idle,,12,delight,,14,shy_02,,16,idle
d_main_16_01_32,d_main_16_01,Self,,Self,Locale_MainScenario:d_main_16_01_32,False,,S_140,S_140,1.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,shy_02,,16,idle
