id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
d_main_34_06_s_13,d_main_34_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_06_s_13,True,,80,5,2.0,,,,,8,worry,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,,,,,
d_main_34_06_s_14,d_main_34_06_s,Speech,vesti_t,vesti_t,Locale_MainScenario:d_main_34_06_s_14,True,,5,5,1.0,,,,,8,worry,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,,,,,
d_main_34_06_s_15,d_main_34_06_s,Speech,vesti_t,vesti_t,Locale_MainScenario:d_main_34_06_s_15,True,,5,5,1.0,,,,,8,worry,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,,,,,
d_main_34_06_s_16,d_main_34_06_s,Speech,neon,neon,Locale_MainScenario:d_main_34_06_s_16,True,,S_20,S_20,1.0,,,,,8,worry,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,,,,,
d_main_34_06_s_17,d_main_34_06_s,Narration,neon,,Locale_MainScenario:d_main_34_06_s_17,False,,S_20,S_200,1.0,none,sfx_scn_tsunamiquakefar,Low_2,,8,idle,,6,idle,,4,idle,,2,surprise,,12,idle,,14,idle,,,,,,
d_main_34_06_s_18,d_main_34_06_s,Monologue,neon,,Locale_MainScenario:d_main_34_06_s_18,False,,S_200,S_20,1.0,bgm_chapter34_field_clash_a,,,,8,idle,,6,idle,,4,idle,,2,surprise,,12,idle,,14,idle,,,,,,
d_main_34_06_s_19,d_main_34_06_s,Monologue,neon,,Locale_MainScenario:d_main_34_06_s_19,False,,S_20,S_180,1.0,,,,,8,idle,,6,idle,,4,idle,,2,surprise,,12,idle,,14,idle,,,,,,
d_main_34_06_s_20,d_main_34_06_s,Monologue,neon,,Locale_MainScenario:d_main_34_06_s_20,False,,S_180,S_180,1.0,,,,,8,idle,,6,idle,,4,idle,,2,surprise,,12,idle,,14,idle,,,,,,
d_main_34_06_s_21,d_main_34_06_s,Speech,anis,anis,Locale_MainScenario:d_main_34_06_s_21,False,,S_180,140,2.0,,,,,8,idle,,6,idle,,4,idle,,2,surprise,,12,idle,,14,angry,,,,,,
d_main_34_06_s_22,d_main_34_06_s,Speech,anis,anis,Locale_MainScenario:d_main_34_06_s_22,True,,140,140,1.0,,,,,8,idle,,6,idle,,4,idle,,2,surprise,,12,idle,,14,angry,,,,,,
d_main_34_06_s_23,d_main_34_06_s,Speech,neon,neon,Locale_MainScenario:d_main_34_06_s_23,True,,S_20,S_20,1.0,,,,,8,idle,,6,idle,,4,idle,,2,worry,,12,idle,,14,angry,cinderella,16,idle,grave_p,18,idle
d_main_34_06_s_24,d_main_34_06_s,Speech,cinderella,cinderella,Locale_MainScenario:d_main_34_06_s_24,True,,17,17,1.0,,,,,8,idle,,6,idle,,4,idle,,2,worry,,12,idle,,14,angry,,16,idle,,18,idle
d_main_34_06_s_25,d_main_34_06_s,Speech,grave_p,grave_p,Locale_MainScenario:d_main_34_06_s_25,True,,17,17,1.0,,,,,8,idle,,6,idle,,4,idle,,2,worry,,12,idle,,14,angry,,16,idle,,18,idle
d_main_34_06_s_26,d_main_34_06_s,Speech,grave_p,grave_p,Locale_MainScenario:d_main_34_06_s_26,True,,17,L_180,1.0,,,,,8,idle,,6,idle,,4,idle,,2,worry,,12,idle,,14,angry,,16,idle,,18,idle
