id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_main_08_08_22,d_main_08_08,Narration,,Narration,Locale_MainScenario:d_main_08_08_22,False,,3,idle,,1,sad,,13,worry,,,,,,,,black,black,1.0,,,,sfx_scn_down,,,,
d_main_08_08_23,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_23,False,,3,idle,,1,angry,,13,worry,,,,,,,,black,black,1.0,,,,,,,,
d_main_08_08_24,d_main_08_08,Speech,shifty,shifty,Locale_MainScenario:d_main_08_08_24,True,,3,idle,,1,angry,,13,worry,shifty,OP_leftup,surprise,exia_op_r,OP_rightup,delight,,7,7,1.0,,,,,,,,
d_main_08_08_25,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_25,True,,3,idle,,1,angry,,13,worry,,OP_leftup,surprise,,OP_rightup,delight,,7,10,1.0,,,,,Low_2,,,
d_main_08_08_26,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_26,True,,3,idle,,1,angry,,13,surprise,,OP_leftup,surprise,,OP_rightup,delight,,10,S_130,0.5,,,,,Low_2,,,
d_main_08_08_27,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_27,False,,3,idle,,1,angry,,13,surprise,,OP_leftup,surprise,,OP_rightup,delight,White,S_130,S_130,1.0,,shifty,exia_op_r,,,rapi,anis,neon
d_main_08_08_28,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_28,False,,,,,,,,,,,,,,,,,13,13,1.0,,,,,,,,
d_main_08_08_29,d_main_08_08,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_08_29,True,rapi,3,idle,anis,1,idle,neon,13,idle,shifty,OP_leftup,sad,exia_op_r,OP_rightup,good,WasteLand_03,13,13,1.0,,,,,,,,
d_main_08_08_30,d_main_08_08,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_08_30,True,,3,idle,,1,idle,,13,idle,,OP_leftup,sad,,OP_rightup,good,,13,13,1.0,,,,,,,,
d_main_08_08_31,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_31,True,,3,idle,,1,angry,,13,idle,,OP_leftup,sad,,OP_rightup,good,,13,10,2.0,,shifty,exia_op_r,,,,,
d_main_08_08_32,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_32,False,,3,idle,,1,angry,,13,worry,,,,,,,,10,12,1.0,,,,,,,,
d_main_08_08_33,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_33,False,,3,idle,,1,worry,,13,worry,,,,,,,,12,12,1.0,,,,,,,,
d_main_08_08_34,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_34,True,,3,idle,,1,worry,,13,angry,,,,,,,,12,12,1.0,bgm_story_shapeofhope,,,,,,,
d_main_08_08_35,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_35,True,,3,idle,,1,idle,,13,angry,,,,,,,,12,12,1.0,,,,,,,,
d_main_08_08_36,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_36,True,,3,idle,,1,idle,,13,worry,,,,,,,,12,12,1.0,,,,,,,,
d_main_08_08_37,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_37,False,,3,idle,,1,worry,,13,worry,,,,,,,,12,10,2.0,,,,,,,,
d_main_08_08_38,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_38,True,,3,idle,,1,worry,,13,worry,,,,,,,,10,10,1.0,,,,,,,,
d_main_08_08_39,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_39,True,,3,idle,,1,worry,,13,worry,,,,,,,,10,S_130,1.0,,,,,,,,
d_main_08_08_40,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_40,False,,3,idle,,1,worry,,13,worry,,,,,,,EventScene_Chap_08_01_a,1,1,1.0,,,,,,rapi,anis,neon
d_main_08_08_41,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_41,True,,,,,,,,,,,,,,,,EventScene_Chap_08_01,1,1,1.0,,,,,,,,
d_main_08_08_42,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_42,True,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,
d_main_08_08_43,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_43,False,,,,,,,,,,,,,,,,EventScene_Chap_08_02,1,1,1.0,,,,,,,,
d_main_08_08_44,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_44,False,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,
d_main_08_08_45,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_45,False,,,,,,,,,,,,,,,,EventScene_Chap_08_01,1,1,1.0,,,,,,,,
d_main_08_08_46,d_main_08_08,Narration,,Narration,Locale_MainScenario:d_main_08_08_46,False,,,,,,,,,,,,,,,,,1,1,1.0,,,,sfx_scn_down,,,,
d_main_08_08_47,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_47,True,,,,,,,,,,,,,,,,,1,1,1.0,,,,,Low_2,,,
d_main_08_08_48,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_48,True,rapi,3,idle,anis,1,worry,neon,13,angry,,,,,,,WasteLand_03,10,S_130,0.5,,,,,,,,
d_main_08_08_49,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_49,True,,3,idle,,1,worry,,13,angry,,,,,,,,S_130,S_130,1.0,,,,,,,,
d_main_08_08_50,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_50,True,,3,idle,,1,worry,,13,angry,,,,,,,,S_130,S_130,1.0,,,,,,,,
d_main_08_08_51,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_51,True,,3,idle,,1,worry,,13,angry,,,,,,,,S_130,S_1300,0.5,,,,,,,,
d_main_08_08_52,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_52,True,,3,idle,,1,worry,,13,angry,,,,,,,,S_1300,10,1.5,,,,,,,,
d_main_08_08_53,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_53,True,,3,idle,,1,worry,,13,angry,,,,,,,,10,S_130,0.5,,,,,,,,
d_main_08_08_54,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_54,False,,3,idle,,1,worry,,17,angry,,,,,,,,12,12,1.0,,,,,,,,
d_main_08_08_55,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_55,False,,3,idle,,1,worry,,17,angry,,,,,,,,12,1,2.0,,,,,,,,neon
d_main_08_08_56,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_56,True,,3,idle,,1,worry,,,,,,,,,,,1,1,1.0,,,,,,,,
d_main_08_08_57,d_main_08_08,Speech,rapi,rapi,Locale_MainScenario:d_main_08_08_57,True,,3,worry,,1,worry,,,,,,,,,,,1,2,1.0,,,,,,,,
