id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/hide_char_id
d_main_08_06_11,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_11,True,,3,angry,,1,idle,,13,idle,,30,30,1.0,,,,OP_leftup,think,,,,
d_main_08_06_12,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_12,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,OP_leftup,think,,,,
d_main_08_06_13,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_13,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,OP_leftup,think,,,,
d_main_08_06_14,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_14,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,OP_leftup,think,,,,
d_main_08_06_15,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_15,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,OP_leftup,idle,,,,
d_main_08_06_16,d_main_08_06,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_06_16,False,,3,idle,,1,idle,,13,idle,,30,3,2.0,,,,OP_leftup,idle,exia_op_r,OP_rightup,good,
d_main_08_06_17,d_main_08_06,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_06_17,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,OP_leftup,idle,,OP_rightup,good,
d_main_08_06_18,d_main_08_06,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_06_18,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,OP_leftup,idle,,OP_rightup,good,
d_main_08_06_19,d_main_08_06,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_06_19,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,OP_leftup,idle,,OP_rightup,good,
d_main_08_06_20,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_20,True,,3,idle,,1,idle,,13,idle,,3,3,1.0,,,,OP_leftup,idle,,OP_rightup,idle,
d_main_08_06_21,d_main_08_06,Speech,anis,anis,Locale_MainScenario:d_main_08_06_21,True,,3,idle,,1,angry,,13,idle,,3,10,0.5,,,,OP_leftup,idle,,OP_rightup,idle,
d_main_08_06_22,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_22,True,,3,idle,,1,angry,,13,idle,,10,10,1.0,,,,OP_leftup,delight,,OP_rightup,idle,
d_main_08_06_23,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_23,True,,3,idle,,1,angry,,13,idle,,10,10,1.0,,,,OP_leftup,delight,,OP_rightup,idle,
d_main_08_06_24,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_24,True,,3,idle,,1,angry,,13,idle,,10,10,1.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_25,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_25,True,,3,idle,,1,angry,,13,idle,,10,10,1.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_26,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_26,True,,3,idle,,1,angry,,13,idle,,10,10,1.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_27,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_27,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_28,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_28,True,,3,idle,,1,worry,,13,idle,,10,1,2.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_29,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_29,True,,3,idle,,1,worry,,13,idle,,1,1,1.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_30,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_30,True,,3,idle,,1,worry,,13,idle,,1,1,1.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_31,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_31,True,,3,idle,,1,worry,,13,idle,,1,1,1.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_32,d_main_08_06,Speech,anis,anis,Locale_MainScenario:d_main_08_06_32,False,,3,idle,,1,worry,,13,idle,,1,1,1.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_33,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_33,True,,3,idle,,1,worry,,13,idle,,1,10,2.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_34,d_main_08_06,Speech,anis,anis,Locale_MainScenario:d_main_08_06_34,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_35,d_main_08_06,Speech,anis,anis,Locale_MainScenario:d_main_08_06_35,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,,,OP_leftup,sad,,OP_rightup,idle,
d_main_08_06_36,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_36,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,,,OP_leftup,delight,,OP_rightup,idle,
d_main_08_06_37,d_main_08_06,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_06_37,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,,,OP_leftup,delight,,OP_rightup,good,
d_main_08_06_38,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_38,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,,,OP_leftup,no,,OP_rightup,good,
d_main_08_06_39,d_main_08_06,Speech,anis,anis,Locale_MainScenario:d_main_08_06_39,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,,OP_leftup,no,,OP_rightup,good,
d_main_08_06_40,d_main_08_06,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_06_40,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,,OP_leftup,idle,,OP_rightup,good,
d_main_08_06_41,d_main_08_06,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_06_41,True,,3,idle,,1,worry,,13,idle,,10,10,1.0,,,,OP_leftup,idle,,OP_rightup,good,
d_main_08_06_42,d_main_08_06,Speech,anis,anis,Locale_MainScenario:d_main_08_06_42,True,,3,idle,,1,angry,,13,idle,,10,100,0.5,,,,OP_leftup,idle,,OP_rightup,good,
d_main_08_06_43,d_main_08_06,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_06_43,True,,3,idle,,1,angry,,13,idle,,100,100,1.0,,,,OP_leftup,idle,,OP_rightup,surprise,
d_main_08_06_44,d_main_08_06,Speech,anis,anis,Locale_MainScenario:d_main_08_06_44,True,,3,idle,,1,sad,,13,idle,,100,100,1.0,,,,OP_leftup,idle,,OP_rightup,surprise,
d_main_08_06_45,d_main_08_06,Speech,neon,neon,Locale_MainScenario:d_main_08_06_45,False,,3,idle,,1,sad,,13,worry,,100,S_130,1.5,,,,OP_leftup,idle,,OP_rightup,idle,
d_main_08_06_46,d_main_08_06,Speech,rapi,rapi,Locale_MainScenario:d_main_08_06_46,True,,3,idle,,1,sad,,13,worry,,S_130,30,0.5,,,,OP_leftup,idle,,OP_rightup,idle,
d_main_08_06_47,d_main_08_06,Speech,neon,neon,Locale_MainScenario:d_main_08_06_47,True,,3,idle,,1,sad,,13,worry,,13,13,1.0,,,,OP_leftup,idle,,OP_rightup,idle,
d_main_08_06_48,d_main_08_06,Narration,,Narration,Locale_MainScenario:d_main_08_06_48,False,,3,idle,,1,worry,,17,worry,,13,13,1.0,,,,OP_leftup,idle,,OP_rightup,idle,
d_main_08_06_49,d_main_08_06,Speech,anis,anis,Locale_MainScenario:d_main_08_06_49,False,,3,idle,,1,worry,,17,worry,,13,1,1.0,,,,OP_leftup,idle,,OP_rightup,idle,neon
