id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_hotel_03_17,d_ex_hotel_03,Narration,Locale_SuddenStory:d_ex_hotel_03_17,False,Corridor,1,1,1.0,,,Narration,sfx_scn_knock,,Low_2,black,,,,,,,,
d_ex_hotel_03_18,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_18,True,,1,1,1.0,,unknown,unknown,,,,,,,,,,,,
d_ex_hotel_03_19,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_19,True,,1,1,1.0,,unknown,unknown,,,,,,,,,,,,
d_ex_hotel_03_20,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_20,True,Office,1,1,1.0,bgm_story_leisuretime,julia,julia,sfx_scn_dooropen,,,black,julia,1,shy,,,,,
d_ex_hotel_03_21,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_21,True,,1,1,1.0,,julia,julia,,,,,,1,shy,,,,,
d_ex_hotel_03_22,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_22,False,,1,1,1.0,,julia,Self,,,,,,1,shy,,,,,
d_ex_hotel_03_23,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_23,False,,1,1,1.0,,julia,julia,,,,,,1,surprise,,,,,
d_ex_hotel_03_24,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_24,True,,1,S_10,2.0,,julia,julia,,,,,,1,think,,,,,
d_ex_hotel_03_25,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_25,True,,S_10,S_10,1.0,,julia,julia,,,,,,1,think,,,,,
d_ex_hotel_03_26,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_26,True,,S_10,S_10,1.0,,julia,julia,,,,,,1,think,,,,,
d_ex_hotel_03_27,d_ex_hotel_03,Narration,Locale_SuddenStory:d_ex_hotel_03_27,False,,S_10,S_10,1.0,,julia,Narration,sfx_scn_explosions,,Low_2,,,1,think,,,,,
d_ex_hotel_03_28,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_28,True,,S_10,S_10,1.0,,julia,julia,,,,,,1,surprise,,,,,
d_ex_hotel_03_29,d_ex_hotel_03,Narration,Locale_SuddenStory:d_ex_hotel_03_29,False,,S_10,S_10,1.0,,julia,Narration,sfx_scn_smash,,Low_2,,,1,surprise,,,,,
d_ex_hotel_03_30,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_30,True,,S_10,S_10,1.0,,julia,julia,,,,,,1,think,,,,,
d_ex_hotel_03_31,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_31,False,,S_10,S_10,1.0,,julia,Self,,,,,,1,think,,,,,
d_ex_hotel_03_32,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_32,True,,S_10,S_10,1.0,,julia,julia,,,,,,1,idle,,,,,
d_ex_hotel_03_33,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_33,True,,S_10,S_10,1.0,,julia,julia,,,,,,1,idle,,,,,
d_ex_hotel_03_34,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_34,False,,S_10,1,2.0,,julia,julia,,,,,,1,think,,,,,
d_ex_hotel_03_35,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_35,True,,1,1,1.0,,julia,julia,,,,,,1,delight,,,,,
d_ex_hotel_03_36,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_36,True,,1,1,1.0,,julia,julia,,,,,,1,delight,,,,,
d_ex_hotel_03_37,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_37,False,,1,1,1.0,,julia,Self,,,,,,1,delight,,,,,
d_ex_hotel_03_38,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_38,False,Corridor,1,1,1.0,none,,,,,,black,,1,delight,julia,,,,
d_ex_hotel_03_39,d_ex_hotel_03,Narration,Locale_SuddenStory:d_ex_hotel_03_39,False,,1,1,1.0,,,Narration,sfx_scn_knock,,Low_2,,,,,,,,,
d_ex_hotel_03_40,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_40,False,,1,1,1.0,,unknown,unknown,,,,,,,,,,,,
d_ex_hotel_03_41,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_41,True,,1,1,1.0,,unknown,unknown,,,,,,,,,,,,
d_ex_hotel_03_42,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_42,False,,1,1,1.0,,,Self,,,,,,,,,,,,
d_ex_hotel_03_43,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_43,False,,1,1,1.0,,unknown,unknown,,,,,,,,,,,,
d_ex_hotel_03_44,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_44,True,,1,1,1.0,,unknown,unknown,,,,,,,,,,,,
d_ex_hotel_03_45,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_45,False,Office,1,1,1.0,bgm_story_leisuretime,dolla,dolla,sfx_scn_dooropen,,,,dolla,1,surprise,,suspiciousman,13,idle,
d_ex_hotel_03_46,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_46,False,,1,12,1.0,,suspiciousman,suspiciousman,,,,,,1,surprise,,,13,idle,
d_ex_hotel_03_47,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_47,True,,12,S_10,2.0,,dolla,dolla,,,,,,1,no,,,13,idle,
d_ex_hotel_03_48,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_48,True,,S_10,S_10,1.0,,dolla,dolla,,,,,,1,no,,,13,idle,
d_ex_hotel_03_49,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_49,True,,S_10,S_10,1.0,,dolla,dolla,,,,,,1,idle,,,13,idle,
d_ex_hotel_03_50,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_50,True,,S_10,S_10,1.0,,dolla,dolla,,,,,,1,no,,,13,idle,
d_ex_hotel_03_51,d_ex_hotel_03,Narration,Locale_SuddenStory:d_ex_hotel_03_51,False,,S_10,S_30,0.5,,dolla,Narration,sfx_scn_alarm,,,,,1,no,,,13,idle,
d_ex_hotel_03_52,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_52,True,,S_30,S_10,1.0,,dolla,dolla,,,,,,1,no,,,13,idle,
d_ex_hotel_03_53,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_53,True,,S_10,S_10,1.0,,dolla,dolla,,,,,,1,no,,,13,idle,
d_ex_hotel_03_54,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_54,True,,S_10,S_10,1.0,,dolla,dolla,,,,,,1,no,,,13,idle,
d_ex_hotel_03_55,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_55,True,,S_10,S_10,1.0,,dolla,dolla,,,,,,1,good,,,13,idle,
d_ex_hotel_03_56,d_ex_hotel_03,Narration,Locale_SuddenStory:d_ex_hotel_03_56,False,,S_10,S_30,0.5,,dolla,Narration,sfx_scn_alarm,,,,,1,good,,,13,idle,
d_ex_hotel_03_57,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_57,False,,S_30,S_10,1.0,,dolla,Self,,,,,,1,good,,,13,idle,
d_ex_hotel_03_58,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_58,True,,S_10,S_10,1.0,,dolla,dolla,,,,,,1,idle,,,13,idle,
d_ex_hotel_03_59,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_59,True,,S_10,S_10,1.0,,dolla,dolla,,,,,,1,angry,,,13,idle,
d_ex_hotel_03_60,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_60,False,,S_10,S_10,1.0,,dolla,Self,,,,,,1,angry,,,13,idle,
d_ex_hotel_03_61,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_61,True,,S_10,1,2.0,,dolla,dolla,,,,,,1,no,,,13,idle,
d_ex_hotel_03_62,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_62,True,,1,1,1.0,,dolla,dolla,,,,,,1,no,,,13,idle,
d_ex_hotel_03_63,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_63,False,,1,1,1.0,,dolla,,,,,,,1,no,,,13,idle,
d_ex_hotel_03_64,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_64,False,,1,1,1.0,,dolla,,,,,,,1,no,,,13,idle,
d_ex_hotel_03_65,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_65,False,Corridor,1,1,1.0,none,,,,,,black,,1,no,dolla,,13,idle,suspiciousman
d_ex_hotel_03_66,d_ex_hotel_03,Narration,Locale_SuddenStory:d_ex_hotel_03_66,False,,1,1,1.0,,,Narration,sfx_scn_heavyknock,,Low_2,,,,,,,,,
d_ex_hotel_03_67,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_67,True,,1,1,1.0,,unknown,unknown,,,,,,,,,,,,
d_ex_hotel_03_68,d_ex_hotel_03,Choice,Locale_SuddenStory:d_ex_hotel_03_68,False,,1,1,1.0,,,,,d_ex_hotel_03_70,,,,,,,,,,
d_ex_hotel_03_69,d_ex_hotel_03,Choice,Locale_SuddenStory:d_ex_hotel_03_69,False,,1,1,1.0,,,,,d_ex_hotel_03_72,,,,,,,,,,
d_ex_hotel_03_70,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_70,False,,1,1,1.0,,,,,,,,,,,,,,,
d_ex_hotel_03_71,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_71,True,,1,1,1.0,,unknown,unknown,,d_ex_hotel_03_74,,,,,,,,,,
d_ex_hotel_03_72,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_72,True,,1,1,1.0,,unknown,unknown,sfx_scn_heavyknock,,Low_2,,,,,,,,,
d_ex_hotel_03_73,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_73,True,,1,1,1.0,,unknown,unknown,,,,,,,,,,,,
d_ex_hotel_03_74,d_ex_hotel_03,Narration,Locale_SuddenStory:d_ex_hotel_03_74,False,Office,black,black,1.0,,,Narration,sfx_scn_dooropenfast,,,,,,,,,,,
d_ex_hotel_03_75,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_75,True,,1,1,1.0,bgm_story_fairytalesend_if,crow,crow,,,,,crow,1,surprise,,,,,
d_ex_hotel_03_76,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_76,True,,1,1,1.0,,crow,crow,,,,,,1,surprise,,,,,
d_ex_hotel_03_77,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_77,False,,1,1,1.0,,crow,Self,,,,,,1,surprise,,,,,
d_ex_hotel_03_78,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_78,True,,1,10,2.0,,crow,crow,,,,,,1,idle,,,,,
d_ex_hotel_03_79,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_79,True,,10,10,1.0,,crow,crow,,,,,,1,idle,,,,,
d_ex_hotel_03_80,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_80,True,,10,10,1.0,,crow,crow,,,,,,1,angry,,,,,
d_ex_hotel_03_81,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_81,True,,10,10,1.0,,crow,crow,,,,,,1,angry,,,,,
d_ex_hotel_03_82,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_82,True,,10,10,1.0,,crow,crow,,,,,,1,angry,,,,,
d_ex_hotel_03_83,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_83,True,,10,10,1.0,,crow,crow,,,,,,1,angry,,,,,
d_ex_hotel_03_84,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_84,True,,10,10,1.0,,crow,crow,,,,,,1,smile,,,,,
d_ex_hotel_03_85,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_85,True,,10,10,1.0,,crow,crow,,,,,,1,smile,,,,,
d_ex_hotel_03_86,d_ex_hotel_03,Narration,Locale_SuddenStory:d_ex_hotel_03_86,False,,10,10,1.0,,crow,Narration,sfx_scn_emergencysignal,,,,,1,smile,,,,,
d_ex_hotel_03_87,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_87,True,,10,1,0.5,,crow,crow,,,,,,1,smile,,,,,
d_ex_hotel_03_88,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_88,False,,1,1,1.0,,crow,,,,,,,1,smile,,,,,
d_ex_hotel_03_89,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_89,False,,1,1,1.0,,crow,,,,,,,1,smile,,,,,
d_ex_hotel_03_90,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_90,False,,1,1,1.0,,crow,Self,,,,,,1,smile,,,,,
d_ex_hotel_03_91,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_91,True,,1,10,1.0,,crow,crow,,,,,,1,idle,,,,,
d_ex_hotel_03_92,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_92,False,,10,10,1.0,,crow,Self,,,,,,1,idle,,,,,
d_ex_hotel_03_93,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_93,True,,10,10,1.0,,crow,crow,,,,,,1,idle,,,,,
d_ex_hotel_03_94,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_94,False,,10,10,1.0,none,crow,Self,,,,,,1,idle,,,,,
d_ex_hotel_03_95,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_95,False,,10,100,2.0,,crow,crow,,,,,,1,surprise,,,,,
