id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_main_22_06_49,d_main_22_06,Narration,Locale_MainScenario:d_main_22_06_49,False,,100,10,2.0,,,,,,,1,idle
d_main_22_06_50,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_50,False,,10,10,1.0,,ehmember,ehmember,,,,1,idle
d_main_22_06_51,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_51,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_52,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_52,True,,10,10,1.0,,rosanna,rosanna,,,,1,delight
d_main_22_06_53,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_53,True,,10,1,2.0,,rosanna,rosanna,,,,1,delight
d_main_22_06_54,d_main_22_06,Narration,Locale_MainScenario:d_main_22_06_54,False,,black,black,1.0,,,,,,,1,delight
d_main_22_06_55,d_main_22_06,Narration,Locale_MainScenario:d_main_22_06_55,False,,black,black,1.0,,,,,,,1,delight
d_main_22_06_56,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_56,True,,1,10,2.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_57,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_57,True,,10,10,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_58,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_58,True,,10,10,1.0,,ehmember,ehmember,,,,1,angry
d_main_22_06_59,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_59,True,,10,10,1.0,,rosanna,rosanna,,,,1,good
d_main_22_06_60,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_60,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_61,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_61,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_62,d_main_22_06,Narration,Locale_MainScenario:d_main_22_06_62,False,,10,10,1.0,,,,,,,1,idle
d_main_22_06_63,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_63,False,,10,10,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_64,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_64,True,,10,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_65,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_65,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_66,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_66,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_67,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_67,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_68,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_68,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_69,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_69,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_70,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_70,False,,100,10,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_71,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_71,True,,10,10,1.0,,rosanna,rosanna,,,,1,angry
