id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,effects/0/stop_effect_id,fade,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01
d_ex_library_01_16,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_16,True,,black,black,1.0,none,rupee,,2,idle,,,,,12,idle,fx_Eventscene_camera_recording,black,,,,,,,,,
d_ex_library_01_17,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_17,True,,1,1,1.0,bgm_story_kneeldownfools,rupee,,2,idle,fx_Eventscene_camera_recording,rec,True,,12,idle,,,,,,,,,,,
d_ex_library_01_18,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_18,True,,1,1,1.0,,rupee,,2,idle,,,,,12,idle,,,,,,,,,,,
d_ex_library_01_19,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_19,True,,1,L_20,2.0,,rupee,,2,idle,,,,,12,idle,,,,,,,,,,,
d_ex_library_01_20,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_20,True,,L_20,L_20,1.0,,rupee,,2,angry,,,,,12,idle,,,,,,,,,,,
d_ex_library_01_21,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_21,True,,L_20,L_20,1.0,,rupee,,2,angry,,,,,12,idle,,,,,,,,,,,
d_ex_library_01_22,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_22,True,,L_20,L_20,1.0,,rupee,,2,sad,,,,,12,idle,,,,,,,,,,,
d_ex_library_01_23,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_23,True,,L_20,L_20,1.0,,rupee,,2,sad,,,,,12,idle,,,,,,,,,,,
d_ex_library_01_24,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_24,True,,L_20,L_20,1.0,,rupee,,2,idle,,,,,12,idle,,,,,,,,,,,
d_ex_library_01_25,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_25,True,,L_20,120,1.0,,drake,,2,idle,,,,,12,delight,,,,,,,,,,,
d_ex_library_01_26,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_26,True,,120,120,1.0,,drake,,2,idle,,,,,12,delight,,,,,,,,,,,
d_ex_library_01_27,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_27,True,,120,120,1.0,,drake,,2,idle,,,,,12,delight,,,,,,,,,,,
d_ex_library_01_28,d_ex_library_01,Choice,,Locale_SuddenStory:d_ex_library_01_28,True,,120,120,1.0,,drake,,2,idle,,,,,12,delight,,,d_ex_library_01_30,,,,,,,,
d_ex_library_01_29,d_ex_library_01,Choice,,Locale_SuddenStory:d_ex_library_01_29,True,,120,120,1.0,,drake,,2,idle,,,,,12,delight,,,d_ex_library_01_30,,,,,,,,
d_ex_library_01_30,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_30,True,,120,120,1.0,,drake,,2,idle,,,,,12,shy,,,,,,,,,,,
d_ex_library_01_31,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_31,True,,black,black,1.0,,drake,,5,idle,,,,,7,shy,fx_Eventscene_camera_recording,black,,rupee,drake,,,,,,
d_ex_library_01_32,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_32,True,,9,9,1.0,,rupee,,,,fx_Eventscene_camera_recording,rec,True,,,,,,,,,,,,,,
d_ex_library_01_33,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_33,True,,9,6,2.0,,rupee,rupee,5,idle,,,,drake,7,idle,,,,,,,,,,,
d_ex_library_01_34,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_34,True,,6,6,1.0,,rupee,,5,sad,,,,,7,idle,,,,,,,,,,,
d_ex_library_01_35,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_35,True,,6,6,1.0,,drake,,5,sad,,,,,7,angry,,,,,,,,,,,
d_ex_library_01_36,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_36,True,,6,6,1.0,,drake,,5,sad,,,,,9,angry,,,,,,,,,,,
d_ex_library_01_37,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_37,True,,6,5,1.0,,rupee,,5,surprise,,,,,9,angry,,,,,,,,,,,
d_ex_library_01_38,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_38,True,,5,5,1.0,,rupee,,5,surprise,,,,,9,idle,,,,,,sfx_scn_knock,,,,,
d_ex_library_01_39,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_39,False,,5,5,1.0,,drake,,5,sad,,,,,9,idle,,,,,,,,,,,
d_ex_library_01_40,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_40,True,,5,6,1.0,,drake,,5,sad,,,,,7,idle,,,,,,,,,,,
d_ex_library_01_41,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_41,True,,black,black,1.0,none,drake,,5,sad,,,,,7,idle,fx_Eventscene_camera_recording,,,,,sfx_scn_heavyknock,Low_2,,,,
d_ex_library_01_42,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_42,True,,6,L_50,1.0,,rupee,,5,surprise,fx_Eventscene_camera_recording,rec,True,,7,idle,,,,,,,Low_2,,,,
d_ex_library_01_43,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_43,True,,L_50,70,0.5,,drake,,5,surprise,,,,,7,delight,,,,,,,,,,,
d_ex_library_01_44,d_ex_library_01,Self,Self,Locale_SuddenStory:d_ex_library_01_44,True,,70,70,1.0,bgm_story_crawlinganxiety,drake,,5,surprise,,,,,7,delight,,,,,,,,,,,
d_ex_library_01_45,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_45,True,,70,70,2.0,,drake,,5,surprise,,,,,7,void,,,,,,,,,,,
d_ex_library_01_46,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_46,True,,70,70,1.0,,drake,,5,surprise,,,,,7,void,,,,,,,,,,,
d_ex_library_01_47,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_47,True,,70,70,1.0,,drake,,5,surprise,,,,,7,void,,,,,,,,,,,
d_ex_library_01_48,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_48,True,,70,70,1.0,,drake,,5,surprise,,,,,7,idle,,,,,,,,,,,
d_ex_library_01_49,d_ex_library_01,Speech,unknown,Locale_SuddenStory:d_ex_library_01_49,True,,70,6,0.5,,unknown,,5,surprise,,,,,7,idle,,,,,,,Low_2,,,,
d_ex_library_01_50,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_50,True,,6,6,1.0,,drake,,5,surprise,,,,,7,angry,,,,,,,,,,,
d_ex_library_01_51,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_51,True,,6,6,1.0,,rupee,,5,surprise,,,,,7,angry,,,,,,,,,,,
d_ex_library_01_52,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_52,False,,6,6,1.0,,drake,,5,surprise,,,,,7,no,,,,,,,,,,,
d_ex_library_01_53,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_53,False,,6,6,1.0,,rupee,,5,sad,,,,,7,no,,,,,,,,,,,
d_ex_library_01_54,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_54,True,,6,6,1.0,,rupee,,5,surprise,,,,,7,no,,,,,,,,,,,
d_ex_library_01_55,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_55,True,,6,L_50,0.5,,rupee,,5,surprise,,,,,7,no,,,,,,,,,,,
d_ex_library_01_56,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_56,False,,L_50,70,1.0,,drake,,5,surprise,,,,,7,no,,,,,,,,,,,
d_ex_library_01_57,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_57,True,,70,L_50,0.5,,rupee,,5,surprise,,,,,7,no,,,,,,,,,,,
d_ex_library_01_58,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_58,True,,6,6,1.0,,,,5,surprise,,,,,7,no,,,,,,sfx_scn_heavyknock,Low_2,,,,
d_ex_library_01_59,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_59,True,,6,6,1.0,,,,5,surprise,,,,,7,no,,,,,,sfx_scn_windowbreak,Low_2,,,,
d_ex_library_01_60,d_ex_library_01,Speech,unknown,Locale_SuddenStory:d_ex_library_01_60,True,,6,6,1.0,,,,5,surprise,,,,,7,no,,,,,,,,,,,
d_ex_library_01_61,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_61,True,,black,black,1.0,,,,5,surprise,,,,,7,no,fx_Eventscene_camera_recording,,,,,sfx_scn_run,Low_2,,,,
d_ex_library_01_62,d_ex_library_01,Self,Self,Locale_SuddenStory:d_ex_library_01_62,True,,black,black,1.0,,,,5,surprise,,,,,7,no,,,,,,,,,,,
d_ex_library_01_63,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_63,True,,6,6,1.0,,rupee,,5,surprise,fx_Eventscene_camera_recording,rec,True,,7,no,,,,,,,,,,,
d_ex_library_01_64,d_ex_library_01,Choice,,Locale_SuddenStory:d_ex_library_01_64,True,,6,6,1.0,,rupee,,5,surprise,,,,,7,no,,,d_ex_library_01_66,,,,,,,,
d_ex_library_01_65,d_ex_library_01,Choice,,Locale_SuddenStory:d_ex_library_01_65,True,,6,6,1.0,,rupee,,5,surprise,,,,,7,no,,,d_ex_library_01_67,,,,,,,,
d_ex_library_01_66,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_66,True,,6,L_50,0.5,,rupee,,5,surprise,,,,,7,no,,,d_ex_library_01_69,,,,Low_2,,,,
d_ex_library_01_67,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_67,True,,6,70,0.5,,drake,,5,surprise,,,,,7,angry,,,,,,,Low_2,,,,
d_ex_library_01_68,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_68,True,,70,70,1.0,,drake,,5,surprise,,,,,7,angry,,,d_ex_library_01_69,,,,Low_2,,,,
d_ex_library_01_69,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_69,True,,black,black,1.0,none,drake,,5,surprise,,,,,7,angry,fx_Eventscene_camera_recording,,,,,sfx_scn_dooropenfast,,,,,
d_ex_library_01_70,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_70,True,,black,black,1.0,,drake,,5,surprise,,,,,7,idle,,,,,,,,,,,
d_ex_library_01_71,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_71,True,,black,black,1.0,,drake,,5,surprise,,,,,7,idle,,,,,,sfx_scn_running,,,,,
d_ex_library_01_72,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_72,True,,black,black,1.0,,drake,,5,surprise,,,,,7,idle,,,,,,,,,,,
d_ex_library_01_73,d_ex_library_01,Speech,unknown,Locale_SuddenStory:d_ex_library_01_73,True,,13,13,1.0,,,,5,idle,fx_Eventscene_camera_recording,rec,True,,7,idle,,,,,,sfx_scn_autodooropen,,,,,
d_ex_library_01_74,d_ex_library_01,Speech,unknown,Locale_SuddenStory:d_ex_library_01_74,True,,13,13,1.0,,,,5,idle,,,,,7,idle,,,,,,,,,,,
d_ex_library_01_75,d_ex_library_01,Speech,unknown,Locale_SuddenStory:d_ex_library_01_75,True,,13,13,1.0,,,,5,idle,,,,,7,idle,,,,,,,,,,,
d_ex_library_01_76,d_ex_library_01,Self,Self,Locale_SuddenStory:d_ex_library_01_76,True,,13,13,1.0,,unknown,,5,idle,,,,,7,idle,,,,,,,,,,,
d_ex_library_01_77,d_ex_library_01,Speech,eunhwa,Locale_SuddenStory:d_ex_library_01_77,True,,13,3,2.0,,eunhwa,,5,idle,,,,,7,idle,,,,,,,,eunhwa,3,idle,
d_ex_library_01_78,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_78,True,,3,4,1.0,,rupee,,5,sad,,,,,7,idle,,,,,,,,,3,idle,
d_ex_library_01_79,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_79,True,,4,4,1.0,,rupee,,5,shy,,,,,7,idle,,,,,,,,,3,idle,
d_ex_library_01_80,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_80,True,,4,4,1.0,,rupee,,5,shy,,,,,7,idle,,,,,,,,,3,idle,
d_ex_library_01_81,d_ex_library_01,Speech,eunhwa,Locale_SuddenStory:d_ex_library_01_81,True,,4,4,1.0,,eunhwa,,5,shy,,,,,7,idle,,,,,,,,,3,surprise,
d_ex_library_01_82,d_ex_library_01,Speech,eunhwa,Locale_SuddenStory:d_ex_library_01_82,True,,4,4,1.0,,eunhwa,,5,shy,,,,,7,idle,,,,,,,,,3,angry,
d_ex_library_01_83,d_ex_library_01,Speech,eunhwa,Locale_SuddenStory:d_ex_library_01_83,True,,4,30,1.0,,eunhwa,,5,idle,,,,,7,idle,,,,,,,,,3,angry,
d_ex_library_01_84,d_ex_library_01,Speech,eunhwa,Locale_SuddenStory:d_ex_library_01_84,True,,30,30,1.0,,eunhwa,,5,idle,,,,,7,idle,,,,,,,,,3,angry,
d_ex_library_01_85,d_ex_library_01,Speech,eunhwa,Locale_SuddenStory:d_ex_library_01_85,False,,30,30,1.0,,eunhwa,,5,idle,,,,,7,idle,,,,,,,,,3,"expression_0,angry",
d_ex_library_01_86,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_86,True,,70,70,1.0,,drake,,5,idle,,,,,7,no,,,,,,,,,3,angry,
d_ex_library_01_87,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_87,True,,70,70,1.0,,drake,,5,idle,,,,,7,no,,,,,,,,,3,idle,
d_ex_library_01_88,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_88,True,,70,6,1.0,,drake,,5,idle,,,,,7,idle,,,,,,,,,3,idle,
d_ex_library_01_89,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_89,True,,6,6,1.0,,rupee,,5,idle,,,,,7,idle,,,,,,,,,3,idle,
d_ex_library_01_90,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_90,True,,6,6,1.0,bgm_story_crawlinganxiety,rupee,,5,idle,,,,,7,idle,,,,,,,,,3,idle,
d_ex_library_01_91,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_91,True,,6,6,1.0,,rupee,,5,idle,,,,,7,idle,,,,,,,,,3,idle,
d_ex_library_01_92,d_ex_library_01,Speech,eunhwa,Locale_SuddenStory:d_ex_library_01_92,True,,6,4,1.0,,eunhwa,,5,idle,,,,,7,idle,,,,,,,,,3,surprise,
d_ex_library_01_93,d_ex_library_01,Speech,eunhwa,Locale_SuddenStory:d_ex_library_01_93,True,,4,4,1.0,,eunhwa,,5,idle,,,,,7,idle,,,,,,,,,3,angry,
d_ex_library_01_94,d_ex_library_01,Speech,eunhwa,Locale_SuddenStory:d_ex_library_01_94,True,,4,4,1.0,,eunhwa,,5,idle,,,,,7,idle,,,,,,,,,3,angry,
d_ex_library_01_95,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_95,True,,4,4,1.0,,rupee,,5,sad,,,,,7,idle,,,,,,,,,3,angry,
d_ex_library_01_96,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_96,True,,4,4,1.0,,rupee,,5,sad,,,,,7,idle,,,,,,,,,3,idle,
d_ex_library_01_97,d_ex_library_01,Speech,unknown,Locale_SuddenStory:d_ex_library_01_97,True,,4,4,1.0,,unknown,,5,surprise,,,,,7,idle,,,,,,sfx_scn_heavyknock,Low_2,,3,idle,Red
d_ex_library_01_98,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_98,True,,4,L_50,0.5,,rupee,,5,surprise,,,,,7,idle,,,,,,,,,3,idle,
d_ex_library_01_99,d_ex_library_01,Speech,eunhwa,Locale_SuddenStory:d_ex_library_01_99,False,,L_50,30,2.0,,eunhwa,,5,surprise,,,,,7,idle,,,,,,,,,3,surprise,
d_ex_library_01_100,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_100,False,,70,70,1.0,,drake,,5,surprise,,,,,7,no,,,,,,,,,3,surprise,
d_ex_library_01_101,d_ex_library_01,Self,Self,Locale_SuddenStory:d_ex_library_01_101,True,,70,6,1.0,,drake,,5,surprise,,,,,7,no,,,,,,,,,3,idle,
d_ex_library_01_102,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_102,True,,6,7,2.0,,drake,,5,surprise,,,,,7,no,,,,,,,,,3,idle,
