id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_main_26_10_32,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_32,True,,1,L_10,1.0,,,,1,idle
d_main_26_10_33,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_33,True,,L_10,L_10,1.0,,,,1,idle
d_main_26_10_34,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_34,True,,L_10,L_10,1.0,,,,1,idle
d_main_26_10_35,d_main_26_10,Self,,,Locale_MainScenario:d_main_26_10_35,False,,L_10,L_10,1.0,,,,1,idle
d_main_26_10_36,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_36,True,,L_10,L_10,1.0,,,,1,idle
d_main_26_10_37,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_37,True,,L_10,L_10,1.0,,,,1,idle
d_main_26_10_38,d_main_26_10,Self,,,Locale_MainScenario:d_main_26_10_38,False,,L_10,L_10,1.0,,,,1,idle
d_main_26_10_39,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_39,True,,L_10,L_100,1.0,,,,1,good
d_main_26_10_40,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_40,True,,L_100,L_100,1.0,,,,1,good
d_main_26_10_41,d_main_26_10,Speech,andersen,andersen,Locale_MainScenario:d_main_26_10_41,True,,L_100,L_100,1.0,,,,1,good
