id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,characters/2/hide_char_id
d_ex_hospital_08_27,d_ex_hospital_08,Self,rei,Locale_SuddenStory:d_ex_hospital_08_27,False,,5,no,,7,no,,3,idle,,6,6,1.0,,,,,,
d_ex_hospital_08_28,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_28,True,,5,no,,7,no,,3,idle,,6,6,1.0,,ein,,,,
d_ex_hospital_08_29,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_29,True,,5,no,,7,no,,3,idle,,6,6,1.0,,rei,,,,
d_ex_hospital_08_30,d_ex_hospital_08,Monologue,rei,Locale_SuddenStory:d_ex_hospital_08_30,False,,5,no,,7,no,,3,idle,,black,black,1.0,none,,,,,
d_ex_hospital_08_31,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_31,True,,5,idle,,7,idle,,3,pain,,3,30,0.3,bgm_story_languor,zwei,,,,
d_ex_hospital_08_32,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_32,True,,5,idle,,7,idle,,3,pain,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_33,d_ex_hospital_08,Monologue,zwei,Locale_SuddenStory:d_ex_hospital_08_33,False,,5,idle,,7,idle,,3,pain,,6,6,1.0,,,,,,
d_ex_hospital_08_34,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_34,True,,5,idle,,7,surprise,,3,pain,,6,6,1.0,,ein,,,,
d_ex_hospital_08_35,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_35,True,,5,idle,,7,surprise,,3,pain,,6,6,1.0,,rei,,,,
d_ex_hospital_08_36,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_36,True,,5,idle,,7,surprise,,3,idle,,3,3,1.0,,zwei,,,,
d_ex_hospital_08_37,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_37,True,,5,idle,,7,idle,,3,idle,,3,3,1.0,,zwei,,,,
d_ex_hospital_08_38,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_38,True,,5,idle,,7,idle,,3,idle,,3,3,1.0,,zwei,,,,
d_ex_hospital_08_39,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_39,True,,5,idle,,7,idle,,3,idle,,3,3,1.0,,zwei,,,,
d_ex_hospital_08_40,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_40,True,,5,idle,,7,idle,,3,idle,,3,3,1.0,,zwei,,,,
d_ex_hospital_08_41,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_41,True,,5,idle,,7,surprise,,3,idle,,6,6,1.0,,ein,,,,
d_ex_hospital_08_42,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_42,True,,5,idle,,7,surprise,,3,idle,,6,6,1.0,,ein,,,,
d_ex_hospital_08_43,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_43,True,,5,idle,,7,surprise,,3,idle,,6,6,1.0,,rei,,,,
d_ex_hospital_08_44,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_44,True,,5,idle,,7,surprise,,3,idle,,3,30,1.0,,zwei,,,,
d_ex_hospital_08_45,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_45,True,,5,idle,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_46,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_46,True,,5,idle,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_47,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_47,True,,5,idle,,7,idle,,3,idle,,XS_70,XS_70,1.0,,rei,,,,
d_ex_hospital_08_48,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_48,True,,5,idle,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_49,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_49,True,,5,idle,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_50,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_50,True,,5,idle,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_51,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_51,True,,5,idle,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_52,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_52,True,,5,shy,,7,idle,,3,idle,,50,50,1.0,,ein,,,,
d_ex_hospital_08_53,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_53,True,,5,surprise,,7,idle,,3,idle,,50,50,1.0,,ein,,,,
d_ex_hospital_08_54,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_54,True,,5,surprise,,7,idle,,3,idle,,50,50,1.0,,ein,,,,
d_ex_hospital_08_55,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_55,True,,5,surprise,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_56,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_56,True,,5,idle,,7,idle,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_57,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_57,True,,5,idle,,7,surprise,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_58,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_58,True,,5,idle,,7,surprise,,3,idle,,30,30,1.0,,rei,,,,
d_ex_hospital_08_59,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_59,True,,5,idle,,7,surprise,,3,surprise,,30,3,1.0,,zwei,,,,
d_ex_hospital_08_60,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_60,True,,5,idle,,7,surprise,,3,surprise,,3,3,1.0,,zwei,,,,
d_ex_hospital_08_61,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_61,True,,5,idle,,7,idle,,3,surprise,,3,3,1.0,,zwei,,,,
d_ex_hospital_08_62,d_ex_hospital_08,Monologue,zwei,Locale_SuddenStory:d_ex_hospital_08_62,False,,5,idle,,7,idle,,3,surprise,,3,3,1.0,,,,,,
d_ex_hospital_08_63,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_63,True,,5,surprise,,7,angry,,3,idle,,3,6,1.0,,ein,,,,
d_ex_hospital_08_64,d_ex_hospital_08,Speech,ein,Locale_SuddenStory:d_ex_hospital_08_64,True,,5,surprise,,7,angry,,3,idle,,6,6,1.0,,ein,,,,
d_ex_hospital_08_65,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_65,True,,5,surprise,,7,angry,,3,idle,,6,6,1.0,,rei,,,,
d_ex_hospital_08_66,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_66,True,,5,surprise,,7,angry,,3,idle,,6,6,1.0,,rei,,,,
d_ex_hospital_08_67,d_ex_hospital_08,Speech,rei,Locale_SuddenStory:d_ex_hospital_08_67,True,,5,surprise,,7,angry,,3,idle,,6,6,1.0,,rei,,,,
d_ex_hospital_08_68,d_ex_hospital_08,Monologue,zwei,Locale_SuddenStory:d_ex_hospital_08_68,False,,5,surprise,,7,angry,,3,idle,,6,6,1.0,,,ein,rei,sfx_scn_2peoplewalk,
d_ex_hospital_08_69,d_ex_hospital_08,Self,zwei,Locale_SuddenStory:d_ex_hospital_08_69,False,,,,,,,,3,idle,,6,3,1.0,,,,,,
d_ex_hospital_08_70,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_70,True,,,,,,,,3,good,,3,3,1.0,,zwei,,,,
d_ex_hospital_08_71,d_ex_hospital_08,Self,zwei,Locale_SuddenStory:d_ex_hospital_08_71,False,,,,,,,,3,good,,3,3,1.0,,,,,,
d_ex_hospital_08_72,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_72,True,,,,,,,,3,good,,3,30,1.0,,zwei,,,,
d_ex_hospital_08_73,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_73,True,,,,,,,,3,good,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_74,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_74,True,,,,,,,,3,good,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_75,d_ex_hospital_08,Self,zwei,Locale_SuddenStory:d_ex_hospital_08_75,False,,,,,,,,3,good,,30,30,1.0,,,,,,
d_ex_hospital_08_76,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_76,True,,,,,,,,3,good,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_77,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_77,True,,,,,,,,3,good,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_78,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_78,True,,,,,,,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_79,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_79,True,,,,,,,,3,idle,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_80,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_80,True,,,,,,,,3,surprise,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_81,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_81,True,,,,,,,,3,surprise,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_82,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_82,True,,,,,,,,3,surprise,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_83,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_83,True,,,,,,,,3,shy,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_84,d_ex_hospital_08,Speech,zwei,Locale_SuddenStory:d_ex_hospital_08_84,True,,,,,,,,3,shy,,30,30,1.0,,zwei,,,,
d_ex_hospital_08_85,d_ex_hospital_08,Monologue,zwei,Locale_SuddenStory:d_ex_hospital_08_85,False,,,,,,,,3,shy,,30,3,1.0,,,,,,
d_ex_hospital_08_86,d_ex_hospital_08,Monologue,zwei,Locale_SuddenStory:d_ex_hospital_08_86,False,,,,,,,,3,shy,,3,3,1.0,,,,,,zwei
