id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,jump_target,characters/0/hide_char_id,set_filter_01
d_ex_mysteryclub_01_25,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_25,True,,1,1,1.0,,,,,,,,,,,,,,
d_ex_mysteryclub_01_26,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_26,True,,1,1,1.0,,,,,,,,,,,,,,
d_ex_mysteryclub_01_27,d_ex_mysteryclub_01,Self,Locale_SuddenStory:d_ex_mysteryclub_01_27,True,,1,1,1.0,,,,,,,,,,,,,,
d_ex_mysteryclub_01_28,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_28,True,,1,1,1.0,,,,,,,,,,,,,,
d_ex_mysteryclub_01_29,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_29,True,,1,1,1.0,,bgm_story_trauma,yuni,yuni,,,,,,,,,,
d_ex_mysteryclub_01_30,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_30,True,,1,1,1.0,,,yuni,yuni,,,,,,,,,,
d_ex_mysteryclub_01_31,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_31,True,,1,1,1.0,,,yuni,yuni,,,,,,,,,,
d_ex_mysteryclub_01_32,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_32,True,,1,1,1.0,,,yuni,,,,,,,,,,,
d_ex_mysteryclub_01_33,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_33,True,,1,1,1.0,,,yuni,yuni,,,,,,,,,,
d_ex_mysteryclub_01_34,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_34,True,,1,1,1.0,,,yuni,yuni,,,,,,,,,,
d_ex_mysteryclub_01_35,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_35,True,RuinIndoor,7,7,1.0,,,,,,,,,,,,,,Red
d_ex_mysteryclub_01_36,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_36,False,,7,7,1.0,,,,,,,,yuni,7,idle,,,,Red
d_ex_mysteryclub_01_37,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_37,True,,7,7,1.0,,,,,,,,,7,idle,,,,Red
d_ex_mysteryclub_01_38,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_38,True,,7,7,1.0,,,,,,,,,7,idle,,,,Red
d_ex_mysteryclub_01_39,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_39,True,,7,7,1.0,,,,,,,,,7,idle,,,,Red
d_ex_mysteryclub_01_40,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_40,False,,7,7,1.0,,,,,,,,,7,idle,,,,Red
d_ex_mysteryclub_01_41,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_41,True,none,7,7,1.0,,,,,,,,,7,idle,yuni,,,Red
d_ex_mysteryclub_01_42,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_42,True,,1,1,1.0,,,,,,,,,,,,,,Red
d_ex_mysteryclub_01_43,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_43,True,,1,100,0.5,,bgm_story_crawlinganxiety,mihara,mihara,,,,,,,,,,Red
d_ex_mysteryclub_01_44,d_ex_mysteryclub_01,Self,Locale_SuddenStory:d_ex_mysteryclub_01_44,False,RuinIndoor,100,100,1.0,,,mihara,,mihara,1,idle,,,,,,,Red
d_ex_mysteryclub_01_45,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_45,True,,100,100,1.0,,,mihara,mihara,,1,idle,,,,,,,Red
d_ex_mysteryclub_01_46,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_46,True,,100,100,1.0,,,mihara,mihara,,1,idle,,,,,,,Red
d_ex_mysteryclub_01_47,d_ex_mysteryclub_01,Self,Locale_SuddenStory:d_ex_mysteryclub_01_47,True,,100,100,1.0,,,mihara,,,1,idle,,,,,,,Red
d_ex_mysteryclub_01_48,d_ex_mysteryclub_01,Narration,Locale_SuddenStory:d_ex_mysteryclub_01_48,True,,100,31,2.0,,,mihara,,,1,idle,,,,,,,Red
d_ex_mysteryclub_01_49,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_49,True,,31,31,1.0,,,yuni,,,1,idle,yuni,3,idle,,,,Red
d_ex_mysteryclub_01_50,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_50,True,,31,31,1.0,,,yuni,yuni,,1,idle,,3,idle,,,,Red
d_ex_mysteryclub_01_51,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_51,True,,31,31,1.0,,,mihara,mihara,,1,idle,,3,idle,,,,Red
d_ex_mysteryclub_01_52,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_52,True,,31,S_300,1.0,,none,yuni,yuni,,1,idle,,3,idle,,,,Red
d_ex_mysteryclub_01_53,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_53,True,,S_300,100,1.0,,,mihara,mihara,,1,idle,,3,idle,,,,Red
d_ex_mysteryclub_01_54,d_ex_mysteryclub_01,Narration,Locale_SuddenStory:d_ex_mysteryclub_01_54,True,none,2,2,1.0,sfx_scn_doorclose,,,,,,,,,,yuni,,mihara,Red
d_ex_mysteryclub_01_55,d_ex_mysteryclub_01,Narration,Locale_SuddenStory:d_ex_mysteryclub_01_55,True,,2,2,1.0,,,,,,,,,,,,,,
