id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,fade,characters/0/hide_char_id
d_main_24af_05_20,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_20,True,,13,surprise,,S_1300,S_130,1.0,,,,,,,
d_main_24af_05_21,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_21,True,,13,no,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_22,d_main_24af_05,Self,neon,,Locale_MainScenario:d_main_24af_05_22,False,,13,no,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_23,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_23,True,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_24,d_main_24af_05,Self,neon,,Locale_MainScenario:d_main_24af_05_24,False,,13,surprise,,S_130,S_130,1.0,,,,,,,
d_main_24af_05_25,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_25,True,,13,idle,,S_130,12,1.0,,anis,1,void,,,
d_main_24af_05_26,d_main_24af_05,Self,anis,,Locale_MainScenario:d_main_24af_05_26,False,,13,idle,,12,12,1.0,,,1,void,,,
d_main_24af_05_27,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_27,True,,13,idle,,12,12,1.0,,,1,void,,,
d_main_24af_05_28,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_28,True,,13,idle,,12,12,1.0,,,1,void,,,
d_main_24af_05_29,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_29,True,,13,idle,,12,12,1.0,,,1,void,,,
d_main_24af_05_30,d_main_24af_05,Speech,neon,neon,Locale_MainScenario:d_main_24af_05_30,True,,13,angry,,12,S_130,1.0,,,1,void,,,
d_main_24af_05_31,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_31,True,,13,angry,,10,10,1.0,,,1,sad,,,
d_main_24af_05_32,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_32,True,,13,idle,OutpostOut,30,10,2.0,,,1,worry,neon,black,
d_main_24af_05_33,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_33,True,,,,,10,10,1.0,,,1,worry,,,
d_main_24af_05_34,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_34,True,,,,,10,10,1.0,,,1,worry,,,
d_main_24af_05_35,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_35,True,,,,,10,10,1.0,,,1,worry,,,
d_main_24af_05_36,d_main_24af_05,Self,anis,,Locale_MainScenario:d_main_24af_05_36,False,,,,,10,10,1.0,,,1,worry,,,
d_main_24af_05_37,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_37,True,,,,,10,10,1.0,,,1,void,,,
d_main_24af_05_38,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_38,True,,,,,10,10,1.0,,,1,void,,,
d_main_24af_05_39,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_39,True,,,,,10,10,1.0,,,1,void,,,
d_main_24af_05_40,d_main_24af_05,Self,anis,,Locale_MainScenario:d_main_24af_05_40,False,,,,,10,10,1.0,,,1,void,,,
d_main_24af_05_41,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_41,True,,,,,10,10,1.0,,,1,void,,,
d_main_24af_05_42,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_42,False,,,,,10,100,2.0,,,1,void,,,
d_main_24af_05_43,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_43,True,,,,,100,100,1.0,,,1,sad,,,
d_main_24af_05_44,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_44,True,,,,,100,100,1.0,,,1,sad,,,
d_main_24af_05_45,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_45,True,,,,,100,100,1.0,,,1,sad,,,
d_main_24af_05_46,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_46,True,,,,,100,100,1.0,,,1,sad,,,
d_main_24af_05_47,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_47,True,,,,,100,100,1.0,,,1,pain,,,
d_main_24af_05_48,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_48,True,,,,,100,100,1.0,,,1,pain,,,
d_main_24af_05_49,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_49,True,,,,,100,100,1.0,,,1,pain,,,
d_main_24af_05_50,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_50,True,,,,,100,100,1.0,,,1,pain,,,
d_main_24af_05_51,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_51,True,,,,,100,100,1.0,,,1,pain,,,
d_main_24af_05_52,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_52,True,,,,,100,100,1.0,,,1,sad,,,
d_main_24af_05_53,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_53,True,,,,,100,100,1.0,,,1,sad,,,
d_main_24af_05_54,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_54,True,,,,,100,100,1.0,,,1,sad,,,
d_main_24af_05_55,d_main_24af_05,Self,anis,,Locale_MainScenario:d_main_24af_05_55,False,,,,,100,100,1.0,,,1,sad,,,
d_main_24af_05_56,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_56,True,,,,,100,100,1.0,,,1,idle,,,
d_main_24af_05_57,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_57,True,,,,,100,100,1.0,,,1,idle,,,
d_main_24af_05_58,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_58,True,,,,,100,10,1.0,,,1,idle,,,
d_main_24af_05_59,d_main_24af_05,Speech,anis,anis,Locale_MainScenario:d_main_24af_05_59,True,,,,,10,10,1.0,,,1,idle,,,
d_main_24af_05_60,d_main_24af_05,Monologue,anis,,Locale_MainScenario:d_main_24af_05_60,False,,,,,10,130,1.0,,,1,idle,,,anis
