id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/6/hide_char_id,characters/4/hide_char_id
d_main_11_02_19,d_main_11_02,Speech,laplace,laplace,Locale_MainScenario:d_main_11_02_19,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,S_150,S_150,1.0,,,,,,5,idle,,3,idle,,15,angry,,
d_main_11_02_20,d_main_11_02,Speech,laplace,laplace,Locale_MainScenario:d_main_11_02_20,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,S_150,S_150,1.0,,,,,,5,idle,,3,idle,,15,angry,,
d_main_11_02_21,d_main_11_02,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_02_21,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,S_150,16,1.0,,,,,,5,idle,,3,idle,,15,angry,,
d_main_11_02_22,d_main_11_02,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_02_22,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,16,16,1.0,,,,,,5,idle,,3,idle,,15,angry,,
d_main_11_02_23,d_main_11_02,Speech,anis,anis,Locale_MainScenario:d_main_11_02_23,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,130,130,1.0,,,,,,5,idle,,3,idle,,15,angry,,
d_main_11_02_24,d_main_11_02,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_02_24,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,170,170,1.0,,,,,,5,idle,,3,idle,,15,angry,,
d_main_11_02_25,d_main_11_02,Speech,vesti,vesti,Locale_MainScenario:d_main_11_02_25,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,4,4,1.0,,,,,,5,idle,,3,angry,,15,angry,,
d_main_11_02_26,d_main_11_02,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_02_26,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,4,4,1.0,,,,,,5,idle,,3,angry,,15,angry,,
d_main_11_02_27,d_main_11_02,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_02_27,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,4,50,1.0,,,,,,5,idle,,3,angry,,15,idle,,
d_main_11_02_28,d_main_11_02,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_02_28,False,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,50,50,1.0,,,,,,5,angry,,3,angry,,15,idle,,
d_main_11_02_29,d_main_11_02,Self,,Self,Locale_MainScenario:d_main_11_02_29,False,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,50,50,1.0,,,,,,5,angry,,3,angry,,15,idle,,
d_main_11_02_30,d_main_11_02,Speech,rapi,rapi,Locale_MainScenario:d_main_11_02_30,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,10,10,1.0,,,,,,5,angry,,3,angry,,15,idle,,
d_main_11_02_31,d_main_11_02,Self,,Self,Locale_MainScenario:d_main_11_02_31,False,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,10,10,1.0,,,,,,5,angry,,3,angry,,15,idle,,
d_main_11_02_32,d_main_11_02,Speech,rapi,rapi,Locale_MainScenario:d_main_11_02_32,True,,13,angry,,,,,,,,,,,1,idle,,17,idle,,,,,10,10,1.0,,,,,,5,angry,,3,angry,,15,idle,,
d_main_11_02_33,d_main_11_02,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_02_33,True,,13,angry,,,,,,,,,,,1,idle,,17,sad,,,,,170,170,1.0,,,,,,5,angry,,3,angry,,15,idle,,
d_main_11_02_34,d_main_11_02,Speech,anis,anis,Locale_MainScenario:d_main_11_02_34,True,,13,worry,,,,,,,,,,,1,idle,,17,sad,,,,,12,12,1.0,,,,,,5,angry,,3,angry,,15,idle,,
d_main_11_02_35,d_main_11_02,Speech,rapi,rapi,Locale_MainScenario:d_main_11_02_35,True,,13,worry,,,,,,,,,,,1,think,,17,sad,,,,,12,12,1.0,,,,,,5,angry,,3,angry,,15,idle,,
d_main_11_02_36,d_main_11_02,Speech,anis,anis,Locale_MainScenario:d_main_11_02_36,True,,13,worry,,,,,,,,,,,1,think,,17,sad,,,,,12,12,1.0,,,,,,5,angry,,3,angry,,15,idle,,
d_main_11_02_37,d_main_11_02,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_02_37,True,,13,worry,,,,,,,,,,,1,idle,,17,idle,,,,,12,16,1.0,,,,,,5,angry,,3,angry,,15,idle,,
d_main_11_02_38,d_main_11_02,Speech,laplace,laplace,Locale_MainScenario:d_main_11_02_38,True,,13,worry,,,,,,,,,,,1,idle,,17,idle,,,,,16,S_150,0.8,bgm_blurredvision_a,,,,,5,angry,,3,angry,,15,delight,,rapi
