id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/0/hide_char_id,play_sound,fade,characters/1/hide_char_id
d_ex_armory_03_44,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_44,True,,1,pain,,30,31,1.0,,,,idle,,,,,
d_ex_armory_03_45,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_45,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_46,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_46,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_47,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_47,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_48,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_48,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_49,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_49,False,,1,idle,,31,30,1.0,,,,idle,,,,,
d_ex_armory_03_50,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_50,True,,1,idle,,30,30,1.0,,,,idle,,,,,
d_ex_armory_03_51,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_51,True,,1,idle,,30,31,1.0,,,,idle,,,,,
d_ex_armory_03_52,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_52,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_53,d_ex_armory_03,Narration,eunhwa,,Locale_SuddenStory:d_ex_armory_03_53,False,,1,idle,,31,31,1.0,,,,idle,,,,black,
d_ex_armory_03_54,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_54,True,,1,idle,,31,31,1.0,,,,idle,,,sfx_scn_aim,,
d_ex_armory_03_55,d_ex_armory_03,Monologue,eunhwa,,Locale_SuddenStory:d_ex_armory_03_55,False,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_56,d_ex_armory_03,Self,eunhwa,,Locale_SuddenStory:d_ex_armory_03_56,False,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_57,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_57,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_58,d_ex_armory_03,Self,eunhwa,,Locale_SuddenStory:d_ex_armory_03_58,False,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_59,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_59,True,,1,idle,,31,1,1.0,,,,idle,,,,,
d_ex_armory_03_60,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_60,True,,1,idle,,1,1,1.0,,,,idle,,,,,
d_ex_armory_03_61,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_61,True,,1,idle,,1,3,1.0,,,,angry,,,,,
d_ex_armory_03_62,d_ex_armory_03,Self,eunhwa,,Locale_SuddenStory:d_ex_armory_03_62,False,,1,idle,,3,3,1.0,,,,angry,,,,,
d_ex_armory_03_63,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_63,True,,1,pain,,3,31,1.0,,,,idle,,,,,
d_ex_armory_03_64,d_ex_armory_03,Speech,snowwhite,snowwhite,Locale_SuddenStory:d_ex_armory_03_64,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_65,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_65,True,,1,idle,,31,31,1.0,,,,idle,,,,,
d_ex_armory_03_66,d_ex_armory_03,Narration,eunhwa,,Locale_SuddenStory:d_ex_armory_03_66,False,,1,idle,,31,31,1.0,,,,idle,,snowwhite,,,
d_ex_armory_03_67,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_67,False,,,,,31,3,1.0,,,,angry,,,,,
d_ex_armory_03_68,d_ex_armory_03,Choice,eunhwa,,Locale_SuddenStory:d_ex_armory_03_68,False,,,,,3,3,1.0,,,,angry,d_ex_armory_03_70,,,,
d_ex_armory_03_69,d_ex_armory_03,Choice,eunhwa,,Locale_SuddenStory:d_ex_armory_03_69,False,,,,,3,3,1.0,,,,angry,d_ex_armory_03_71,,,,
d_ex_armory_03_70,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_70,True,,,,,3,3,1.0,,,,angry,d_ex_armory_03_72,,,,
d_ex_armory_03_71,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_71,True,,,,,3,3,1.0,,,,angry,d_ex_armory_03_72,,,,
d_ex_armory_03_72,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_72,False,,,,,3,30,1.0,,,,idle,,,,,
d_ex_armory_03_73,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_73,True,,,,,30,30,1.0,,,,idle,,,,,
d_ex_armory_03_74,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_74,True,,,,,30,300,1.0,,,,idle,,,,,
d_ex_armory_03_75,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_75,False,,,,,300,300,1.0,,,,angry,,,,,
d_ex_armory_03_76,d_ex_armory_03,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_03_76,True,,,,,300,3,1.0,,,,angry,,,,,
d_ex_armory_03_77,d_ex_armory_03,Monologue,eunhwa,,Locale_SuddenStory:d_ex_armory_03_77,False,,,,,3,3,1.0,,,,angry,,,,,eunhwa
d_ex_armory_03_78,d_ex_armory_03,Monologue,eunhwa,,Locale_SuddenStory:d_ex_armory_03_78,False,,,,,3,3,1.0,,,,,,,,,
