id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,set_camera_shake,set_filter_01,characters/4/hide_char_id
d_main_40_07_28,d_main_40_07,Monologue,maxwell_p,Locale_MainScenario:d_main_40_07_28,False,,1,idle,,13,13,1.0,,,,13,rage,,15,sad_02,,17,idle,,3,idle,,5,idle,,,,
d_main_40_07_29,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_29,True,,1,idle,,13,113,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,3,idle,,5,idle,,,,
d_main_40_07_30,d_main_40_07,Speech,maxwell_p,Locale_MainScenario:d_main_40_07_30,True,,1,idle,,113,113,1.0,,maxwell_p,,13,rage,,15,idle,,17,idle,,3,idle,,5,idle,,,,
d_main_40_07_31,d_main_40_07,Speech,rapi_red,Locale_MainScenario:d_main_40_07_31,True,,1,idle,,500,500,1.0,,rapi_red,,13,rage,,15,idle,,17,idle,,3,idle,,5,angry,,,,
d_main_40_07_32,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_32,True,,1,idle,,S_100,S_100,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,3,idle,,5,angry,,,,
d_main_40_07_33,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_33,True,,1,idle,,S_100,S_100,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,3,idle,,5,angry,,,,
d_main_40_07_34,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_34,True,,1,idle,,S_100,S_100,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,3,idle,,5,angry,,,,
d_main_40_07_35,d_main_40_07,Speech,rapi_red,Locale_MainScenario:d_main_40_07_35,True,,1,idle,,500,50,0.7,,rapi_red,,13,rage,,15,idle,,17,idle,,3,idle,,5,angry,,,,
d_main_40_07_36,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_36,True,,1,idle,,S_10,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,3,idle,,5,angry,,,,
d_main_40_07_37,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_37,True,,1,idle,,S_10,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,3,idle,,5,angry,,,,
d_main_40_07_38,d_main_40_07,Speech,nayuta_n,Locale_MainScenario:d_main_40_07_38,True,,1,idle,,S_10,31,1.0,,nayuta_n,,13,rage,,15,idle,,17,idle,,3,angry_02,,5,angry,,,,
d_main_40_07_39,d_main_40_07,Speech,nayuta_n,Locale_MainScenario:d_main_40_07_39,True,,1,idle,,31,31,1.0,,nayuta_n,,13,rage,,15,idle,,17,idle,,3,angry_02,,5,angry,,,,
d_main_40_07_40,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_40,True,,1,idle,,31,31,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,3,angry_02,,5,angry,,,,
d_main_40_07_41,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_41,True,,1,idle,,31,31,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,3,angry_02,,5,angry,,,,
d_main_40_07_42,d_main_40_07,Speech,nayuta_n,Locale_MainScenario:d_main_40_07_42,True,,1,idle,,31,31,1.0,,nayuta_n,,13,rage,,15,idle,,17,idle,,3,angry_02,,5,angry,,,,
d_main_40_07_43,d_main_40_07,Narration,nayuta_n,Locale_MainScenario:d_main_40_07_43,False,,1,idle,,31,31,1.0,,,,13,rage,,15,idle,,17,idle,,3,angry_02,,5,angry,sfx_scn_liberalioshot,Low_2,Red,
d_main_40_07_44,d_main_40_07,Speech,rapi_red,Locale_MainScenario:d_main_40_07_44,False,,1,idle,,50,500,0.7,,rapi_red,,13,rage,,15,idle,,17,idle,,3,angry_02,,5,angry,,,,
d_main_40_07_45,d_main_40_07,Self,rapi_red,Locale_MainScenario:d_main_40_07_45,False,,1,idle,,500,300,0.7,,,,13,rage,,15,idle,,17,idle,,3,angry_02,,5,angry,,,,nayuta_n
d_main_40_07_46,d_main_40_07,Monologue,rapi_red,Locale_MainScenario:d_main_40_07_46,False,,1,idle,,black,black,1.0,,,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_47,d_main_40_07,Monologue,rapi_red,Locale_MainScenario:d_main_40_07_47,False,,1,idle,,black,black,1.0,,,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_48,d_main_40_07,Monologue,rapi_red,Locale_MainScenario:d_main_40_07_48,False,,1,idle,,black,black,1.0,,,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_49,d_main_40_07,Self,rapi_red,Locale_MainScenario:d_main_40_07_49,False,,1,idle,,S_100,S_10,1.0,,,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_50,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_50,True,,1,idle,,S_10,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_51,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_51,True,,1,idle,,S_10,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_52,d_main_40_07,Speech,rapi_red,Locale_MainScenario:d_main_40_07_52,True,,1,idle,,500,500,1.0,,rapi_red,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_53,d_main_40_07,Speech,laplace_p,Locale_MainScenario:d_main_40_07_53,True,,1,idle,,S_1500,S_1500,1.0,,laplace_p,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_54,d_main_40_07,Speech,drake_p,Locale_MainScenario:d_main_40_07_54,True,,1,idle,,L_1700,L_1700,1.0,,drake_p,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_55,d_main_40_07,Speech,maxwell_p,Locale_MainScenario:d_main_40_07_55,True,,1,idle,,L_1300,L_130,1.0,,maxwell_p,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_56,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_56,False,,1,idle,,L_130,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_57,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_57,True,,1,idle,,S_10,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_58,d_main_40_07,Self,liberalio,Locale_MainScenario:d_main_40_07_58,False,,1,idle,,S_10,S_10,1.0,,,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_59,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_59,True,,1,idle,,S_10,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_60,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_60,True,,1,idle,,S_10,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_61,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_61,True,,1,idle,,S_10,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_62,d_main_40_07,Self,liberalio,Locale_MainScenario:d_main_40_07_62,False,,1,idle,,S_10,S_10,1.0,,,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_63,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_63,True,,1,idle,,S_10,S_100,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_64,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_64,True,,1,idle,,S_100,S_100,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_65,d_main_40_07,Monologue,liberalio,Locale_MainScenario:d_main_40_07_65,False,,1,idle,,black,black,1.0,,,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_66,d_main_40_07,Monologue,liberalio,Locale_MainScenario:d_main_40_07_66,False,,1,idle,,black,black,1.0,,,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_67,d_main_40_07,Monologue,liberalio,Locale_MainScenario:d_main_40_07_67,False,,1,idle,,black,black,1.0,,,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_68,d_main_40_07,Monologue,liberalio,Locale_MainScenario:d_main_40_07_68,False,,1,idle,,black,black,1.0,,,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_69,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_69,True,,1,idle,,S_100,S_10,0.7,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_70,d_main_40_07,Speech,rapi_red,Locale_MainScenario:d_main_40_07_70,True,,1,idle,,50,50,1.0,,rapi_red,,13,rage,,15,idle,,17,idle,,,,,5,no,,,,
d_main_40_07_71,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_71,True,,1,idle,,S_10,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,no,,,,
d_main_40_07_72,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_72,True,,1,idle,,S_10,S_100,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,no,,,,
d_main_40_07_73,d_main_40_07,Speech,rapi_red,Locale_MainScenario:d_main_40_07_73,True,,1,idle,,50,500,0.7,,rapi_red,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_74,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_74,True,,1,idle,,S_100,S_100,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
d_main_40_07_75,d_main_40_07,Speech,liberalio,Locale_MainScenario:d_main_40_07_75,True,,1,idle,,S_100,S_10,1.0,,liberalio,,13,rage,,15,idle,,17,idle,,,,,5,angry,,,,
