id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,fade,characters/1/hide_char_id
d_ex_church_07_75,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_75,False,,2,2,1.0,,maiden,,,1,think,,3,delight,,,
d_ex_church_07_76,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_76,False,,2,2,1.0,,rouge,rouge,,1,think,,3,delight,,,
d_ex_church_07_77,d_ex_church_07,Narration,Locale_SuddenStory:d_ex_church_07_77,False,,black,black,1.0,,rouge,,,1,think,,3,delight,,,
d_ex_church_07_78,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_78,True,,2,2,1.0,,rouge,rouge,,1,surprise,,3,delight,,,
d_ex_church_07_79,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_79,True,,2,2,1.0,,maiden,maiden,,1,surprise,,3,delight,,,
d_ex_church_07_80,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_80,True,,2,2,1.0,,maiden,maiden,,1,surprise,,3,delight,,,
d_ex_church_07_81,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_81,False,,black,black,1.0,,maiden,,,1,surprise,,3,delight,,,
d_ex_church_07_82,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_82,False,,black,black,1.0,,maiden,,,1,think,,3,idle,,,
d_ex_church_07_83,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_83,False,,2,2,1.0,,maiden,maiden,,1,think,,3,idle,,black,
d_ex_church_07_84,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_84,False,,2,2,1.0,,rouge,rouge,,1,think,,3,idle,,,
d_ex_church_07_85,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_85,False,,2,2,1.0,,rouge,,,1,think,,3,idle,,,
d_ex_church_07_86,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_86,True,,2,S_30,1.0,,maiden,maiden,,1,think,,3,idle,,,
d_ex_church_07_87,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_87,False,,S_30,S_30,1.0,,maiden,maiden,,1,think,,3,idle,,,
d_ex_church_07_88,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_88,False,,S_30,S_30,1.0,,maiden,maiden,,1,think,,3,shy,,,
d_ex_church_07_89,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_89,True,,S_30,S_30,1.0,,maiden,maiden,,1,think,,3,shy,,,
d_ex_church_07_90,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_90,True,,10,10,1.0,,rouge,rouge,,1,surprise,,3,shy,,,
d_ex_church_07_91,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_91,True,,S_30,S_30,1.0,,maiden,maiden,,1,surprise,,3,shy,,,
d_ex_church_07_92,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_92,True,,10,10,1.0,,rouge,rouge,,1,idle,,3,shy,,,
d_ex_church_07_93,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_93,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,delight,,,
d_ex_church_07_94,d_ex_church_07,Narration,Locale_SuddenStory:d_ex_church_07_94,False,,S_30,2,0.3,,maiden,,,1,idle,,3,delight,sfx_scn_grab,,
d_ex_church_07_95,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_95,False,,2,2,1.0,,maiden,,,1,idle,,3,delight,,,
d_ex_church_07_96,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_96,True,,2,2,1.0,,maiden,maiden,,1,idle,,3,delight,,,
d_ex_church_07_97,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_97,True,,2,2,1.0,,maiden,maiden,,1,idle,,3,delight,,,
d_ex_church_07_98,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_98,True,,2,2,1.0,,rouge,rouge,,1,idle,,3,delight,,,
d_ex_church_07_99,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_99,True,,2,2,1.0,,rouge,rouge,,1,idle,,3,delight,,,
d_ex_church_07_100,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_100,True,,2,2,1.0,,rouge,rouge,,1,idle,,3,delight,,,
d_ex_church_07_101,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_101,True,,2,2,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_102,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_102,True,,2,2,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_103,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_103,False,,2,2,1.0,,maiden,,,1,idle,,3,shy,,,
d_ex_church_07_104,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_104,True,,2,2,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_105,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_105,True,,2,2,1.0,,rouge,rouge,,1,surprise,,3,shy,,,
d_ex_church_07_106,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_106,True,,2,2,1.0,,maiden,maiden,,1,surprise,,3,shy,,,
d_ex_church_07_107,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_107,True,,2,2,1.0,,rouge,rouge,,1,sad,,3,shy,,,
d_ex_church_07_108,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_108,True,,2,S_30,1.0,,maiden,maiden,,1,sad,,3,shy,,,
d_ex_church_07_109,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_109,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_110,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_110,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_111,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_111,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_112,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_112,True,,10,10,1.0,,rouge,rouge,,1,think,,3,shy,,,
d_ex_church_07_113,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_113,True,,10,10,1.0,,rouge,rouge,,1,think,,3,shy,,,
d_ex_church_07_114,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_114,True,,S_30,S_30,1.0,,maiden,maiden,,1,think,,3,delight,,,
d_ex_church_07_115,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_115,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,delight,,,
d_ex_church_07_116,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_116,True,,S_30,S_30,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_117,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_117,True,,S_30,3,1.0,,maiden,maiden,,1,idle,,3,shy,,,
d_ex_church_07_118,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_118,False,,3,3,1.0,,maiden,,,1,idle,,3,shy,,,maiden
d_ex_church_07_119,d_ex_church_07,Speech,Locale_SuddenStory:d_ex_church_07_119,False,,3,10,1.0,,rouge,rouge,,1,sad,,,,,,
d_ex_church_07_120,d_ex_church_07,Self,Locale_SuddenStory:d_ex_church_07_120,False,,10,10,1.0,,rouge,,,1,sad,,,,,,
d_ex_church_07_121,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_121,False,,10,10,1.0,,rouge,,,1,sad,,,,,,
d_ex_church_07_122,d_ex_church_07,Monologue,Locale_SuddenStory:d_ex_church_07_122,False,,black,black,1.0,,rouge,,,1,sad,,,,,,
