id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_maidcafe_05_69,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_69,True,,XS_100,130,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_70,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_70,True,,130,130,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_71,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_71,False,,130,130,1.0,,,,,1,delight,cocoa,,13,idle,
d_ex_maidcafe_05_72,d_ex_maidcafe_05,Choice,,,Locale_SuddenStory:d_ex_maidcafe_05_72,False,,130,130,1.0,,d_ex_maidcafe_05_74,,,,,,,13,idle,
d_ex_maidcafe_05_73,d_ex_maidcafe_05,Choice,,,Locale_SuddenStory:d_ex_maidcafe_05_73,False,,130,130,1.0,,d_ex_maidcafe_05_75,,,,,,,13,idle,
d_ex_maidcafe_05_74,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_74,True,,130,130,1.0,,d_ex_maidcafe_05_76,,,,,,,13,idle,
d_ex_maidcafe_05_75,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_75,True,,130,130,1.0,,d_ex_maidcafe_05_76,,,,,,,13,idle,
d_ex_maidcafe_05_76,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_76,False,,130,130,1.0,,,,,,,,,13,idle,
d_ex_maidcafe_05_77,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_77,True,,130,1300,1.0,,,,,,,,,13,good,
d_ex_maidcafe_05_78,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_78,True,,1300,1300,1.0,,,,,,,,,13,good,
d_ex_maidcafe_05_79,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_79,True,,1300,1300,1.0,,,,,,,,,13,idle,
d_ex_maidcafe_05_80,d_ex_maidcafe_05,Narration,,,Locale_SuddenStory:d_ex_maidcafe_05_80,False,,black,black,1.0,,,,cocoa,1,serious,,,13,idle,
d_ex_maidcafe_05_81,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_81,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_82,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_82,False,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_83,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_83,False,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_84,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_84,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_85,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_85,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_86,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_86,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_87,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_87,False,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_88,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_88,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_89,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_89,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_90,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_90,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_91,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_91,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_92,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_92,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_93,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_93,True,,113,113,1.0,,,,,1,serious,,,13,idle,
d_ex_maidcafe_05_94,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_94,True,,113,113,1.0,,,,,1,serious,,,13,delight,
d_ex_maidcafe_05_95,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_95,True,,113,113,1.0,,,,,1,serious,,,13,delight,
d_ex_maidcafe_05_96,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_96,True,,113,113,1.0,,,,,1,serious,,,13,delight,
d_ex_maidcafe_05_97,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_97,True,,113,130,0.5,none,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_98,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_98,True,,130,130,1.0,,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_99,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_99,True,,130,130,1.0,bgm_story_armageddon,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_100,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_100,False,,130,130,1.0,,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_101,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_101,True,,130,1300,0.5,,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_102,d_ex_maidcafe_05,Narration,,,Locale_SuddenStory:d_ex_maidcafe_05_102,False,,black,black,1.0,,,sfx_scn_glassbreak,,1,serious,,,13,angry,
d_ex_maidcafe_05_103,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_103,False,,black,black,1.0,,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_104,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_104,False,,black,black,1.0,,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_105,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_105,True,,1300,1300,1.0,,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_106,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_106,True,,1300,1300,1.0,,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_107,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_107,True,,1300,1300,1.0,,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_108,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_108,True,,1300,1300,1.0,,,,,1,serious,,,13,angry,
d_ex_maidcafe_05_109,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_109,False,,1300,113,2.0,none,,,,1,delight,,,13,angry,
d_ex_maidcafe_05_110,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_110,False,,113,113,1.0,,,,,1,delight,,,13,angry,
d_ex_maidcafe_05_111,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_111,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_112,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_112,False,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_113,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_113,True,,113,113,1.0,bgm_story_orangepop,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_114,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_114,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_115,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_115,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_116,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_116,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_117,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_117,False,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_118,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_118,True,,113,113,1.0,,,,,1,delight,,,13,good,
d_ex_maidcafe_05_119,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_119,True,,113,113,1.0,,,,,1,delight,,,13,good,
d_ex_maidcafe_05_120,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_120,False,,113,XS_10,1.0,,,,,1,delight,,,13,good,
d_ex_maidcafe_05_121,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_121,True,,XS_10,XS_10,1.0,,,,,1,delight,,,13,good,
d_ex_maidcafe_05_122,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_122,True,,XS_10,XS_10,1.0,,,,,1,delight,,,13,good,
d_ex_maidcafe_05_123,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_123,True,,XS_10,XS_10,1.0,,,,,1,delight,,,13,good,
d_ex_maidcafe_05_124,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_124,False,,XS_10,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_125,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_125,False,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_126,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_126,False,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_127,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_127,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_128,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_128,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_129,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_129,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_130,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_130,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_131,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_131,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_132,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_132,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_133,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_133,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_134,d_ex_maidcafe_05,Speech,rosanna,rosanna,Locale_SuddenStory:d_ex_maidcafe_05_134,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_135,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_135,False,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_136,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_136,True,,113,113,1.0,,,,,1,delight,,,13,idle,
d_ex_maidcafe_05_137,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_137,False,,113,113,1.0,,,,,1,delight,,,13,good,rosanna
d_ex_maidcafe_05_138,d_ex_maidcafe_05,Speech,cocoa,cocoa,Locale_SuddenStory:d_ex_maidcafe_05_138,True,,113,XS_10,1.0,,,,,1,delight,,,,,
d_ex_maidcafe_05_139,d_ex_maidcafe_05,Self,,,Locale_SuddenStory:d_ex_maidcafe_05_139,False,,XS_10,XS_10,1.0,,,,,1,delight,,,,,
d_ex_maidcafe_05_140,d_ex_maidcafe_05,Monologue,,,Locale_SuddenStory:d_ex_maidcafe_05_140,False,,black,black,1.0,,,,,1,delight,,,,,
