id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake
d_subquest_1213_s_17,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_17,True,,5,idle,,1,delight,,13,delight,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_18,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_18,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_19,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_19,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,6,1.0,,,
d_subquest_1213_s_20,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_20,True,,5,idle,,1,idle,,13,idle,,15,idle,,6,5,1.0,,,
d_subquest_1213_s_21,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_21,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,4,1.0,,,
d_subquest_1213_s_22,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_22,True,,5,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,
d_subquest_1213_s_23,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_23,True,,5,idle,,1,idle,,13,idle,,15,idle,,4,5,1.0,,,
d_subquest_1213_s_24,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_24,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_25,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_25,True,,5,idle,,1,worry,,13,idle,,15,idle,,1,1,1.0,,,
d_subquest_1213_s_26,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_26,True,,5,idle,,1,worry,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_27,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_27,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_28,d_subquest_1213_s,Self,,Self,Locale_SubScenario:d_subquest_1213_s_28,False,,5,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_29,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_29,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_30,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_30,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_31,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_31,True,,5,idle,,1,idle,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_32,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_32,True,,5,idle,,1,worry,,13,idle,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_33,d_subquest_1213_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1213_s_33,True,,5,idle,,1,worry,,13,surprise,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_34,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_34,True,,5,idle,,1,idle,,13,surprise,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_35,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_35,True,,5,idle,,1,idle,,13,idle,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_36,d_subquest_1213_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1213_s_36,False,,5,idle,,1,idle,,13,idle,,15,angry,,12,15,1.5,none,,
d_subquest_1213_s_37,d_subquest_1213_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1213_s_37,True,,5,idle,,1,idle,,13,idle,,15,angry,,15,150,0.3,bgm_emergency,,
d_subquest_1213_s_38,d_subquest_1213_s,Narration,,Narration,Locale_SubScenario:d_subquest_1213_s_38,False,,5,idle,,1,idle,,13,idle,,15,angry,,150,150,1.0,,sfx_scn_earthquake,Low_2
d_subquest_1213_s_39,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_39,True,,5,idle,,1,no,,13,idle,,15,angry,,10,10,1.0,,,
d_subquest_1213_s_40,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_40,True,,5,idle,,1,no,,13,idle,,15,idle,,10,5,0.3,,,Low_2
d_subquest_1213_s_41,d_subquest_1213_s,Speech,roam,roam,Locale_SubScenario:d_subquest_1213_s_41,True,,5,idle,,1,no,,13,idle,,15,idle,,5,5,1.0,,,
d_subquest_1213_s_42,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_42,True,,5,idle,,1,no,,13,idle,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_43,d_subquest_1213_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1213_s_43,True,,5,idle,,1,sad,,13,idle,,15,idle,,12,12,1.0,,,
d_subquest_1213_s_44,d_subquest_1213_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1213_s_44,True,,5,idle,,1,sad,,13,angry,,15,idle,,12,12,0.3,,,
