id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_17af_03_21,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_21,True,,S_30,S_30,1.0,,yuni,yuni,,,3,shy,,,1,think
d_main_17af_03_22,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_22,True,,S_30,S_30,1.0,,yuni,yuni,,,3,shy,,,1,think
d_main_17af_03_23,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_23,True,,S_30,S_30,1.0,,mihara,mihara,,,3,shy,,,1,surprise
d_main_17af_03_24,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_24,True,,S_30,S_300,2.0,,yuni,yuni,,,3,shy,,,1,surprise
d_main_17af_03_25,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_25,True,,S_300,S_300,1.0,,yuni,yuni,,,3,shy,,,1,surprise
d_main_17af_03_26,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_26,True,,S_300,S_300,1.0,,yuni,yuni,,,3,think,,,1,surprise
d_main_17af_03_27,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_27,True,,100,100,1.0,,mihara,mihara,,,3,think,,,1,surprise
d_main_17af_03_28,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_28,True,,S_300,S_300,1.0,,yuni,yuni,,,3,shy,,,1,surprise
d_main_17af_03_29,d_main_17af_03,Narration,Locale_MainScenario:d_main_17af_03_29,False,,31,31,1.0,,,,sfx_scn_grab,,3,shy,,,1,surprise
d_main_17af_03_30,d_main_17af_03,Monologue,Locale_MainScenario:d_main_17af_03_30,False,,31,31,1.0,,,,,,3,shy,,,1,surprise
d_main_17af_03_31,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_31,True,,31,31,1.0,,yuni,yuni,,,3,shy,,,1,surprise
d_main_17af_03_32,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_32,True,,31,31,1.0,,yuni,yuni,,,3,shy,,,1,surprise
d_main_17af_03_33,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_33,True,,31,31,1.0,,yuni,yuni,,,3,shy,,,1,surprise
d_main_17af_03_34,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_34,True,,31,S_30,1.0,,yuni,yuni,,,3,shy,,,1,surprise
d_main_17af_03_35,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_35,True,,S_30,S_30,1.0,,yuni,yuni,,,3,shy,,,1,surprise
d_main_17af_03_36,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_36,True,,S_30,S_300,1.0,,yuni,yuni,,,3,shy,,,1,surprise
d_main_17af_03_37,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_37,False,,S_300,100,1.0,,mihara,mihara,,,3,shy,,,1,surprise
d_main_17af_03_38,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_38,True,,100,100,1.0,,mihara,mihara,,,3,shy,,,1,idle
d_main_17af_03_39,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_39,True,,100,100,1.0,,mihara,mihara,,,3,shy,,,1,idle
d_main_17af_03_40,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_40,True,,100,31,1.0,,mihara,mihara,,,3,shy,,,1,idle
d_main_17af_03_41,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_41,True,,31,31,1.0,,mihara,mihara,,,3,shy,,,1,idle
d_main_17af_03_42,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_42,True,,31,31,1.0,,yuni,yuni,,,3,shy,,,1,idle
d_main_17af_03_43,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_43,True,,31,31,1.0,,yuni,yuni,,,3,shy,,,1,idle
d_main_17af_03_44,d_main_17af_03,Monologue,Locale_MainScenario:d_main_17af_03_44,True,,31,31,1.0,,,,,,3,shy,yuni,,1,idle
d_main_17af_03_45,d_main_17af_03,Speech,Locale_MainScenario:d_main_17af_03_45,False,,31,100,3.0,,mihara,mihara,,,,,,,1,think
