id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_14_04_21,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_21,True,,150,150,1.0,,,,3,sad,,5,angry,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_22,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_22,True,,S_30,S_30,0.5,,,,3,sad,,5,idle,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_23,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_23,True,,S_30,S_30,1.0,,,,3,sad,,5,idle,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_24,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_24,True,,S_30,S_30,1.0,,,,3,sad,,5,idle,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_25,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_25,True,,S_30,S_30,1.0,,,,3,sad,,5,idle,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_26,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_26,True,,S_30,S_30,1.0,,,,3,sad,,5,idle,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_27,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_27,True,,S_30,S_300,1.0,,,,3,sad,,5,idle,,7,idle,,15,idle,,17,void,,19,idle
d_main_14_04_28,d_main_14_04,Speech,anis,anis,Locale_MainScenario:d_main_14_04_28,True,,1700,1700,1.0,,,,3,sad,,5,idle,,7,idle,,15,idle,,17,angry,,19,idle
d_main_14_04_29,d_main_14_04,Speech,anis,anis,Locale_MainScenario:d_main_14_04_29,True,,1700,1700,1.0,,,,3,sad,,5,idle,,7,idle,,15,idle,,17,angry,,19,idle
d_main_14_04_30,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_30,True,,S_300,S_300,1.0,,,,3,shy,,5,idle,,7,idle,,15,idle,,17,angry,,19,idle
d_main_14_04_31,d_main_14_04,Speech,anis,anis,Locale_MainScenario:d_main_14_04_31,True,,1700,1700,1.0,,,,3,shy,,5,idle,,7,idle,,15,idle,,17,angry,,19,idle
d_main_14_04_32,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_32,True,,S_300,S_300,1.0,,,,3,angry,,5,idle,,7,idle,,15,idle,,17,angry,,19,idle
d_main_14_04_33,d_main_14_04,Speech,anis,anis,Locale_MainScenario:d_main_14_04_33,True,,1700,1700,1.0,,,,3,angry,,5,idle,,7,idle,,15,idle,,17,angry,,19,idle
d_main_14_04_34,d_main_14_04,Speech,privaty,privaty,Locale_MainScenario:d_main_14_04_34,True,,S_300,S_30,0.5,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,angry,,19,idle
d_main_14_04_35,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_35,True,,150,150,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,angry,,19,idle
d_main_14_04_36,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_36,True,,150,150,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,angry,,19,idle
d_main_14_04_37,d_main_14_04,Speech,neon,neon,Locale_MainScenario:d_main_14_04_37,True,,S_190,S_190,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,angry,,19,idle
d_main_14_04_38,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_38,True,,150,150,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,angry,,19,idle
d_main_14_04_39,d_main_14_04,Speech,neon,neon,Locale_MainScenario:d_main_14_04_39,True,,S_190,S_190,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,angry,,19,idle
d_main_14_04_40,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_40,True,,150,150,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,angry,,19,idle
d_main_14_04_41,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_41,True,,150,150,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,angry,,19,idle
d_main_14_04_42,d_main_14_04,Self,,,Locale_MainScenario:d_main_14_04_42,False,,150,150,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,angry,,19,idle
d_main_14_04_43,d_main_14_04,Speech,rapi,rapi,Locale_MainScenario:d_main_14_04_43,True,,150,15,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,angry,,19,idle
d_main_14_04_44,d_main_14_04,Speech,anis,anis,Locale_MainScenario:d_main_14_04_44,True,,15,1719,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,worry,,19,idle
d_main_14_04_45,d_main_14_04,Speech,neon,neon,Locale_MainScenario:d_main_14_04_45,True,,1719,1719,1.0,,,,3,angry,,5,angry,,7,angry,,15,idle,,17,worry,,19,surprise
