id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_29_09_e_13,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_13,True,,1,1,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_14,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_14,True,,1,1,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_15,d_main_29_09_e,Self,fragile,,Locale_MainScenario:d_main_29_09_e_15,False,,1,1,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_16,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_16,True,,1,1,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_17,d_main_29_09_e,Self,fragile,,Locale_MainScenario:d_main_29_09_e_17,False,,1,1,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_18,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_18,True,,1,S_10,1.0,bgm_mystery,,,,1,idle,,,,,,,,,
d_main_29_09_e_19,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_19,True,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_20,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_20,True,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_21,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_21,True,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_22,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_22,True,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_23,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_23,True,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_24,d_main_29_09_e,Self,fragile,,Locale_MainScenario:d_main_29_09_e_24,False,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_25,d_main_29_09_e,Self,fragile,,Locale_MainScenario:d_main_29_09_e_25,False,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_26,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_26,False,,S_10,1,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_27,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_27,True,,1,1,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_28,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_28,True,,1,1,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_29,d_main_29_09_e,Choice,fragile,,Locale_MainScenario:d_main_29_09_e_29,False,,1,1,1.0,,d_main_29_09_e_31,,,1,shy,,,,,,,,,
d_main_29_09_e_30,d_main_29_09_e,Choice,fragile,,Locale_MainScenario:d_main_29_09_e_30,False,,1,1,1.0,,d_main_29_09_e_31,,,1,shy,,,,,,,,,
d_main_29_09_e_31,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_31,False,,1,1,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_32,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_32,True,,1,1,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_33,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_33,True,,1,1,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_34,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_34,True,,1,1,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_35,d_main_29_09_e,Self,fragile,,Locale_MainScenario:d_main_29_09_e_35,False,,1,1,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_36,d_main_29_09_e,Self,fragile,,Locale_MainScenario:d_main_29_09_e_36,False,,1,1,1.0,,,,,1,idle,,,,,,,,,
d_main_29_09_e_37,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_37,False,,1,S_10,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_38,d_main_29_09_e,Self,fragile,,Locale_MainScenario:d_main_29_09_e_38,False,,S_10,S_10,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_39,d_main_29_09_e,Self,fragile,,Locale_MainScenario:d_main_29_09_e_39,False,,S_10,S_10,1.0,,,,,1,shy,,,,,,,,,
d_main_29_09_e_40,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_40,False,,S_10,1,1.4,,,,,1,sorry,,,,,,,,,
d_main_29_09_e_41,d_main_29_09_e,Speech,fragile,fragile,Locale_MainScenario:d_main_29_09_e_41,True,,1,1,1.0,,,,,1,sorry,,,,,,,,,
d_main_29_09_e_42,d_main_29_09_e,Monologue,,,Locale_MainScenario:d_main_29_09_e_42,False,,1,1,1.0,,,sfx_scn_walkaway,,1,sorry,fragile,,,,,,,,
d_main_29_09_e_43,d_main_29_09_e,Self,,,Locale_MainScenario:d_main_29_09_e_43,False,,1,1,1.0,,,,,,,,,,,,,,,
d_main_29_09_e_44,d_main_29_09_e,Self,shifty_c,,Locale_MainScenario:d_main_29_09_e_44,False,,1,10,1.0,,,,shifty_c,OP_center,think,,,,,,,,,
d_main_29_09_e_45,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_45,True,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_46,d_main_29_09_e,Self,shifty_c,,Locale_MainScenario:d_main_29_09_e_46,False,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_47,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_47,True,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_48,d_main_29_09_e,Self,shifty_c,,Locale_MainScenario:d_main_29_09_e_48,False,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_49,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_49,True,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_50,d_main_29_09_e,Self,shifty_c,,Locale_MainScenario:d_main_29_09_e_50,False,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_51,d_main_29_09_e,Self,shifty_c,,Locale_MainScenario:d_main_29_09_e_51,False,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_52,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_52,True,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_53,d_main_29_09_e,Self,shifty_c,,Locale_MainScenario:d_main_29_09_e_53,False,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_54,d_main_29_09_e,Self,shifty_c,,Locale_MainScenario:d_main_29_09_e_54,False,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_55,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_55,True,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_56,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_56,False,,10,10,1.0,,,,,OP_center,think,,,,,,,,,
d_main_29_09_e_57,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_57,True,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_58,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_58,True,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_59,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_59,True,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_60,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_60,True,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_61,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_61,True,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_62,d_main_29_09_e,Self,shifty_c,,Locale_MainScenario:d_main_29_09_e_62,False,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_63,d_main_29_09_e,Self,shifty_c,,Locale_MainScenario:d_main_29_09_e_63,False,,10,10,1.0,,,,,OP_center,worry,,,,,,,,,
d_main_29_09_e_64,d_main_29_09_e,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_29_09_e_64,True,,10,10,1.0,,,,,OP_center,think,,,,,,,,,
