id,group_id,speech_window,scenario_localkey,play_lipSync,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_filter_01,set_filter_02,characters/2/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,fade
d_ex_theater_08_15,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_15,False,,,,,XS_30,XS_30,1.0,,,,,,,,3,think,,,,,,,
d_ex_theater_08_16,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_16,True,,,,,XS_30,XS_30,1.0,,timi,timi,,,,,3,idle,sfx_scn_lionroar,,,,,,
d_ex_theater_08_17,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_17,False,,,,,XS_30,XS_30,1.0,,,,,,,,3,idle,,,,,,,
d_ex_theater_08_18,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_18,False,,,,,XS_30,XS_30,1.0,,,,,,,,3,idle,,Low_2,,,,,
d_ex_theater_08_19,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_19,False,,,,,XS_30,2,1.0,,,,,,,,3,idle,,,d_w,1,think,,
d_ex_theater_08_20,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_20,False,,,,,2,2,1.0,,,,,,,,3,idle,,,,1,think,,
d_ex_theater_08_21,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_21,True,,,,,2,2,1.0,,d_w,d_w,,,,,3,idle,,,,1,think,,
d_ex_theater_08_22,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_22,True,,,,,2,2,1.0,,d_w,d_w,,,,,3,idle,,,,1,think,,
d_ex_theater_08_23,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_23,False,,,,,2,2,1.0,,d_w,,,,,,3,idle,,,,1,think,,
d_ex_theater_08_24,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_24,False,,,,,2,2,1.0,,d_w,,,,,,3,idle,,,,1,void,,
d_ex_theater_08_25,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_25,False,,,,,2,2,1.0,,d_w,,,,,,3,idle,,,,1,void,,
d_ex_theater_08_26,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_26,True,,,,,2,10,1.0,,d_w,d_w,,,,,3,idle,,,,1,void,,
d_ex_theater_08_27,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_27,True,,,,,10,10,1.0,,d_w,d_w,,,,,3,idle,,,,1,void,,
d_ex_theater_08_28,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_28,False,,,,,10,10,1.0,,d_w,,,,,,3,idle,,,,1,void,,
d_ex_theater_08_29,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_29,True,,,,,10,10,1.0,,d_w,d_w,,,,,3,idle,,,,1,void,,
d_ex_theater_08_30,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_30,False,,,,,10,10,1.0,,d_w,,,,,,3,idle,,,,1,void,,
d_ex_theater_08_31,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_31,True,,,,,10,2,1.0,,timi,timi,,,,,3,idle,sfx_scn_lionroar,Low_2,,1,void,,
d_ex_theater_08_32,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_32,True,,,,,2,2,1.0,,d_w,d_w,,,,,3,idle,,,,1,surprise,,
d_ex_theater_08_33,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_33,True,,,,,2,2,1.0,,d_w,d_w,,,,,3,idle,,,,1,surprise,,
d_ex_theater_08_34,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_34,False,,,,,2,2,1.0,,d_w,,,,,,3,idle,,,,1,surprise,,
d_ex_theater_08_35,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_35,False,,,,,2,2,1.0,,d_w,,,,,,3,delight,,,,1,surprise,,
d_ex_theater_08_36,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_36,True,,,,,2,2,1.0,,d_w,d_w,,,,,3,delight,,,,1,surprise,,
d_ex_theater_08_37,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_37,True,,,,,2,10,1.0,,d_w,d_w,,,,,3,delight,,,,1,shy,,
d_ex_theater_08_38,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_38,False,,,,,10,10,1.0,,d_w,,,,,,3,idle,,,,1,shy,,
d_ex_theater_08_39,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_39,False,,,,,10,10,1.0,,d_w,,,,,,3,idle,,,,1,shy,,
d_ex_theater_08_40,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_40,True,,,,,10,10,1.0,,d_w,d_w,,,,,3,idle,,,,1,shy,,
d_ex_theater_08_41,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_41,False,,,,none,black,black,1.0,,d_w,,,,,,3,idle,,,,1,think,timi,
d_ex_theater_08_42,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_42,True,,,,,XS_150,XS_150,1.0,,timi,timi,Grey,Vignetting,,timi,15,special,,,,1,think,,black
d_ex_theater_08_43,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_43,True,,,,,XS_150,XS_1500,1.0,,timi,timi,Grey,Vignetting,,,15,special,sfx_scn_lionroar,,,1,think,,
d_ex_theater_08_44,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_44,False,,,,Theater,black,black,1.0,,,,,,,,15,special,,,,1,think,timi,
d_ex_theater_08_45,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_45,False,,,,,black,black,1.0,,,,,,,timi,3,idle,,,,1,think,,
d_ex_theater_08_46,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_46,False,,,,,black,black,1.0,,,,,,,,3,idle,,,,1,think,,
d_ex_theater_08_47,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_47,False,,,,,XS_30,XS_30,1.0,,,,,,,,3,idle,,,,1,think,,
d_ex_theater_08_48,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_48,True,,,,,XS_30,XS_30,1.0,,timi,timi,,,,,3,idle,sfx_scn_lionroar,,,1,think,,
d_ex_theater_08_49,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_49,True,,,,,XS_30,10,1.0,,d_w,d_w,,,,,3,idle,,,,1,think,,
d_ex_theater_08_50,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_50,False,,,,,10,10,1.0,,d_w,,,,,,3,idle,,,,1,think,,
d_ex_theater_08_51,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_51,False,,,,,10,10,1.0,,d_w,,,,,,3,idle,,,,1,think,,
d_ex_theater_08_52,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_52,False,,,,,black,black,1.0,none,d_w,,,,,,3,idle,,,,1,think,,
d_ex_theater_08_53,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_53,False,,,,,black,black,1.0,,d_w,,,,,,3,idle,,,,1,think,,
d_ex_theater_08_54,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_54,False,,,,,2,2,1.0,bgm_story_leisuretime,d_w,,,,,,3,idle,,,,1,special,,
d_ex_theater_08_55,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_55,True,,,,,2,2,1.0,,timi,timi,,,,,3,shy,sfx_scn_lionask,,,1,special,,
d_ex_theater_08_56,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_56,True,,,,,2,2,1.0,,d_w,d_w,,,,,3,shy,,,,1,special,,
d_ex_theater_08_57,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_57,False,,,,,2,2,1.0,,d_w,,,,,,3,idle,,,,1,special,,
d_ex_theater_08_58,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_58,False,,,,,2,2,1.0,,d_w,,,,,,3,idle,,,,1,special,,
d_ex_theater_08_59,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_59,False,,,,,2,2,1.0,,d_w,,,,,,3,idle,,,,1,special,,
d_ex_theater_08_60,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_60,True,,,,,2,10,1.0,,d_w,d_w,,,,,3,idle,,,,1,think,,
d_ex_theater_08_61,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_61,True,,,,,10,10,1.0,,d_w,d_w,,,,,3,idle,,,,1,think,,
d_ex_theater_08_62,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_62,True,,,,,10,10,1.0,,d_w,d_w,,,,,3,idle,,,,1,think,,
d_ex_theater_08_63,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_63,True,,,,,10,10,1.0,,d_w,d_w,,,,,3,idle,,,,1,think,,
d_ex_theater_08_64,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_64,False,,,,,10,10,1.0,,d_w,,,,,,3,idle,,,,1,think,,
d_ex_theater_08_65,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_65,True,,,,,10,10,1.0,,d_w,d_w,,,,,3,idle,,,,1,think,,
d_ex_theater_08_66,d_ex_theater_08,Self,Locale_SuddenStory:d_ex_theater_08_66,False,,,,,10,10,1.0,,d_w,,,,,,3,idle,,,,1,think,,
d_ex_theater_08_67,d_ex_theater_08,Speech,Locale_SuddenStory:d_ex_theater_08_67,True,,,,,10,100,1.0,,d_w,d_w,,,,,3,shy,,,,1,shy,,
d_ex_theater_08_68,d_ex_theater_08,Monologue,Locale_SuddenStory:d_ex_theater_08_68,False,,,,,100,2,1.0,,d_w,,,,,,3,shy,,,,1,shy,,
