id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_40_10_24,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_24,True,,S_10,S_100,0.5,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_25,d_main_40_10,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_10_25,False,,S_100,S_300,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_26,d_main_40_10,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_10_26,True,,S_300,S_300,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_27,d_main_40_10,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_10_27,True,,S_300,S_30,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_28,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_28,True,,S_30,31,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_29,d_main_40_10,Self,leviathan,,Locale_MainScenario:d_main_40_10_29,False,,31,31,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_30,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_30,True,,31,31,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_31,d_main_40_10,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_10_31,True,,31,31,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_32,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_32,True,,31,31,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_33,d_main_40_10,Self,leviathan,,Locale_MainScenario:d_main_40_10_33,False,,31,31,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_34,d_main_40_10,Speech,liberalio,liberalio,Locale_MainScenario:d_main_40_10_34,True,,31,31,1.0,,,1,pain,,,13,sad,,,3,idle,
d_main_40_10_35,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_35,True,,31,31,1.0,,,1,sad_01,,,13,sad,,,3,idle,
d_main_40_10_36,d_main_40_10,Self,leviathan,,Locale_MainScenario:d_main_40_10_36,False,,31,31,1.0,,,1,sad_01,,,13,sad,,,3,idle,
d_main_40_10_37,d_main_40_10,Self,leviathan,,Locale_MainScenario:d_main_40_10_37,False,,31,31,1.0,,,1,sad_01,,,13,sad,,,3,idle,
d_main_40_10_38,d_main_40_10,Narration,liberalio,,Locale_MainScenario:d_main_40_10_38,False,,black,black,1.0,,,1,sad_01,,,13,sad,,,3,idle,
d_main_40_10_39,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_39,False,,S_10,S_10,1.0,,,1,think_01,,,13,sad,,,3,idle,
d_main_40_10_40,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_40,True,,S_10,S_10,1.0,,,1,think_01,,,13,sad,,,3,idle,
d_main_40_10_41,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_41,True,,S_10,S_100,0.7,,,1,angry,,,13,sad,,,3,idle,
d_main_40_10_42,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_42,True,,S_1300,S_1300,1.0,,,1,angry,,,13,no,,,3,idle,
d_main_40_10_43,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_43,True,,S_100,S_100,1.0,,,1,angry,,,13,no,,,3,idle,
d_main_40_10_44,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_44,True,,S_100,S_10,1.0,,,1,angry,,,13,no,,,3,idle,
d_main_40_10_45,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_45,True,,S_10,113,1.0,,,1,angry,,,13,no,,,3,idle,
d_main_40_10_46,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_46,True,,113,113,1.0,,,1,pain,,,13,no,,,3,idle,
d_main_40_10_47,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_47,True,,113,113,1.0,,,1,pain,,,13,no,,,3,idle,
d_main_40_10_48,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_48,True,,113,113,1.0,,,1,pain,,,13,no,,,3,idle,
d_main_40_10_49,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_49,True,,113,113,1.0,,,1,pain,,,13,no,,,3,idle,
d_main_40_10_50,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_50,True,,113,113,1.0,,,1,pain,,,13,no,,,3,idle,
d_main_40_10_51,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_51,True,,113,113,1.0,,,1,pain,,,13,no,,,3,idle,
d_main_40_10_52,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_52,False,,113,113,1.0,,,1,pain,,,13,think,,,3,idle,
d_main_40_10_53,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_53,True,,113,113,1.0,,,1,pain,,,13,delight,,,3,idle,
d_main_40_10_54,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_54,True,,113,113,1.0,,,1,pain,,,13,delight,,,3,idle,
d_main_40_10_55,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_55,True,,113,113,1.0,,,1,pain,,,13,delight,,,3,idle,
d_main_40_10_56,d_main_40_10,Narration,,,Locale_MainScenario:d_main_40_10_56,False,EventScene_Chap_40_02,black,black,1.0,,,1,pain,leviathan,,13,delight,ziz,,3,idle,liberalio
d_main_40_10_57,d_main_40_10,Narration,,,Locale_MainScenario:d_main_40_10_57,False,,black,black,1.0,,,,,,,,,,,,,
d_main_40_10_58,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_58,True,,zizfight_01,zizfight_02,1.5,,,,,,,,,,,,,
d_main_40_10_59,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_59,True,,zizfight_02,zizfight_02,1.0,,,,,,,,,,,,,
d_main_40_10_60,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_60,True,,zizfight_02,zizfight_02,1.0,,,,,,,,,,,,,
d_main_40_10_61,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_61,True,,zizfight_02,zizfight_02,1.0,,,,,,,,,,,,,
d_main_40_10_62,d_main_40_10,Speech,ziz,ziz,Locale_MainScenario:d_main_40_10_62,True,,zizfight_02,zizfight_02,1.0,,,,,,,,,,,,,
d_main_40_10_63,d_main_40_10,Narration,,,Locale_MainScenario:d_main_40_10_63,False,,zizfight_02,zizfight_02,1.0,,,,,,,,,,,,,
d_main_40_10_64,d_main_40_10,Narration,,,Locale_MainScenario:d_main_40_10_64,False,,zizfight_02,1,2.0,,,,,,,,,,,,,
d_main_40_10_65,d_main_40_10,Narration,,,Locale_MainScenario:d_main_40_10_65,False,,1,1,1.0,,,,,,,,,,,,,
d_main_40_10_66,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_66,False,,1,1,1.0,,,,,,,,,,,,,
d_main_40_10_67,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_67,True,,1,1,1.0,,,,,,,,,,,,,
d_main_40_10_68,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_68,True,,1,1,1.0,,,,,,,,,,,,,
d_main_40_10_69,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_69,True,,1,1,1.0,,,,,,,,,,,,,
d_main_40_10_70,d_main_40_10,Speech,leviathan,leviathan,Locale_MainScenario:d_main_40_10_70,True,,black,black,1.0,,,,,,,,,,,,,
