id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade
d_main_23_08_e_11,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_11,True,,1,1,1.0,,,,1,idle,,,,,
d_main_23_08_e_12,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_12,True,,1,1,1.0,,,,1,idle,,,,,
d_main_23_08_e_13,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_13,True,,1,1,1.0,,,,1,idle,,,,,
d_main_23_08_e_14,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_14,True,,1,1,1.0,,,,1,idle,,,,,
d_main_23_08_e_15,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_15,True,,1,1,1.0,,,,1,idle,,,,,
d_main_23_08_e_16,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_16,True,,1,1,1.0,,,,1,idle,,,,,
d_main_23_08_e_17,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_17,True,,1,1,1.0,,,,1,idle,,,,,
d_main_23_08_e_18,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_18,True,,1,1,1.0,,,,1,idle,,,,,
d_main_23_08_e_19,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_19,True,,1,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_20,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_20,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_21,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_21,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_22,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_22,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_23,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_23,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_24,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_24,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_25,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_25,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_26,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_26,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_27,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_27,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_28,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_28,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_29,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_29,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_30,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_30,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_31,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_31,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_32,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_32,True,,10,10,1.0,,,,1,idle,,,,,
d_main_23_08_e_33,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_33,True,,10,10,1.0,,,,1,smile,,,,,
d_main_23_08_e_34,d_main_23_08_e,Self,,,Locale_MainScenario:d_main_23_08_e_34,False,,10,10,1.0,,,,1,smile,,,,,
d_main_23_08_e_35,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_35,False,,10,1,1.0,,,,1,idle,,,,,
d_main_23_08_e_36,d_main_23_08_e,Speech,crow,crow,Locale_MainScenario:d_main_23_08_e_36,True,,1,1,1.0,none,,,1,idle,,,,,
d_main_23_08_e_37,d_main_23_08_e,Speech,yuni,yuni,Locale_MainScenario:d_main_23_08_e_37,True,BurningCity,12,12,1.0,bgm_greyhaze_b,,mihara,1,idle,crow,yuni,13,think,black
d_main_23_08_e_38,d_main_23_08_e,Speech,mihara,mihara,Locale_MainScenario:d_main_23_08_e_38,True,,12,12,1.0,,,,1,idle,,,13,think,
d_main_23_08_e_39,d_main_23_08_e,Speech,mihara,mihara,Locale_MainScenario:d_main_23_08_e_39,True,,12,12,1.0,,,,1,idle,,,13,think,
d_main_23_08_e_40,d_main_23_08_e,Speech,yuni,yuni,Locale_MainScenario:d_main_23_08_e_40,True,,12,12,1.0,,,,1,idle,,,13,think,
d_main_23_08_e_41,d_main_23_08_e,Speech,mihara,mihara,Locale_MainScenario:d_main_23_08_e_41,False,,12,12,1.0,,,,1,think,,,13,think,
d_main_23_08_e_42,d_main_23_08_e,Speech,mihara,mihara,Locale_MainScenario:d_main_23_08_e_42,True,,12,12,1.0,,,,1,think,,,13,think,
d_main_23_08_e_43,d_main_23_08_e,Speech,mihara,mihara,Locale_MainScenario:d_main_23_08_e_43,True,,12,12,1.0,,,,1,think,,,13,think,
d_main_23_08_e_44,d_main_23_08_e,Speech,yuni,yuni,Locale_MainScenario:d_main_23_08_e_44,True,,12,12,1.0,,,,1,think,,,13,think,
d_main_23_08_e_45,d_main_23_08_e,Speech,mihara,mihara,Locale_MainScenario:d_main_23_08_e_45,True,,12,12,1.0,,,,1,think,,,13,think,
d_main_23_08_e_46,d_main_23_08_e,Speech,yuni,yuni,Locale_MainScenario:d_main_23_08_e_46,True,,12,12,1.0,,,,1,think,,,13,idle,
d_main_23_08_e_47,d_main_23_08_e,Speech,yuni,yuni,Locale_MainScenario:d_main_23_08_e_47,True,,12,12,1.0,,,,1,think,,,13,idle,
d_main_23_08_e_48,d_main_23_08_e,Speech,mihara,mihara,Locale_MainScenario:d_main_23_08_e_48,True,,12,12,1.0,,,,1,think,,,13,idle,
d_main_23_08_e_49,d_main_23_08_e,Speech,mihara,mihara,Locale_MainScenario:d_main_23_08_e_49,True,,12,12,1.0,,,,1,think,,,13,idle,
d_main_23_08_e_50,d_main_23_08_e,Speech,yuni,yuni,Locale_MainScenario:d_main_23_08_e_50,True,,12,S_130,1.0,,,,1,think,,,13,surprise,
d_main_23_08_e_51,d_main_23_08_e,Speech,yuni,yuni,Locale_MainScenario:d_main_23_08_e_51,True,,S_130,S_130,1.0,,,,1,think,,,13,idle,
d_main_23_08_e_52,d_main_23_08_e,Narration,,,Locale_MainScenario:d_main_23_08_e_52,False,,S_130,16,1.0,,,,1,think,,,13,idle,
d_main_23_08_e_53,d_main_23_08_e,Narration,,,Locale_MainScenario:d_main_23_08_e_53,False,,16,16,1.0,,,,1,think,,,13,idle,
d_main_23_08_e_54,d_main_23_08_e,Speech,mihara,mihara,Locale_MainScenario:d_main_23_08_e_54,True,,12,12,1.0,,,,1,idle,,,13,idle,
d_main_23_08_e_55,d_main_23_08_e,Speech,mihara,mihara,Locale_MainScenario:d_main_23_08_e_55,True,,12,12,1.0,,,,1,idle,,,13,idle,
d_main_23_08_e_56,d_main_23_08_e,Speech,yuni,yuni,Locale_MainScenario:d_main_23_08_e_56,True,,12,S_130,1.0,,,,1,idle,,,13,idle,
d_main_23_08_e_57,d_main_23_08_e,Speech,yuni,yuni,Locale_MainScenario:d_main_23_08_e_57,True,,S_130,S_130,1.0,,,,1,idle,,,13,shy,
