id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_21_09_e_18,d_main_21_09_e,Speech,anis,Locale_MainScenario:d_main_21_09_e_18,True,,50,50,1.0,,,anis,,5,angry,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,,,
d_main_21_09_e_19,d_main_21_09_e,Speech,rapi,Locale_MainScenario:d_main_21_09_e_19,True,,50,30,1.0,,,rapi,,5,angry,,3,delight,,1,idle,,13,pain,,15,idle,,17,idle,,,,
d_main_21_09_e_20,d_main_21_09_e,Speech,neon,Locale_MainScenario:d_main_21_09_e_20,True,,S_150,S_1500,2.0,,,neon,,5,angry,,3,delight,,1,idle,,13,pain,,15,no,,17,idle,,,,
d_main_21_09_e_21,d_main_21_09_e,Speech,rapi,Locale_MainScenario:d_main_21_09_e_21,True,,S_1500,S_1500,1.0,,,rapi,,5,angry,,3,worry,,1,idle,,13,pain,,15,no,,17,idle,,,,
d_main_21_09_e_22,d_main_21_09_e,Speech,cecil_op_l,Locale_MainScenario:d_main_21_09_e_22,True,,S_1500,15,2.0,,,cecil_op_l,,5,void,,3,worry,,1,idle,,13,pain,,15,idle,,17,idle,cecil_op_l,OP_leftup,idle,
d_main_21_09_e_23,d_main_21_09_e,Speech,cecil_op_l,Locale_MainScenario:d_main_21_09_e_23,True,,15,15,1.0,,,cecil_op_l,,5,void,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,OP_leftup,idle,
d_main_21_09_e_24,d_main_21_09_e,Speech,cecil_op_l,Locale_MainScenario:d_main_21_09_e_24,True,,15,15,1.0,,,cecil_op_l,,5,void,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,OP_leftup,idle,
d_main_21_09_e_25,d_main_21_09_e,Speech,johan,Locale_MainScenario:d_main_21_09_e_25,True,,15,1,1.0,,,johan,,5,void,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,OP_leftup,idle,
d_main_21_09_e_26,d_main_21_09_e,Speech,cecil_op_l,Locale_MainScenario:d_main_21_09_e_26,True,,1,1,1.0,,,cecil_op_l,,5,void,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,OP_leftup,idle,
d_main_21_09_e_27,d_main_21_09_e,Speech,johan,Locale_MainScenario:d_main_21_09_e_27,False,,1,113,1.0,,,johan,,5,void,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,OP_leftup,idle,cecil_op_l
d_main_21_09_e_28,d_main_21_09_e,Speech,noah,Locale_MainScenario:d_main_21_09_e_28,False,,113,113,1.0,,,noah,,5,void,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,,,
d_main_21_09_e_29,d_main_21_09_e,Speech,johan,Locale_MainScenario:d_main_21_09_e_29,True,,113,113,1.0,,,johan,,5,void,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,,,
d_main_21_09_e_30,d_main_21_09_e,Speech,noah,Locale_MainScenario:d_main_21_09_e_30,True,,113,113,1.0,,,noah,,5,void,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,,,
d_main_21_09_e_31,d_main_21_09_e,Monologue,Monologue,Locale_MainScenario:d_main_21_09_e_31,False,,113,L_10,1.0,,,noah,,5,void,,3,idle,,1,idle,,13,pain,,15,idle,,17,idle,,,,
d_main_21_09_e_32,d_main_21_09_e,Speech,noah,Locale_MainScenario:d_main_21_09_e_32,False,,L_10,XS_130,1.0,,,noah,,5,void,,3,idle,,1,idle,,13,surprise,,15,idle,,17,idle,,,,
d_main_21_09_e_33,d_main_21_09_e,Monologue,Monologue,Locale_MainScenario:d_main_21_09_e_33,True,,XS_130,XS_1300,1.0,,,noah,,5,void,,3,idle,,1,idle,,13,surprise,,15,idle,,17,idle,,,,
d_main_21_09_e_34,d_main_21_09_e,Speech,johan,Locale_MainScenario:d_main_21_09_e_34,True,,XS_1300,L_100,1.0,,,johan,,5,void,,3,idle,,1,delight,,13,surprise,,15,idle,,17,idle,,,,
d_main_21_09_e_35,d_main_21_09_e,Speech,johan,Locale_MainScenario:d_main_21_09_e_35,True,,L_100,L_100,1.0,,,johan,,5,void,,3,idle,,1,delight,,13,surprise,,15,idle,,17,idle,,,,
d_main_21_09_e_36,d_main_21_09_e,Speech,noah,Locale_MainScenario:d_main_21_09_e_36,True,,XS_130,XS_1300,1.0,,,noah,,5,void,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,,,
d_main_21_09_e_37,d_main_21_09_e,Speech,neon,Locale_MainScenario:d_main_21_09_e_37,True,,15,15,1.0,,,neon,,5,void,,3,idle,,1,idle,,13,pain,,15,worry,,17,idle,,,,
d_main_21_09_e_38,d_main_21_09_e,Self,Self,Locale_MainScenario:d_main_21_09_e_38,True,,15,15,1.0,,,Self,,5,void,,3,idle,,1,idle,,13,pain,,15,worry,,17,idle,,,,
d_main_21_09_e_39,d_main_21_09_e,Speech,neon,Locale_MainScenario:d_main_21_09_e_39,True,,15,S_150,1.0,,,neon,,5,void,,3,idle,,1,idle,,13,pain,,15,delight,,17,idle,,,,
