id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/1/hide_char_id
d_ex_maidcafe_10_41,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_41,True,,2,delight,,,,,200,200,1.0,,,flora,
d_ex_maidcafe_10_42,d_ex_maidcafe_10,Self,flora,Locale_SuddenStory:d_ex_maidcafe_10_42,False,,2,delight,,,,,200,200,1.0,,,,
d_ex_maidcafe_10_43,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_43,True,,2,delight,,,,,200,200,1.0,,,flora,
d_ex_maidcafe_10_44,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_44,True,,2,delight,,,,,200,200,1.0,,,flora,
d_ex_maidcafe_10_45,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_45,True,,2,delight,,,,,200,200,1.0,,,flora,
d_ex_maidcafe_10_46,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_46,True,,2,delight,,,,,200,200,1.0,,,flora,
d_ex_maidcafe_10_47,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_47,True,,2,delight,,,,,200,200,1.0,,,flora,
d_ex_maidcafe_10_48,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_48,True,,2,delight,,,,,200,200,1.0,,,flora,
d_ex_maidcafe_10_49,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_49,True,,2,delight,ade,12,idle,,200,1,1.3,,,ade,
d_ex_maidcafe_10_50,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_50,True,,2,delight,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_51,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_51,True,,2,delight,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_52,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_52,True,,2,delight,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_53,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_53,True,,2,delight,,12,idle,,1,1,1.0,,,ade,
d_ex_maidcafe_10_54,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_54,True,,2,surprise,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_55,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_55,True,,2,idle,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_56,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_56,True,,2,idle,,12,idle,,1,1,1.0,,,ade,
d_ex_maidcafe_10_57,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_57,True,,2,idle,,12,idle,,1,1,1.0,,,ade,
d_ex_maidcafe_10_58,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_58,True,,2,idle,,12,idle,,1,1,1.0,,,ade,
d_ex_maidcafe_10_59,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_59,True,,2,idle,,12,idle,,1,1,1.0,,,ade,
d_ex_maidcafe_10_60,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_60,True,,2,idle,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_61,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_61,True,,2,delight,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_62,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_62,True,,2,idle,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_63,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_63,True,,2,idle,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_64,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_64,True,,2,idle,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_65,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_65,True,,2,idle,,12,idle,,1,1,1.0,,,flora,
d_ex_maidcafe_10_66,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_66,True,,2,idle,,12,idle,,1,120,1.3,,,ade,
d_ex_maidcafe_10_67,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_67,True,,2,idle,,12,idle,,120,120,1.0,,,ade,
d_ex_maidcafe_10_68,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_68,True,,2,idle,,12,idle,,120,120,1.0,,,ade,
d_ex_maidcafe_10_69,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_69,True,,2,idle,,12,idle,,120,120,1.0,,,ade,
d_ex_maidcafe_10_70,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_70,True,,2,idle,,12,idle,,120,20,1.3,,,flora,
d_ex_maidcafe_10_71,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_71,True,,2,idle,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_72,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_72,True,,2,idle,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_73,d_ex_maidcafe_10,Narration,flora,Locale_SuddenStory:d_ex_maidcafe_10_73,False,,2,idle,,12,idle,,20,200,1.0,sfx_scn_swallow,,,
d_ex_maidcafe_10_74,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_74,True,,2,surprise,,12,idle,,200,20,1.0,,,flora,
d_ex_maidcafe_10_75,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_75,True,,2,shy,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_76,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_76,True,,2,shy,,12,idle,,20,20,1.0,,,flora,
d_ex_maidcafe_10_77,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_77,True,,2,shy,,12,delight,,20,1,1.3,,,ade,
d_ex_maidcafe_10_78,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_78,True,,2,shy,,12,delight,,1,1,1.0,,,ade,
d_ex_maidcafe_10_79,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_79,True,,2,surprise,,12,delight,,1,1,1.0,,,flora,
d_ex_maidcafe_10_80,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_80,True,,2,surprise,,12,delight,,1,1,1.0,,,flora,
d_ex_maidcafe_10_81,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_81,True,,2,idle,,12,delight,,1,1,1.0,,,flora,
d_ex_maidcafe_10_82,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_82,True,,2,idle,,12,delight,,1,1,1.0,,,flora,
d_ex_maidcafe_10_83,d_ex_maidcafe_10,Monologue,flora,Locale_SuddenStory:d_ex_maidcafe_10_83,False,,2,idle,,12,delight,,1,1,1.0,,,,
d_ex_maidcafe_10_84,d_ex_maidcafe_10,Monologue,flora,Locale_SuddenStory:d_ex_maidcafe_10_84,False,,2,idle,,12,delight,,black,black,1.0,,,,
d_ex_maidcafe_10_85,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_85,True,,2,delight,,12,delight,,1,1,1.0,,,flora,
d_ex_maidcafe_10_86,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_86,True,,2,delight,,12,delight,,1,1,1.0,,,flora,
d_ex_maidcafe_10_87,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_87,True,,2,delight,,12,delight,,1,1,1.0,,,flora,
d_ex_maidcafe_10_88,d_ex_maidcafe_10,Speech,flora,Locale_SuddenStory:d_ex_maidcafe_10_88,True,,2,shy,,12,delight,,1,1,1.0,,,flora,
d_ex_maidcafe_10_89,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_89,True,,2,shy,,12,delight,,1,1,1.0,,,ade,
d_ex_maidcafe_10_90,d_ex_maidcafe_10,Speech,ade,Locale_SuddenStory:d_ex_maidcafe_10_90,True,,2,shy,,12,delight,,1,1,1.0,,,ade,
d_ex_maidcafe_10_91,d_ex_maidcafe_10,Monologue,flora,Locale_SuddenStory:d_ex_maidcafe_10_91,False,,2,delight,,12,delight,,1,20,1.3,,,,
d_ex_maidcafe_10_92,d_ex_maidcafe_10,Monologue,flora,Locale_SuddenStory:d_ex_maidcafe_10_92,False,,2,delight,,12,delight,,20,20,1.0,,,,
