id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_31_01_s_30,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_30,True,,12,130,1.0,,rapi,,13,idle,,1,worry,,3,idle,,OP_leftup,worry,shifty
d_main_31_01_s_31,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_31,True,,130,130,1.0,,rapi,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_32,d_main_31_01_s,Self,rapi,Locale_MainScenario:d_main_31_01_s_32,False,,130,130,1.0,,,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_33,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_33,True,,130,130,1.0,,rapi,,13,think,,1,worry,,3,idle,,,,
d_main_31_01_s_34,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_34,True,,130,130,1.0,,rapi,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_35,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_35,True,,130,130,1.0,,rapi,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_36,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_36,True,,130,130,1.0,,rapi,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_37,d_main_31_01_s,Speech,anis,Locale_MainScenario:d_main_31_01_s_37,True,,130,12,1.0,,anis,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_38,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_38,True,,12,12,1.0,,rapi,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_39,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_39,True,,12,12,1.0,,rapi,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_40,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_40,True,,12,12,1.0,,rapi,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_41,d_main_31_01_s,Speech,neon,Locale_MainScenario:d_main_31_01_s_41,True,,12,2,1.0,,neon,,13,idle,,1,worry,,3,no,,,,
d_main_31_01_s_42,d_main_31_01_s,Speech,anis,Locale_MainScenario:d_main_31_01_s_42,True,,2,2,1.0,,anis,,13,idle,,1,no,,3,no,,,,
d_main_31_01_s_43,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_43,True,,2,12,1.0,,rapi,,13,idle,,1,void,,3,idle,,,,
d_main_31_01_s_44,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_44,True,,12,12,1.0,,rapi,,13,idle,,1,void,,3,idle,,,,
d_main_31_01_s_45,d_main_31_01_s,Speech,anis,Locale_MainScenario:d_main_31_01_s_45,False,,12,12,1.0,,anis,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_46,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_46,True,,12,130,1.0,,rapi,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_47,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_47,True,,130,130,1.0,,rapi,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_48,d_main_31_01_s,Self,rapi,Locale_MainScenario:d_main_31_01_s_48,False,,130,130,1.0,,,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_49,d_main_31_01_s,Self,rapi,Locale_MainScenario:d_main_31_01_s_49,False,,130,130,1.0,,,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_50,d_main_31_01_s,Self,rapi,Locale_MainScenario:d_main_31_01_s_50,False,,130,130,1.0,,,,13,idle,,1,worry,,3,idle,,,,
d_main_31_01_s_51,d_main_31_01_s,Speech,rapi,Locale_MainScenario:d_main_31_01_s_51,True,,130,13,1.0,,rapi,,13,no,,1,worry,,3,idle,,,,
