id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_ex_tower_07_37,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_37,True,,S_160,S_160,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_38,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_38,False,,S_160,S_160,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_39,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_39,True,,S_160,14,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_40,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_40,True,,14,14,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_41,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_41,True,,14,S_140,0.6,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_42,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_42,True,,S_140,S_140,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_43,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_43,True,,S_140,S_140,1.0,,,12,idle,,16,angry,,14,delight,,,,
d_ex_tower_07_44,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_44,True,,S_140,S_140,1.0,,,12,idle,,16,angry,,14,delight,,,,
d_ex_tower_07_45,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_45,False,,S_140,S_140,1.0,,,12,idle,,16,angry,,14,delight,,,,
d_ex_tower_07_46,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_46,False,,S_140,S_140,1.0,,,12,idle,,16,angry,,14,delight,,,,
d_ex_tower_07_47,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_47,False,,S_140,S_140,1.0,none,,12,idle,,16,angry,,14,delight,,,,
d_ex_tower_07_48,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_48,True,,S_140,S_160,1.0,bgm_story_herecomestrouble,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_49,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_49,True,,S_160,S_160,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_50,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_50,True,,12,S_120,0.6,,,12,delight,,16,angry,,14,idle,,,,
d_ex_tower_07_51,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_51,True,,14,S_140,0.6,,,12,delight,,16,angry,,14,idle,,,,
d_ex_tower_07_52,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_52,True,,S_140,S_160,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_53,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_53,True,,S_160,S_160,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_54,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_54,True,,12,S_120,0.6,,,12,delight,,16,angry,,14,idle,,,,
d_ex_tower_07_55,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_55,True,,14,S_140,0.6,,,12,delight,,16,angry,,14,idle,,,,
d_ex_tower_07_56,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_56,True,,S_140,S_160,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_57,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_57,True,,S_160,S_160,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_58,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_58,True,,S_160,S_140,1.0,,,12,idle,,16,angry,,14,idle,,,,
d_ex_tower_07_59,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_59,True,,S_140,S_120,1.0,,,12,special,,16,angry,,14,idle,,,,
d_ex_tower_07_60,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_60,False,,black,black,1.0,,,12,special,,16,angry,,14,idle,sfx_scn_oldengine,,,
d_ex_tower_07_61,d_ex_tower_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_tower_07_61,True,,20,20,1.0,,,12,special,,16,angry,,14,idle,,ludmilla_w,2,surprise
d_ex_tower_07_62,d_ex_tower_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_tower_07_62,True,,20,20,1.0,,,12,special,,16,angry,,14,idle,,,2,surprise
d_ex_tower_07_63,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_63,False,,black,black,1.0,,,12,no,,16,sad,,14,surprise,,,2,surprise
d_ex_tower_07_64,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_64,False,,S_120,S_120,1.0,,,12,no,,16,sad,,14,surprise,,,2,surprise
d_ex_tower_07_65,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_65,False,,S_160,S_160,1.0,,,12,no,,16,sad,,14,surprise,,,2,surprise
d_ex_tower_07_66,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_66,False,,S_140,S_140,1.0,,,12,no,,16,sad,,14,surprise,,,2,surprise
d_ex_tower_07_67,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_67,False,,S_140,S_140,1.0,,,12,no,,16,sad,,14,surprise,,,2,surprise
d_ex_tower_07_68,d_ex_tower_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_tower_07_68,True,,S_140,20,1.0,,,12,no,,16,sad,,14,surprise,,,2,surprise
d_ex_tower_07_69,d_ex_tower_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_tower_07_69,True,,20,20,1.0,,,12,no,,16,sad,,14,surprise,,,2,surprise
d_ex_tower_07_70,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_70,False,,20,20,1.0,,,12,no,,16,sad,,14,surprise,,,2,surprise
d_ex_tower_07_71,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_71,False,,20,20,1.0,,,12,no,,16,sad,,14,surprise,,,2,surprise
d_ex_tower_07_72,d_ex_tower_07,Self,,,Locale_SuddenStory:d_ex_tower_07_72,False,,20,20,1.0,,,12,no,,16,sad,,14,surprise,,,2,surprise
d_ex_tower_07_73,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_73,False,,20,20,1.0,,,12,no,,16,sad,,14,surprise,,,2,think
d_ex_tower_07_74,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_74,False,,20,S_120,1.0,,,12,no,,16,sad,,14,surprise,,,2,think
d_ex_tower_07_75,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_75,False,,S_120,S_160,1.0,,,12,no,,16,sad,,14,surprise,,,2,think
d_ex_tower_07_76,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_76,False,,S_160,S_140,1.0,,,12,no,,16,sad,,14,surprise,,,2,think
d_ex_tower_07_77,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_77,False,,S_140,20,1.0,,,12,no,,16,sad,,14,surprise,,,2,think
d_ex_tower_07_78,d_ex_tower_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_tower_07_78,True,,20,20,1.0,,,12,no,,16,sad,,14,surprise,,,2,angry
d_ex_tower_07_79,d_ex_tower_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_tower_07_79,True,,20,20,1.0,,,12,no,,16,sad,,14,surprise,,,2,angry
d_ex_tower_07_80,d_ex_tower_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_tower_07_80,True,,20,20,1.0,,,12,no,,16,sad,,14,surprise,,,2,angry
d_ex_tower_07_81,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_81,True,,20,S_120,1.0,,,12,sad,,16,sad,,14,surprise,,,2,angry
d_ex_tower_07_82,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_82,True,,S_120,S_120,1.0,,,12,sad,,16,sad,,14,surprise,,,2,angry
d_ex_tower_07_83,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_83,False,,S_120,S_120,1.0,,,12,sad,,16,sad,,14,surprise,,,2,angry
d_ex_tower_07_84,d_ex_tower_07,Speech,tove,tove,Locale_SuddenStory:d_ex_tower_07_84,True,,S_120,S_1200,0.6,,,12,delight,,16,sad,,14,idle,,,2,angry
d_ex_tower_07_85,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_85,True,,14,S_140,0.6,,,12,delight,,16,sad,,14,idle,,,2,angry
d_ex_tower_07_86,d_ex_tower_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_tower_07_86,True,,S_140,20,1.0,,,12,delight,,16,sad,,14,idle,,,2,angry
d_ex_tower_07_87,d_ex_tower_07,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_07_87,True,,S_140,S_140,1.0,,,12,delight,,16,sad,,14,sad,,,2,angry
d_ex_tower_07_88,d_ex_tower_07,Speech,signal,signal,Locale_SuddenStory:d_ex_tower_07_88,True,,S_160,S_160,1.0,,,12,delight,,16,sad,,14,sad,,,2,angry
d_ex_tower_07_89,d_ex_tower_07,Speech,ludmilla_w,ludmilla_w,Locale_SuddenStory:d_ex_tower_07_89,True,,S_160,20,1.0,,,12,delight,,16,sad,,14,sad,,,2,sad
d_ex_tower_07_90,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_90,False,,black,black,1.0,,,12,delight,,16,sad,,14,sad,,,2,sad
d_ex_tower_07_91,d_ex_tower_07,Monologue,,,Locale_SuddenStory:d_ex_tower_07_91,False,,black,black,1.0,,,12,delight,,16,sad,,14,sad,,,2,sad
