id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_29_06_s_18,d_main_29_06_s,Self,shifty,,Locale_MainScenario:d_main_29_06_s_18,False,,3,3,1.0,,,OP_leftup,idle,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_19,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_19,True,,3,3,1.0,,,OP_leftup,surprise,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_20,d_main_29_06_s,Self,shifty,,Locale_MainScenario:d_main_29_06_s_20,False,,3,3,1.0,,,OP_leftup,surprise,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_21,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_21,True,,3,3,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_22,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_22,True,,3,3,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_23,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_23,True,,3,3,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_24,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_24,True,,3,3,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_25,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_25,True,,3,3,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_26,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_26,True,,3,3,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_27,d_main_29_06_s,Speech,anis,anis,Locale_MainScenario:d_main_29_06_s_27,True,,3,5,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_28,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_28,True,,5,5,1.0,,,OP_leftup,think,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_29,d_main_29_06_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_06_s_29,True,,5,5,1.0,,,OP_leftup,think,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_30,d_main_29_06_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_06_s_30,True,,5,1,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_31,d_main_29_06_s,Self,elegg,,Locale_MainScenario:d_main_29_06_s_31,False,,1,1,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_32,d_main_29_06_s,Self,elegg,,Locale_MainScenario:d_main_29_06_s_32,False,,1,1,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_33,d_main_29_06_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_06_s_33,True,,1,1,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_34,d_main_29_06_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_06_s_34,True,,1,1,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_35,d_main_29_06_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_06_s_35,True,,1,12,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,idle,,13,idle
d_main_29_06_s_36,d_main_29_06_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_06_s_36,True,,12,12,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,think,,13,idle
d_main_29_06_s_37,d_main_29_06_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_06_s_37,True,,12,12,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,think,,13,idle
d_main_29_06_s_38,d_main_29_06_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_06_s_38,True,,12,XS_130,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,think,,13,surprise
d_main_29_06_s_39,d_main_29_06_s,Self,drilley,,Locale_MainScenario:d_main_29_06_s_39,False,,XS_130,XS_130,1.0,,,OP_leftup,worry,,,,,,5,idle,,3,idle,,1,think,,13,surprise
