id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_subquest_1064_25,d_subquest_1064,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1064_25,False,,30,30,1.0,,,,,,3,think,,,1,idle,,,13,void,,,,,,,,,,,,,
d_subquest_1064_26,d_subquest_1064,Speech,neon,neon,Locale_SubScenario:d_subquest_1064_26,False,,30,S_10,1.0,,,,,,3,think,,,1,worry,,,13,void,,,,,,,,,,,,,
d_subquest_1064_27,d_subquest_1064,Self,,Self,Locale_SubScenario:d_subquest_1064_27,False,,S_10,S_10,1.0,,,,,,3,think,,,1,worry,,,13,void,,,,,,,,,,,,,
d_subquest_1064_28,d_subquest_1064,Speech,anis,anis,Locale_SubScenario:d_subquest_1064_28,True,,S_10,12,1.0,,,,,,3,idle,,,1,idle,,,13,worry,,,,,,,,,,,,,
d_subquest_1064_29,d_subquest_1064,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1064_29,True,,12,3,1.0,,,,,,3,idle,,,1,idle,,,13,worry,,,,,,,,,,,,,
d_subquest_1064_30,d_subquest_1064,Narration,,Narration,Locale_SubScenario:d_subquest_1064_30,False,,555,555,1.0,,,,sfx_scn_shutter,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,
d_subquest_1064_31,d_subquest_1064,Speech,neon,neon,Locale_SubScenario:d_subquest_1064_31,True,,555,1,1.0,,,,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,
d_subquest_1064_32,d_subquest_1064,Speech,neon,neon,Locale_SubScenario:d_subquest_1064_32,True,,1,6001,1.5,,,,,,3,idle,rapi,,1,idle,neon,,13,idle,anis,,,,,,,,,,,,
d_subquest_1064_33,d_subquest_1064,Speech,neon,neon,Locale_SubScenario:d_subquest_1064_33,True,,6001,6001,1.0,,,,,,3,idle,,,,,,,,,,,,,,,,,,,,,
d_subquest_1064_34,d_subquest_1064,Self,,Self,Locale_SubScenario:d_subquest_1064_34,False,,6001,6001,1.0,,,,,,3,idle,,,,,,,,,,,,,,,,,,,,,
d_subquest_1064_35,d_subquest_1064,Self,,Self,Locale_SubScenario:d_subquest_1064_35,False,,6001,1,1.5,,,,,rapi,3,idle,,neon,1,idle,,anis,13,idle,,,,,,,,,,,,,
