id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_subquest_1330_e_12,d_subquest_1330_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1330_e_12,True,,S_50,S_50,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_13,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_13,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_14,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_14,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_15,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_15,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_16,d_subquest_1330_e,Speech,yulha,yulha,Locale_SubScenario:d_subquest_1330_e_16,True,,S_130,14,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_17,d_subquest_1330_e,Speech,yulha,yulha,Locale_SubScenario:d_subquest_1330_e_17,True,,14,14,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_18,d_subquest_1330_e,Self,yulha,,Locale_SubScenario:d_subquest_1330_e_18,False,,14,14,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_19,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_19,True,,14,14,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_20,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_20,True,,14,14,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_21,d_subquest_1330_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1330_e_21,True,,S_50,S_50,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_22,d_subquest_1330_e,Speech,admi,admi,Locale_SubScenario:d_subquest_1330_e_22,True,,XS_170,XS_170,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_23,d_subquest_1330_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1330_e_23,True,,30,30,1.0,,,,5,idle,,3,angry,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_24,d_subquest_1330_e,Speech,admi,admi,Locale_SubScenario:d_subquest_1330_e_24,True,,XS_170,XS_170,1.0,,,,5,idle,,3,angry,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_25,d_subquest_1330_e,Self,admi,,Locale_SubScenario:d_subquest_1330_e_25,False,,XS_170,XS_170,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_26,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_26,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_27,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_27,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_28,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_28,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_29,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_29,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_30,d_subquest_1330_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1330_e_30,True,,30,30,1.0,,,,5,idle,,3,worry,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_31,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_31,True,,S_130,S_130,1.0,,,,5,idle,,3,worry,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_32,d_subquest_1330_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1330_e_32,True,,30,30,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_33,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_33,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_34,d_subquest_1330_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1330_e_34,True,,30,30,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_35,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_35,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
d_subquest_1330_e_36,d_subquest_1330_e,Speech,privaty,privaty,Locale_SubScenario:d_subquest_1330_e_36,True,,S_130,S_130,1.0,,,,5,idle,,3,void,,1,idle,,13,idle,,15,idle,,17,idle
