id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,play_sound
d_main_26af_03_18,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_18,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,130,130,1.0,,,
d_main_26af_03_19,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_19,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,130,1300,1.0,,,
d_main_26af_03_20,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_20,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,1300,1300,1.0,,,
d_main_26af_03_21,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_21,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,1300,1300,1.0,,,
d_main_26af_03_22,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_22,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,1300,1300,1.0,,,
d_main_26af_03_23,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_23,True,,17,idle,,13,void,,15,idle,,OP_leftup,delight,,1300,1300,1.0,,,
d_main_26af_03_24,d_main_26af_03,Self,,,Locale_MainScenario:d_main_26af_03_24,False,,17,idle,,13,void,,15,idle,,OP_leftup,delight,,1300,1300,1.0,,,
d_main_26af_03_25,d_main_26af_03,Speech,anis,anis,Locale_MainScenario:d_main_26af_03_25,True,,17,idle,,13,no,,15,idle,,OP_leftup,idle,,1300,130,1.0,,shifty,
d_main_26af_03_26,d_main_26af_03,Speech,neon,neon,Locale_MainScenario:d_main_26af_03_26,True,,17,idle,,13,no,,15,idle,,,,,130,S_150,1.0,,,
d_main_26af_03_27,d_main_26af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_26af_03_27,True,,17,idle,,13,idle,,15,idle,,,,,S_150,170,1.0,,,
d_main_26af_03_28,d_main_26af_03,Self,,,Locale_MainScenario:d_main_26af_03_28,False,,17,idle,,13,idle,,15,idle,,,,,170,170,1.0,,,
d_main_26af_03_29,d_main_26af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_26af_03_29,True,,17,think,,13,idle,,15,idle,,,,,170,17,1.0,,,
d_main_26af_03_30,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_30,True,,17,think,,13,idle,,15,idle,shifty,OP_leftup,idle,,17,17,1.0,,,
d_main_26af_03_31,d_main_26af_03,Self,,,Locale_MainScenario:d_main_26af_03_31,False,,17,think,,13,idle,,15,idle,,OP_leftup,idle,,17,17,1.0,,,
d_main_26af_03_32,d_main_26af_03,Speech,anis,anis,Locale_MainScenario:d_main_26af_03_32,True,,17,idle,,13,idle,,15,idle,,OP_leftup,idle,,17,13,2.0,,,
d_main_26af_03_33,d_main_26af_03,Speech,anis,anis,Locale_MainScenario:d_main_26af_03_33,True,,17,idle,,13,idle,,15,idle,,OP_leftup,idle,,13,130,1.0,,,
d_main_26af_03_34,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_34,True,,17,idle,,13,idle,,15,idle,,OP_leftup,idle,,130,130,1.0,,,
d_main_26af_03_35,d_main_26af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_26af_03_35,True,,17,idle,,13,idle,,15,idle,,OP_leftup,idle,,130,170,2.0,,,
d_main_26af_03_36,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_36,True,,17,idle,,13,idle,,15,idle,,OP_leftup,idle,,170,170,1.0,,,
d_main_26af_03_37,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_37,True,,17,idle,,13,idle,,15,idle,,OP_leftup,idle,,170,170,1.0,,,
d_main_26af_03_38,d_main_26af_03,Speech,anis,anis,Locale_MainScenario:d_main_26af_03_38,True,,17,idle,,13,void,,15,idle,,OP_leftup,idle,,130,130,2.0,,,
d_main_26af_03_39,d_main_26af_03,Speech,anis,anis,Locale_MainScenario:d_main_26af_03_39,True,,17,idle,,13,worry,,15,idle,,OP_leftup,idle,,130,130,1.0,,,
d_main_26af_03_40,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_40,True,,17,idle,,13,worry,,15,idle,,OP_leftup,idle,,130,130,1.0,,,
d_main_26af_03_41,d_main_26af_03,Narration,,,Locale_MainScenario:d_main_26af_03_41,False,,17,idle,,13,worry,,15,idle,,OP_leftup,idle,,black,black,1.0,none,shifty,sfx_scn_flare
d_main_26af_03_42,d_main_26af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_26af_03_42,False,,17,angry,,13,idle,,15,idle,shifty,OP_leftup,angry,,17,170,0.5,bgm_story_armageddon,,
d_main_26af_03_43,d_main_26af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_26af_03_43,True,,17,angry,,13,idle,,15,idle,,OP_leftup,angry,,170,170,1.0,,,
d_main_26af_03_44,d_main_26af_03,Self,,,Locale_MainScenario:d_main_26af_03_44,False,,17,angry,,13,idle,,15,idle,,OP_leftup,angry,,170,170,1.0,,,
d_main_26af_03_45,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_45,True,,17,angry,,13,idle,,15,idle,,OP_leftup,angry,,170,170,1.0,,,
d_main_26af_03_46,d_main_26af_03,Speech,shifty,shifty,Locale_MainScenario:d_main_26af_03_46,True,,17,angry,,13,idle,,15,idle,,OP_leftup,angry,,170,170,1.0,,,
d_main_26af_03_47,d_main_26af_03,Self,,,Locale_MainScenario:d_main_26af_03_47,False,,17,angry,,13,idle,,15,idle,,OP_leftup,angry,,170,170,1.0,,,
d_main_26af_03_48,d_main_26af_03,Speech,rapi,rapi,Locale_MainScenario:d_main_26af_03_48,True,,17,angry,,13,idle,,15,idle,,OP_leftup,angry,,170,1700,1.0,,,
